name	skill_level	skill_type	skill_type2	buff_type	require_class_knight	require_class_archer	require_class_wizard	require_class_berserker	require_class_hunter	require_class_sorcerer	require_class_swashbuckler	require_class_ranger	require_class_elementaler	require_class_slayer	require_class_obiter	require_class_summoner	require_class_scion	require_level	require_point	require_heroic_point	require_charisma_point	damage_a	damage_magic	damage_water	damage_air	damage_earth	damage_fire	damage_poison	damage_ice	damage_thunder	dmg_heroic	damage_c	damage_a_PERCENT	damage_magic_PERCENT	damage_water_PERCENT	damage_air_PERCENT	damage_earth_PERCENT	damage_fire_PERCENT	damage_poison_PERCENT	damage_ice_PERCENT	damage_thunder_PERCENT	dmg_heroic_percent	damage_c_PERCENT	resist_a	cost_hp	cost_mp	cost_sp	cost_arrow	endskill_cost_hp	cast_time	recast_time	semi_recast_time	duration	interval	show damage	range	area_r	area_f1	area_f2	dot_dmg_a	dot_dmg_magic	dot_dmg_water	dot_dmg_air	dot_dmg_earth	dot_dmg_fire	dot_dmg_poison	dot_dmg_ice	dot_dmg_thunder	dot_dmg_heroic	dot_dmg_a_PERCENT	dot_dmg_magic_PERCENT	dot_dmg_water_PERCENT	dot_dmg_air_PERCENT	dot_dmg_earth_PERCENT	dot_dmg_fire_PERCENT	dot_dmg_poison_PERCENT	dot_dmg_ice_PERCENT	dot_dmg_thunder_PERCENT	move_distance	reflect_max	heroic_reflect_max	defense_max	reflect_con	defense_con	damage_shield	counter_up	counter_reduce	hot	dmg_adjust	dmg_show_divide	hp_recovery	mp_recovery	sp_recovery	warrior_lev	change_monster	block_point	stun_time	stun_generate_time	critical	skill_range	skill_rate	special_status_rate	damage_convert_hp	damage_convert_mp	regen_hp	regen_mp	charge_1	charge_2	charge_3	aggrodoll_hp	dot_damage_time	cost_mp_decrease	cast_time_decrease	skill_levelup	mp_convert_hp	death	time_control	item_parts	skill_cost	skill_upgrade_cost	skill_classify_id	skill_classify_level	velocity	summons_tid	creature_tid	additional_skilltid	additional_duration	max_target_num	limit_quantity	summons_count	bonus_exp	bonus_money	bonus_drop_rate	bonus_charisma_add_rate	level_diff	divide_rate	ea_damage_physical	ea_damage_magic	ea_damage_water	ea_damage_air	ea_damage_earth	ea_damage_fire	ea_damage_poison	ea_damage_ice	ea_damage_thunder	ea_damage_c	ea_damage_physical_PERCENT	ea_damage_magic_PERCENT	ea_damage_water_PERCENT	ea_damage_air_PERCENT	ea_damage_earth_PERCENT	ea_damage_fire_PERCENT	ea_damage_poison_PERCENT	ea_damage_ice_PERCENT	ea_damage_thunder_PERCENT	ea_damage_c_PERCENT	FACTOR_POINT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	dmg_min_heroic	dmg_max_heroic	def_point_heroic	heroic_melee_Resistance	heroic_ranged_Resistance	heroic_magic_Resistance	FACTOR_PERCENT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	FACTOR_MAGNIFY	movement	atk_speed
	17	0	1				1			1								52	1								36						300					150								90				2000	6500	2000				20																																																																			2000																																																																																																																																																				
	18	0	1				1			1								55	1								38						310					155								95				2000	6500	2000				20																																																																			2000																																																																																																																																																				
	19	0	1				1			1								58	1								40						320					160								100				2000	6500	2000				20																																																																			2000																																																																																																																																																				
	20	0	1				1			1								61	1								42						330					165								105				2000	6500	2000				20																																																																			2000																																																																																																																																																				
Napalm Flame	1	0	1	1			1			1								22	1								12						220					110								40				2160	6500	2160	6000			20									80																																					100									1000								2400																																																																																																																																																								
	2	0	1	1			1			1								25	1								14						230					115								45				2160	6500	2160	9000			20									95																																					100									1000									6400																																																																																																																																																							
	3	0	1	1			1			1								28	1								16						240					120								50				2160	6500	2160	12000			20									110																																					100									1000									16800																																																																																																																																																							
	4	0	1	1			1			1								31	1								18						250					125								55				2160	6500	2160	15000			20									125																																					100									1000									32000																																																																																																																																																							
	5	0	1	1			1			1								34	1								20						260					130								60				2160	6500	2160	18000			20									140																																					100									1000									80000																																																																																																																																																							
	6	0	1	1			1			1								37	1								22						270					135								65				2160	6500	2160	21000			20									155																																					100									1000																																																																																																																																																																
	7	0	1	1			1			1								40	1								24						280					140								70				2160	6500	2160	24000			20									170																																					100									1000																																																																																																																																																																
	8	0	1	1			1			1								43	1								26						290					145								75				2160	6500	2160	27000			20									185																																					100									1000																																																																																																																																																																
	9	0	1	1			1			1								46	1								28						300					150								80				2160	6500	2160	30000			20									200																																					100									1000																																																																																																																																																																
	10	0	1	1			1			1								49	1								30						310					155								85				2160	6500	2160	33000			20									215																																					100									1000																																																																																																																																																																
	11	0	1	1			1			1								52	1								32						320					160								90				2160	6500	2160	36000			20									230																																					100									1000																																																																																																																																																																
	12	0	1	1			1			1								55	1								34						330					165								95				2160	6500	2160	39000			20									245																																					100									1000																																																																																																																																																																
	13	0	1	1			1			1								58	1								36						340					170								100				2160	6500	2160	42000			20									260																																					100									1000																																																																																																																																																																
	14	0	1	1			1			1								61	1								38						350					175								105				2160	6500	2160	45000			20									275																																					100									1000																																																																																																																																																																
	15	0	1	1			1			1								64	1								40						360					180								110				2160	6500	2160	48000			20									290																																					100									1000																																																																																																																																																																
	16	0	1	1			1			1								67	1								42						370					185								115				2160	6500	2160	51000			20									305																																					100									1000																																																																																																																																																																
	17	0	1	1			1			1								70	1								44						380					190								120				2160	6500	2160	54000			20									320																																					100									1000																																																																																																																																																																
	18	0	1	1			1			1								73	1								46						390					195								125				2160	6500	2160	57000			20									335																																					100									1000																																																																																																																																																																
	19	0	1	1			1			1								76	1								48						400					200								130				2160	6500	2160	60000			20									350																																					100									1000																																																																																																																																																																
	20	0	1	1			1			1								79	1								50						410					205								135				2160	6500	2160	63000			20									365																																					100									1000																																																																																																																																																																
Blaze Wall	1	0	1				1			1								10	1								5						130					65								20				2160	6660	2160				20		20	3																																																												480				5000																																																																																																																																																				
	2	0	1				1			1								13	1								7						140					70								25				2160	6660	2160				20		20	3																																																													1440			5000																																																																																																																																																				
	3	0	1				1			1								16	1								9						150					75								30				2160	6660	2160				20		20	3																																																													2880			5000																																																																																																																																																				
	4	0	1				1			1								19	1								11						160					80								35				2160	6660	2160				20		20	3																																																													6400			5000																																																																																																																																																				
	5	0	1				1			1								22	1								13						170					85								40				2160	6660	2160				20		20	3																																																													12000			5000																																																																																																																																																				
	6	0	1				1			1								25	1								15						180					90								45				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	7	0	1				1			1								28	1								17						190					95								50				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	8	0	1				1			1								31	1								19						200					100								55				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	9	0	1				1			1								34	1								21						210					105								60				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	10	0	1				1			1								37	1								23						220					110								65				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	11	0	1				1			1								40	1								25						230					115								70				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	12	0	1				1			1								43	1								27						240					120								75				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	13	0	1				1			1								46	1								29						250					125								80				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	14	0	1				1			1								49	1								31						260					130								85				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	15	0	1				1			1								52	1								33						270					135								90				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	16	0	1				1			1								55	1								35						280					140								95				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	17	0	1				1			1								58	1								37						290					145								100				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	18	0	1				1			1								61	1								39						300					150								105				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	19	0	1				1			1								64	1								41						310					155								110				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
	20	0	1				1			1								67	1								43						320					160								115				2160	6660	2160				20		20	3																																																																5000																																																																																																																																																				
Geo Shards	1	1	1	1			1			1								13	1							8							160				80									40				2500	7000	2500	10000			20	4																																																														720																																																																																																								-14									-14																																							
	2	1	1	1			1			1								16	1							10							170				85									45				2500	7000	2500	12000			20	4																																																															1920																																																																																																							-18									-18																																							
	3	1	1	1			1			1								19	1							12							180				90									50				2500	7000	2500	14000			20	4																																																															4800																																																																																																							-22									-22																																							
	4	1	1	1			1			1								22	1							14							190				95									55				2500	7000	2500	16000			20	4																																																															9600																																																																																																							-26									-26																																							
	5	1	1	1			1			1								25	1							16							200				100									60				2500	7000	2500	18000			20	4																																																															16000																																																																																																							-30									-30																																							
	6	1	1	1			1			1								28	1							18							210				105									65				2500	7000	2500	20000			20	4																																																																																																																																																																						-34									-34																																							
	7	1	1	1			1			1								31	1							20							220				110									70				2500	7000	2500	22000			20	4																																																																																																																																																																						-38									-38																																							
	8	1	1	1			1			1								34	1							22							230				115									75				2500	7000	2500	24000			20	4																																																																																																																																																																						-42									-42																																							
	9	1	1	1			1			1								37	1							24							240				120									80				2500	7000	2500	26000			20	4																																																																																																																																																																						-46									-46																																							
	10	1	1	1			1			1								40	1							26							250				125									85				2500	7000	2500	28000			20	4																																																																																																																																																																						-46									-46																																							
	11	1	1	1			1			1								43	1							28							260				130									90				2500	7000	2500	30000			20	4																																																																																																																																																																						-46									-46																																							
	12	1	1	1			1			1								46	1							30							270				135									95				2500	7000	2500	32000			20	4																																																																																																																																																																						-46									-46																																							
	13	1	1	1			1			1								49	1							32							280				140									100				2500	7000	2500	34000			20	4																																																																																																																																																																						-46									-46																																							
	14	1	1	1			1			1								52	1							34							290				145									105				2500	7000	2500	36000			20	4																																																																																																																																																																						-46									-46																																							
	15	1	1	1			1			1								55	1							36							300				150									110				2500	7000	2500	38000			20	4																																																																																																																																																																						-46									-46																																							
Earthquake	1	0	1				1			1								28	1							15							220				110									50				2500	7000	2500				8	8																																																														5600																																																																																																																																																								
	2	0	1				1			1								31	1							17							230				115									55				2500	7000	2500				8	8																																																															16000																																																																																																																																																							
	3	0	1				1			1								34	1							19							240				120									60				2500	7000	2500				8	8																																																															48000																																																																																																																																																							
	4	0	1				1			1								37	1							21							250				125									65				2500	7000	2500				8	8																																																															64000																																																																																																																																																							
	5	0	1				1			1								40	1							23							260				130									70				2500	7000	2500				8	8																																																															120000																																																																																																																																																							
	6	0	1				1			1								43	1							25							270				135									75				2500	7000	2500				8	8																																																																																																																																																																																																																						
	7	0	1				1			1								46	1							27							280				140									80				2500	7000	2500				8	8																																																																																																																																																																																																																						
	8	0	1				1			1								49	1							29							290				145									85				2500	7000	2500				8	8																																																																																																																																																																																																																						
	9	0	1				1			1								52	1							31							300				150									90				2500	7000	2500				8	8																																																																																																																																																																																																																						
	10	0	1				1			1								55	1							33							310				155									95				2500	7000	2500				8	8																																																																																																																																																																																																																						
	11	0	1				1			1								58	1							35							320				160									100				2500	7000	2500				8	8																																																																																																																																																																																																																						
	12	0	1				1			1								61	1							37							330				165									105				2500	7000	2500				8	8																																																																																																																																																																																																																						
	13	0	1				1			1								64	1							39							340				170									110				2500	7000	2500				8	8																																																																																																																																																																																																																						
	14	0	1				1			1								67	1							41							350				175									115				2500	7000	2500				8	8																																																																																																																																																																																																																						
	15	0	1				1			1								70	1							43							360				180									120				2500	7000	2500				8	8																																																																																																																																																																																																																						
	16	0	1				1			1								73	1							45							370				185									125				2500	7000	2500				8	8																																																																																																																																																																																																																						
	17	0	1				1			1								76	1							47							380				190									130				2500	7000	2500				8	8																																																																																																																																																																																																																						
	18	0	1				1			1								79	1							49							390				195									135				2500	7000	2500				8	8																																																																																																																																																																																																																						
	19	0	1				1			1								82	1							51							400				200									140				2500	7000	2500				8	8																																																																																																																																																																																																																						
	20	0	1				1			1								85	1							53							410				205									145				2500	7000	2500				8	8																																																																																																																																																																																																																						
Mass Snare	1	0	1	1			1			1								22	1							12							175				88									40				2160	10000	2160	8000			8	8																																																														2400																																																																																																								-20									-20																																							
	2	0	1	1			1			1								25	1							14							185				93									45				2160	11000	2160	9000			8	8																																																															6400																																																																																																							-24									-24																																							
	3	0	1	1			1			1								28	1							16							195				98									50				2160	12000	2160	10000			8	8																																																															16800																																																																																																							-28									-28																																							
	4	0	1	1			1			1								31	1							18							205				103									55				2160	13000	2160	11000			8	8																																																															32000																																																																																																							-32									-32																																							
	5	0	1	1			1			1								34	1							20							215				108									60				2160	14000	2160	12000			8	8																																																															80000																																																																																																							-36									-36																																							
	6	0	1	1			1			1								37	1							22							225				113									65				2160	16000	2160	13000			8	8																																																																																																																																																																						-40									-40																																							
	7	0	1	1			1			1								40	1							24							235				118									70				2160	17000	2160	14000			8	8																																																																																																																																																																						-44									-44																																							
	8	0	1	1			1			1								43	1							26							245				123									75				2160	18000	2160	15000			8	8																																																																																																																																																																						-48									-48																																							
	9	0	1	1			1			1								46	1							28							255				128									80				2160	19000	2160	16000			8	8																																																																																																																																																																						-52									-52																																							
	10	0	1	1			1			1								49	1							30							265				133									85				2160	20000	2160	17000			8	8																																																																																																																																																																						-52									-52																																							
	11	0	1	1			1			1								52	1							32							275				138									90				2160	22000	2160	18000			8	8																																																																																																																																																																						-52									-52																																							
	12	0	1	1			1			1								55	1							34							285				143									95				2160	23000	2160	19000			8	8																																																																																																																																																																						-52									-52																																							
	13	0	1	1			1			1								58	1							36							295				148									100				2160	24000	2160	20000			8	8																																																																																																																																																																						-52									-52																																							
	14	0	1	1			1			1								61	1							38							305				153									105				2160	25000	2160	21000			8	8																																																																																																																																																																						-52									-52																																							
	15	0	1	1			1			1								64	1							40							315				158									110				2160	26000	2160	22000			8	8																																																																																																																																																																						-52									-52																																							
	16	0	1	1			1			1								67	1							42							325				163									115				2160	27000	2160	23000			8	8																																																																																																																																																																						-52									-52																																							
	17	0	1	1			1			1								70	1							44							335				168									120				2160	28000	2160	24000			8	8																																																																																																																																																																						-52									-52																																							
	18	0	1	1			1			1								73	1							46							345				173									125				2160	29000	2160	25000			8	8																																																																																																																																																																						-52									-52																																							
	19	0	1	1			1			1								76	1							48							355				178									130				2160	30000	2160	26000			8	8																																																																																																																																																																						-52									-52																																							
	20	0	1	1			1			1								79	1							50							365				183									135				2160	31000	2160	27000			8	8																																																																																																																																																																						-52									-52																																							
Whirlwind	1	0	1				1			1								22	1						12								200			100										40				2160	6660	2160				20																																																															2400																																																																																																																																																								
	2	0	1				1			1								25	1						14								210			105										45				2160	6660	2160				20																																																																6400																																																																																																																																																							
	3	0	1				1			1								28	1						16								220			110										50				2160	6660	2160				20																																																																16800																																																																																																																																																							
	4	0	1				1			1								31	1						18								230			115										55				2160	6660	2160				20																																																																32000																																																																																																																																																							
	5	0	1				1			1								34	1						20								240			120										60				2160	6660	2160				20																																																																80000																																																																																																																																																							
	6	0	1				1			1								37	1						22								250			125										65				2160	6660	2160				20																																																																																																																																																																																																																							
	7	0	1				1			1								40	1						24								260			130										70				2160	6660	2160				20																																																																																																																																																																																																																							
	8	0	1				1			1								43	1						26								270			135										75				2160	6660	2160				20																																																																																																																																																																																																																							
	9	0	1				1			1								46	1						28								280			140										80				2160	6660	2160				20																																																																																																																																																																																																																							
	10	0	1				1			1								49	1						30								290			145										85				2160	6660	2160				20																																																																																																																																																																																																																							
	11	0	1				1			1								52	1						32								300			150										90				2160	6660	2160				20																																																																																																																																																																																																																							
	12	0	1				1			1								55	1						34								310			155										95				2160	6660	2160				20																																																																																																																																																																																																																							
	13	0	1				1			1								58	1						36								320			160										100				2160	6660	2160				20																																																																																																																																																																																																																							
	14	0	1				1			1								61	1						38								330			165										105				2160	6660	2160				20																																																																																																																																																																																																																							
	15	0	1				1			1								64	1						40								340			170										110				2160	6660	2160				20																																																																																																																																																																																																																							
	16	0	1				1			1								67	1						42								350			175										115				2160	6660	2160				20																																																																																																																																																																																																																							
	17	0	1				1			1								70	1						44								360			180										120				2160	6660	2160				20																																																																																																																																																																																																																							
	18	0	1				1			1								73	1						46								370			185										125				2160	6660	2160				20																																																																																																																																																																																																																							
	19	0	1				1			1								76	1						48								380			190										130				2160	6660	2160				20																																																																																																																																																																																																																							
	20	0	1				1			1								79	1						50								390			195										135				2160	6660	2160				20																																																																																																																																																																																																																							
Hell Typhoon	1	0	1				1			1								22	1						12								170			85										40				1900	6400	1900				20	4																																																														2400																																																																																																																																																								
	2	0	1				1			1								25	1						14								180			90										45				1900	6400	1900				20	4																																																															6400																																																																																																																																																							
	3	0	1				1			1								28	1						16								190			95										50				1900	6400	1900				20	4																																																															16800																																																																																																																																																							
	4	0	1				1			1								31	1						18								200			100										55				1900	6400	1900				20	4																																																															32000																																																																																																																																																							
	5	0	1				1			1								34	1						20								210			105										60				1900	6400	1900				20	4																																																															80000																																																																																																																																																							
	6	0	1				1			1								37	1						22								220			110										65				1900	6400	1900				20	4																																																																																																																																																																																																																						
	7	0	1				1			1								40	1						24								230			115										70				1900	6400	1900				20	4																																																																																																																																																																																																																						
	8	0	1				1			1								43	1						26								240			120										75				1900	6400	1900				20	4																																																																																																																																																																																																																						
	9	0	1				1			1								46	1						28								250			125										80				1900	6400	1900				20	4																																																																																																																																																																																																																						
	10	0	1				1			1								49	1						30								260			130										85				1900	6400	1900				20	4																																																																																																																																																																																																																						
	11	0	1				1			1								52	1						32								270			135										90				1900	6400	1900				20	4																																																																																																																																																																																																																						
	12	0	1				1			1								55	1						34								280			140										95				1900	6400	1900				20	4																																																																																																																																																																																																																						
	13	0	1				1			1								58	1						36								290			145										100				1900	6400	1900				20	4																																																																																																																																																																																																																						
	14	0	1				1			1								61	1						38								300			150										105				1900	6400	1900				20	4																																																																																																																																																																																																																						
	15	0	1				1			1								64	1						40								310			155										110				1900	6400	1900				20	4																																																																																																																																																																																																																						
	16	0	1				1			1								67	1						42								320			160										115				1900	6400	1900				20	4																																																																																																																																																																																																																						
	17	0	1				1			1								70	1						44								330			165										120				1900	6400	1900				20	4																																																																																																																																																																																																																						
	18	0	1				1			1								73	1						46								340			170										125				1900	6400	1900				20	4																																																																																																																																																																																																																						
	19	0	1				1			1								76	1						48								350			175										130				1900	6400	1900				20	4																																																																																																																																																																																																																						
	20	0	1				1			1								79	1						50								360			180										135				1900	6400	1900				20	4																																																																																																																																																																																																																						
Wind Quake	1	1	1	1			1			1								29	1						15								210			105										60				2160	6660	2160	5000			8	8																																																														6400																																																																																																								-14																																																
	2	1	1	1			1			1								32	1						17								220			110										65				2160	6660	2160	6000			8	8																																																															16000																																																																																																							-18																																																
	3	1	1	1			1			1								35	1						19								230			115										70				2160	6660	2160	7000			8	8																																																															48000																																																																																																							-22																																																
	4	1	1	1			1			1								38	1						21								240			120										75				2160	6660	2160	8000			8	8																																																															64000																																																																																																							-26																																																
	5	1	1	1			1			1								41	1						23								250			125										80				2160	6660	2160	9000			8	8																																																															120000																																																																																																							-30																																																
