TID	Name	Type	Race	Gender	Class	LVL	STR	DEX	INT	CON	CHA	Wis	AC	MAX_HP	MAX_SP	MAX_MP	CUR_HP	CUR_SP	CUR_MP	Movement Walk	Movement Run	AR	DR	MAR	MDR	Min_Damage	Max_Damage	ATK Speed	Range	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Magic History	Murder Point	Exp	Fire Min_Damage	Fire Max_Damage	Water Min_Damage	Water Max_Damage	Earth Min_Damage	Earth Max_Damage	Air Min_Damage	Air Max_Damage	Magic Min_Damage	Magic Max_Damage	Poison Min_Damage	Poison Max_Damage	Ice Min_Damage	Ice Max_Damage	Thunder Min_Damage	Thunder Max_Damage	Physical_Resistance	Skill_Block	Sight	Badge1_Rank Point	Badge2_Rank Point	Badge3_Rank Point	Rank	Item Point	Guild	Guild Rank	Guild Score	Lost Exp	Weapon	Item1	Item2	Item3	Item4	Armor_Head	Armor_Body	Armor_Arm	Armor_Hand	Armor_Leg	Armor_Foot	Armor_Mantle	Money	Geld_Min	Geld_Max	Drop_TID	slow_percent	slow_time	fast_percent	fast_time	Product_Skin_ItemName	Product_Meat	Product_Meat_ItemName	Product_Garbage	Product_Garbage_ItmeName	attribute_type	name_color	DropRank	DropMeditation	Spirit Type	LandAttachType	Tamable	Run Correct	Attack Correct	SiegeWarCharType	RangeType	StaminaPoint	PetType	StartStamina	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point
405	<General> Beacon	2																																																																																																	0											
406	<Hunter> Eliasse	2																																																																																																	0											
407	Brutal Razoredge	196612	11		5	58	294	215	194	239		147	72	11652	1130	1222				2500	7000	164	93			511	536	42	270	50	50	50	50	50	50	50	50			12275																			2500																							193	213		1	5	1	3								2	1.600000024		0	1	1	1								
408	Broken Henchman	196612	11		5	57	285	213	192	229		144	71	11088	1102	1191				2500	7000	160	91			497	522	42	270	50	50	50	50	50	50	50	50			11620																			2500																							187	207		1	5	1	3								2	1.600000024		0	1	1	1								
409	Broken Footsoldier	196612	11		5	56	271	207	183	223		140	69	10546	1075	1161				2500	7000	157	89			472	495	42	170	50	50	50	50	50	50	50	50			10992																			2500																							181	201		1	5	1	3								2	1.600000024		0	1	1	1								
410	Burial Raider	196612	11		5	51	231	169	163	188		126	113	51791	942	1013				1300	4300	141	80			258	271	37	170	30	30	30	30	100	50	50	50			19737									276	306									2500																							393	433		1	5	1	3						5	FFFF00	3	1.899999976	1	0		1	1								
411	Tomb Bandit	196612	11		5	52	254	191	171	206		129	64	9097	968	1042				1300	4800	144	82			442	464	47	170	50	50	50	50	50	50	50	50			8731																			2500																							162	179		1	5	1	3								2	1.600000024		0	1	1	1								
412	Scythe Master	196612	11		5	53	265	197	176	215		132	66	9304	994	1071				1300	5300	148	84			461	485	42	170	50	50	50	50	50	50	50	50			9260																			2500																							166	184		1	5	1	3								2	1.600000024		0	1	1	1								
413	Tomb Bat	196612	11		5	51	230	177	157	188		120	59	8632	942	1013				3100	5000	141	80			401	421	42	130	50	50	50	50	50	50	50	50			8224																			2500																							157	173		1	5	1	3								2	1.600000024		0	1	1	1								
414	Rabid Nightwing	196612	11		5	53	254	197	171	207		129	66	9304	994	1071				3100	5500	148	84			442	465	47	270	50	50	50	50	50	50	50	50			9260																			2500																							166	184		1	5	1	3								2	1.600000024		0	1	1	2								
415	Bloodluster	196612	11		5	54	261	194	175	212		133	65	9798	1021	1101				3100	5500	151	86			454	477	42	270	50	50	50	50	50	50	50	50			9813																			2500																							172	190		1	5	1	3								2	1.600000024		0	1	1	2								
416	Feral Bloodsucker	196612	11		5	56	295	220	192	237		143	73	10546	1075	1161				3100	6000	157	89			513	539	52	270	50	50	50	50	50	50	50	50			10992																			2500																							181	201		1	5	1	3								2	1.600000024		0	1	1	2								
417	Iron Construct	196612	11		5	54	272	192	180	221		136	64	9798	1021	1101				2800	7000	151	86			474	498	37	270	50	50	50	50	50	50	50	50			9813																			2500																							172	190		1	5	1	3								2	1.600000024		0	1	1	1								
418	Rusted Construct	196612	11		5	58	305	218	203	244		151	73	11652	1130	1222				2800	7500	164	93			531	558	37	270	50	50	50	50	50	50	50	50			12275																			2500																							193	213		1	5	1	3								2	1.600000024		0	1	1	1								
419	Faceeater	196612	11		5	51	247	181	166	200		125	60	8632	942	1013				2000	5600	141	80			430	452	42	170	50	50	50	50	50	50	50	50			8224																			2500																							157	173		1	5	1	3								2	1.600000024		1	1	1	1								
420	Fleshtearer	196612	11		5	52	247	182	166	201		126	61	9097	968	1042				2000	5100	144	82			431	452	42	170	50	50	50	50	50	50	50	50			8731																			2500																							162	179		1	5	1	3								2	1.600000024		1	1	1	1								
421	Rabid Fleshtearer	196612	11		5	55	279	207	185	227		140	69	10166	1048	1131				2000	6100	154	88			486	511	42	170	50	50	50	50	50	50	50	50			10390																			2500																							177	195		1	5	1	3								2	1.600000024		1	1	1	1								
422	Demonic Wretch	196612	11		5	57	289	213	195	234		147	71	11088	1102	1191				2000	5600	160	91			503	529	42	170	50	50	50	50	50	50	50	50			11620																			2500																							187	207		1	5	1	3								2	1.600000024		1	1	1	1								
423	Flesh Gorger	196612	11		5	58	289	203	194	235		147	68	11652	1130	1222				2000	5100	164	93			503	528	37	170	50	50	50	50	50	50	50	50			12275																			2500																							193	213		1	5	1	3								2	1.600000024		1	1	1	1								
424	Amus the Judge	196612	11		5	59	318	223	219	257		167	149	72464	1157	1252				1800	7000	167	95			354	372	32	270	50	50	50	50		100	50	50			31090											379	419							2500																							495	545		1	5	1	3						6	BDA66B	3	1.899999976		0		1	1								
425	Ramin the Devourer	196612	11		5	59	318	223	219	257		167	149	72464	1157	1252				3000	8000	167	95			354	372	32	470	30	30	30	30	100	50	50	50			31090									379	419									2500																							495	545		1	5	1	3						5	BDA66B	3	1.899999976	1	0		1	1								
426	<General> Quig	2																																																																																																	0											
427	�ǱԾ�_��ũ�ε�	196612	11		5	70	429	266	283	347		212	177	1220058	1540	1677				1500	6250	213	124			1085	1139	23	2000	50	50	50	50	50	50	50	50			294477																			2500																										1	5	1	3									12.10000038		0		1	1		1						
428	Invader Commander	196612	11		5	99	342	215	236	276		179		10000000	1242	1347				3000	8250	177	102			3000	3100	25	300	50	50	50	50	50	50	50	50			182367													3500	3600					2500																							100000	110000		1	5	1	3						5	FF0000	8	12.10000038	1	0		1	1								
429	Ice Golem	196612	11		5	36	159	112	108	129		82	19	1743	583	614				1900	6500	97	54			186	195	32	270	50	50	50	50		50	100	50			1387													100	110					2500																							93	103		1	5	1	3							1E90FF	1	5		0	1	1	1								
430	Toton	196612	1		5	80	480	396	343	385		260	396	206397	1793	1959				2000	8000	245	140			399	419	52	200	100		50	50	50	50	50	50			295708	428	473																	2500																							329	363			5		3						1	FFDAB9	7	3	3	0		1	1								
431	Lydia	196612	1		5	80	480	396	343	385		260	396	206397	1793	1959				2000	8000	245	140			399	419	45	1800	100		50	50	50	50	50	50			295708	428	473																	2500																							329	363			5		3						1	FFDAB9	7	3	3	0		1	1		1						
432	Duphrane	196612	2		5	80	487	390	343	392		260	390	206397	1793	1959				2000	8000	245	140			406	426	52	200	50	50		100	50	50	50	50			295708					435	481													2500																							329	363			5		3						4	ADFF2F	7	3	4	0		1	1								
433	Vainton	196612	2		5	80	487	390	343	392		260	390	206397	1793	1959				2000	8000	245	140			406	426	45	1800	50	50		100	50	50	50	50			295708					435	481													2500																							329	363			5		3						4	ADFF2F	7	3	4	0		1	1		1						
434	Lurien	2																																																																																																	0											
435	Losemira	196612	3		5	80	472	402	343	378		260	402	206397	1793	1959				2000	8000	245	140			393	412	45	1800		100	50	50	50	50	50	50			295708			421	465															2500																							329	363			5		3						2	B0E0E6	7	3	2	0		1	1		1						
436	�޸�_�?Ż��_�鸶	196672	1			72															13500																																																																														1		1	1								
437	�޸�_�?Ż��_�渶	196672	1			73															13500																																																																														1		1	1								
438	��ũ_�?Ż��_��	196672	2			72															13500																																																																														1		1	1								
439	��ũ_�?Ż��_��	196672	2			73															13500																																																																														1		1	1								
440	������_�?Ż��_��	196672	3			73															13500																																																																														1		1	1								
441	������_�?Ż��_��	196672	3			72															13500																																																																														1		1	1								
442	Ugdrasil	196612	2		5	113	909	729	643	729		487	729	5335839	2482	2725				2000	8000	340	205			3433	3604	38	1800	50	50		100	50	50	50	50			3564638					1838	2032													2500																							2684	2964			5		3						4	ADFF2F	7	3	4	0		1	1		1						
443	<Craftsman> Givinia	2																																																																																																	0											
444	<Mage> Jenny	2																																																																																																	0											
445	<Traveler> Lara	2																																																																																																	0											
447	Gracia	196612	3		5	113	894	739	643	716		487	740	5335839	2482	2725				2000	8000	340	205			3377	3546	38	1800		100	50	50	50	50	50	50			3564638			1809	1999															2500																							2684	2964			5		3						2	B0E0E6	7	3	2	0		1	1		1						
448	Zian	196612	1		5	113	894	739	643	716		487	740	5335839	2482	2725				2000	8000	340	205			3377	3546	45	200	100		50	50	50	50	50	50			3564638	1809	1999																	2500																							2684	2964			5		3						1	FFDAB9	7	3	3	0		1	1								
449	<Traveler> Malroy	2																																																																																																	0											
450	Green Worm	196612	11		5	1	16	11	7	14		6	2	136	62	35				450	3850	21				15	15	32	170	50	50	50	50	50	50	50	50			14																			2500																							10	12		1	5	1	3								1	1		2	1	1	1								
451	Whitedran	196612	11		5	10	35	25	20	30		16	4	298	136	117				3940	5300	35				43	45	42	190	50	50	50	50	50	50	50	50			249																			2500																							23	25		1	5	1	3								1	1		0	1	1	1								
452	Yellow Worm	196612	11		5	2	17	12	8	15		7	2	168	66	40				450	3850	23				17	17	32	170	50	50	50	50	50	50	50	50			27																			2500																							11	13		1	5	1	3								1	1		2	1	1	1								
453	Troll Slave	196612	11		5	19	67	49	42	56		32	8	563	260	255				1800	5500	54	31			80	84	42	140	50	50	50	50	50	50	50	50			446																			2500																							41	45		1	5	1	3								1	1		0	1	1	1								
454	Troll Guard	196612	11		5	21	77	57	49	64		37	10	626	292	291				1800	6700	58	33			91	96	47	140	50	50	50	50	50	50	50	50			510																			2500																							47	51		1	5	1	3								1	1		0	1	1	1								
455	Rockpick	196612	11		5	8	29	21	16	25		13	4	1602	114	93				1490	5900	32	18			57	60	42	190	50	50	50	50	50	50	50	50			330																			2500																							50	55		1	5	1	3							BDA66B	2	1.5		1		1	2								
456	Young Griffin	196612	11		5	32	135	89	87	110		65	15	1403	498	520				2600	4000	86	48			159	166	37	190	50	50	50	50	50	50	50	50			1093																			2500																							79	87		1	5	1	3								1	1		0	1	1	1								
457	Green Dragon Cid	196612	11		5	25	106	73	70	87		54	24	11676	399	410				3000	6500	73	41			227	238	25	470	50	50	100		50	50	50	50			3348							122	134											2500																							228	252		1	5	1	3						3	F15D5D	3	1.5	5	0		1	1								
458	Young Dreadwolf	196612	11		5	35	147	113	96	119		72	19	1653	561	590				1280	5800	95	53			172	180	47	190	50	50	50	50	50	50	50	50			1309																			2500																							89	99		1	5	1	3								1	1		1	1	1	2								
459	Young Hydra	196612	11		5	13	45	33	27	38		21	6	366	173	159				2250	5800	41				55	57	42	270	50	50	50	50	50	50	50	50			324																			2500																							29	32		1	5	1	3								1	1		1	1	1	1								
460	Ranger	196609	3	2	2	1	13	18	7	10		8		80	97	43				2000	6000							60	100																																								2727	190;5	193;3	3857;5													9	5	9	3											0		1	1								
461	Venom	196612				34	136	105	94	111		73	17	2036	540	566				2000	7000	92	51			159	167	36	1500	50	50	50	50		100	50	50														170	188							1800																										1	5	1	3						6					0		1	2								
462	Mercury	196612				22	76	57	51	63		40	9	910	309	310				2000	7000	61	35			90	95	36	330	30	30	30	30	100	50	50	50												97	107									1800																										1	5	1	3						5				1	0		1	1								
463	Gradion	196612				22	79	58	52	65		41	10	910	309	310				2000	7000	61	35			93	98	36	300	50	50		100	50	50	50	50								100	110													1800																										1	5	1	3						4				4	0		1	1								
464	Silpid	196612				10	34	26	21	29		17	4	387	136	117				2000	7000	35	20			42	44	36	50	50	50	100		50	50	50	50										45	49											1800																										1	5	1	3						3				5	0		1	1								
465	Crab A	8				1	16	7	8	13		7	5	200	200	200				10	10	21	12			5	8	50	10																																																								9	5	9	3											0		1	1								
466	Crab B	8				1	16	7	8	13		7	5	200	200	200				10	10	21	12			5	8	50	10																																																								9	5	9	3											0		1	1								
467	Seagull	8				1	16	7	8	13		7	5	200	200	200				100	100	21	12			5	8	50	10																																																								9	5	9	3											0		1	1								
468	Lightning Trap	196612				43	173	124	119	142		92	21	3314	742	791						118	65			202	212	30	500	50	50	50	50	50	50	50	50																						2500																										1	5	1	3											0			1								
469	Bloodborn Soldier	196612	11		5	45	193	144	131	158		100	48	6399	791	845				1660	4800	124	69			337	354	37	170	50	50	50	50	50	50	50	50			5637																			2500																							129	143		1	5	1	3								2	1.600000024		0	1	1									
470	Death Crow	196612	11		5	12	40	30	24	34		19	5	336	160	144				3700	5700	39				49	51	42	190	50	50	50	50	50	50	50	50			313																			2500																							27	29		1	5	1	3								1	1		0	1	1	1								
471	Gnoll Soldier	196612	11		5	7	26	19	15	23		12	6	1398	104	82				3000	7000	30	17			21	22	42	200	50	50		100	50	50	50	50			316					23	25													2500																							45	50		1	5	1	3						4	FFFF00	2	1.299999952	4	0		1	1								
472	Canedog Slave	196612	11		5	27	105	82	68	87		52	14	973	399	410				1800	7500	73	41			124	130	52	270	50	50	50	50	50	50	50	50			797																			2500																							63	69		1	5	1	3								1	1		0	1	1	1								
473	Young Barrick	196612	11		5	1	16	11	7	14		6	2	136	62	35				1300	6850	21				15	15	32	150	50	50	50	50	50	50	50	50			14																			2500																							10	12		1	5	1	3								1	1		1	1	1	1								
474	Cat Grippler	196612	11		5	24	87	64	56	72		43	11	787	344	349				1000	4600	66	37			103	108	42	140	50	50	50	50	50	50	50	50			634																			2500																							54	60		1	5	1	3								1	1		1	1	1	1								
475	Bandillion Soldier	196612	11		5	11	36	27	22	31		18	9	1842	148	131				1300	4300	37	21			29	30	37	170	30	30	30	30	100	50	50	50			724									30	34									2500																							63	68		1	5	1	3						5	FFFF00	2	1.299999952	1	0		1	1								
476	Young Sabbat	196612	11		5	29	114	91	75	93		57	15	1141	438	453				2200	8000	78	44			134	141	47	250	50	50	50	50	50	50	50	50			906																			2500																							69	77		1	5	1	3								1	1		0	1	1	1								
477	Small Voltex	196612	11		5	14	46	34	28	39		22	6	382	186	173				3500	7000	43				56	59	37	420	50	50	50	50	50	50	50	50			337																			2500																							30	34		1	5	1	3								1	1		0	1	1	1								
478	Small Broken	196612	11		5	12	40	30	24	34		19	5	336	160	144				2500	7000	39				49	51	42	170	50	50	50	50	50	50	50	50			313																			2500																							27	29		1	5	1	3								1	1		0	1	1	1								
479	Small Tentacle	196612	11		5	13	45	31	28	38		22	10	2196	173	159				350		41	24			35	36	35	2800	50	50	50	50		50	50	100			776															37	41			2500																							73	80		1	5	1	3						7	FFFF00	2	1.299999952		1			1		1						
480	Young Lich	196612	11		5	27	105	74	68	87		52	12	973	399	410				350		73	41			124	130	45	2800	50	50	50	50	50	50	50	50			797																			2500																							63	69		1	5	1	3								1	1		1			2		1						
481	Gnoll King	196612	11		5	9	39	28	24	33		19	9	3684	148	131				3300	8000	37	21			87	91	25	350	50	50		100	50	50	50	50			1267					47	51													2500																							84	92		1	5	1	3						4	F15D5D	3	1.5	4	0		1	1								
482	Canedog Commander	196612	11		5	33	153	105	104	124		79	35	19836	561	590				1300	7500	95	53			325	342	25	550	50	50		100	50	50	50	50			5498					174	192													2500																							332	364		1	5	1	3						4	F15D5D	3	1.5	4	0		1	1								
483	Grippler King	196612	11		5	30	132	101	89	108		68	34	16836	498	520				1200	7100	86	48			282	296	45	250	100		50	50	50	50	50	50			4591	151	167																	2500																							288	320		1	5	1	3						1	FFFF00	3	1.5	3	1		1	1								
484	Bandillion Boss	196612	11		5	15	61	43	39	51		31	14	5820	229	221				1300	5800	50	28			134	141	25	270	30	30	30	30	100	50	50	50			1652									72	80									2500																							128	144		1	5	1	3						5	F15D5D	3	1.5	1	0		2	1								
485	Total Broken	196612	11		5	20	83	59	55	69		42	20	8400	309	310				3000	8000	61	35			180	189	25	470	30	30	30	30	100	50	50	50			2296									96	106									2500																							176	192		1	5	1	3						5	BDA66B	3	1.5	1	0		1	1								
486	Nibinrib	2																																																																																																	0											
487	Balmir	2																																																																																																	0											
488	Tindo	2																																																																																																	0											
489	Serkel	2																																																																																																	0											
490	Rotingel	2																																																																																																	0											
491	Talliwen	2																																																																																																	0											
492	Lakiel	2																																																																																																	0											
493	Aldored	2																																																																																																	0											
494	Mithglam	2																																																																																																	0											
495	Buzz	2																																																																																																	0											
496	Blood Crow	196612	11		5	22	79	59	51	65		39	10	700	309	310				3700	5700	61	35			94	99	42	190	50	50	50	50	50	50	50	50			547																			2500																							48	54		1	5	1	3								1	1		0	1	1	1								
497	Blade Crow	196612	11		5	26	100	74	65	83		49	12	908	380	389				3700	5700	70	40			118	124	47	190	50	50	50	50	50	50	50	50			738																			2500																							60	66		1	5	1	3								1	1		0	1	1	2								
498	Guardian Crow	196612	11		5	29	114	91	75	93		57	15	1141	438	453				3700	6700	78	44			134	141	47	190	50	50	50	50	50	50	50	50			906																			2500																							69	77		1	5	1	3								1	1		0	1	1	2								
499	Night Crow	196612	11		5	31	126	96	82	103		62	16	1294	477	497				3700	6200	83	47			148	156	47	190	50	50	50	50	50	50	50	50			1027																			2500																							75	83		1	5	1	3								1	1		0	1	1	2								
500	Gnoll Warrior	196612	11		5	8	29	21	16	25		13	4	267	114	93				3000	7000	32				36	38	42	200	50	50	50	50	50	50	50	50			165																			2500																							20	22		1	5	1	3								1	1		0	1	1	1								
501	Gnoll Charger	196612	11		5	9	31	23	18	27		14	4	276	125	105				3000	6500	33				39	41	42	200	50	50	50	50	50	50	50	50			204																			2500																							21	23		1	5	1	3								1	1		0	1	1	1								
502	Canedog Combatant	196612	11		5	30	119	95	78	98		60	16	1216	457	475				1800	8000	80	45			140	147	47	250	50	50	50	50	50	50	50	50			965																			2500																							72	80		1	5	1	3								1	1		0	1	1	1								
503	Canedog Guardian	196612	11		5	32	135	89	87	110		65	15	1403	498	520				1800	6500	86	48			159	166	37	250	50	50	50	50	50	50	50	50			1093																			2500																							79	87		1	5	1	3								1	1		0	1	1	1								
504	Ironbeak Barrick	196612	11		5	2	17	12	8	15		7	2	168	66	40				1300	6850	23				17	17	32	150	50	50	50	50	50	50	50	50			27																			2500																							11	13		1	5	1	3								1	1		1	1	1	1								
505	Black Barrick	196612	11		5	9	31	23	18	27		14	4	276	125	105				1300	7100	33				39	41	42	150	50	50	50	50	50	50	50	50			204																			2500																							21	23		1	5	1	3								1	1		1	1	1	1								
506	Dog Grippler	196612	11		5	26	100	74	65	83		49	12	908	380	389				1000	5100	70	40			118	124	47	150	50	50	50	50	50	50	50	50			738																			2500																							60	66		1	5	1	3								1	1		1	1	1	1								
507	Silver Grippler	196612	11		5	28	108	83	74	88		57	28	6588	418	431				1000	5100	75	42			81	85	47	150	30	30	30	30	100	50	50	50			2040									86	96									2500																							165	180		1	5	1	3						5	FFFF00	2	1.299999952	1	1		1	1								
508	Bandillion Scout	196612	11		5	13	45	33	27	38		21	6	366	173	159				1300	5300	41				55	57	42	170	50	50	50	50	50	50	50	50			324																			2500																							29	32		1	5	1	3								1	1		0	1	1	1								
509	Bandillion Guard	196612	11		5	15	52	39	32	43		25	6	432	200	189				1300	4800	46				62	65	47	170	50	50	50	50	50	50	50	50			352																			2500																							32	36		1	5	1	3								1	1		0	1	1	1								
510	Dark Sabbat	196612	11		5	33	127	97	88	104		68	32	8694	519	543				2200	7000	89	50			95	100	37	250	50	50	50	50		50	50	100			2788															102	112			2500																							208	228		1	5	1	3						7	FFFF00	2	1.299999952		0		1	1								
511	Cutter Voltex	196612	11		5	23	84	63	53	70		41	10	731	327	329				3500	8000	63	36			100	104	42	420	50	50	50	50	50	50	50	50			589																			2500																							51	57		1	5	1	3								1	1		0	1	1	2								
512	Flying Voltex	196612	11		5	25	92	70	63	77		49	23	5232	362	369				3500	7500	68	39			70	73	42	420	50	50	100		50	50	50	50			1641							75	83											2500																							143	158		1	5	1	3						3	FFFF00	2	1.299999952	5	0		1	2								
513	Needle Voltex	196612	11		5	28	109	83	71	89		54	14	1098	418	431				3500	7500	75	42			128	134	47	420	50	50	50	50	50	50	50	50			850																			2500																							66	72		1	5	1	3								1	1		0	1	1	2								
514	Mantle Voltex	196612	11		5	31	126	96	82	103		62	16	1294	477	497				3500	8000	83	47			148	156	47	420	50	50	50	50	50	50	50	50			1027																			2500																							75	83		1	5	1	3								1	1		0	1	1	2								
515	Broken Avenger	196612	11		5	17	58	43	38	48		29	14	2910	229	221				2500	7000	50	28			45	47	42	270	50	50	50	50		100	50	50			944											48	54							2500																							93	103		1	5	1	3						6	FFFF00	2	1.299999952		0		1	1								
516	Broken Guardian	196612	11		5	19	66	49	43	55		34	16	3378	260	255				2500	7000	54	31			51	53	42	270		100	50	50	50	50	50	50			1069			54	60															2500																							103	113		1	5	1	3						2	FFFF00	2	1.299999952	2	0		1	1								
517	Wild Tentacle	196612	11		5	22	78	55	53	64		41	18	4200	309	310				350		61	35			60	63	35	2800	100		50	50	50	50	50	50			1312	65	71																	2500																							120	135		1	5	1	3						1	FFFF00	2	1.299999952	3	1			1		1						
518	Blade Tentacle	196612	11		5	25	93	65	61	78		47	11	872	362	369				350		68	39			110	115	35	2800	50	50	50	50	50	50	50	50			684																			2500																							57	63		1	5	1	3								1	1		1			1		1						
519	Wild Lich	196612	11		5	30	118	85	81	96		63	28	7296	457	475				350		80	45			89	93	40	2800	50	50	50	50		100	50	50			2315											95	105							2500																							180	200		1	5	1	3						6	FFFF00	2	1.299999952		1			1		1						
520	Poison Lich	196612	11		5	32	135	85	87	110		65	14	1403	498	520				350		86	48			159	166	30	2800	50	50	50	50	50	50	50	50			1093																			2500																							79	87		1	5	1	3								1	1		1			1		1						
521	Forgotten Watchman	196612	11		5	17	56	42	35	47		28	14	1116	229	221				1660	4800	50	28			101	106	37	170	50	50	50	50	50	50	50	50			944																			2500																							37	41		1	5	1	3								2	1.600000024		0	1	1									
522	Forgotten Hunter	196612	11		5	18	60	47	39	51		30	16	1203	244	238				1660	5300	52	30			109	114	42	800	50	50	50	50	50	50	50	50			1005																			2500																							39	43		1	5	1	3								2	1.600000024		0	1	1	1		1						
523	Forgotten Ruler	196612	11		5	23	98	69	65	80		50	46	24067	362	369				1660	7000	68	39			316	331	25	270	30	30	30	30	100	50	50	50			6892									169	187									2500																							204	228		1	5	1	3						5	BDA66B	4	2.099999905	1	0		1									
525	Grave Zombie	196612	11		5	19	66	50	42	56		33	17	1295	260	255				2070	5500	54	31			119	125	42	200	50	50	50	50	50	50	50	50			1069																			2500																							41	45		1	5	1	3								2	1.600000024		0	1	1	1								
526	Cave Werewolf Slave	196612	11		5	27	99	72	64	82		50	24	2238	399	410				2500	5000	73	41			175	184	37	190	50	50	50	50	50	50	50	50			1913																			2500																							63	69		1	5	1	3								2	1.600000024		0	1	1	1								
527	Cave Werewolf	196612	11		5	28	106	80	69	88		53	27	2525	418	431				2500	5300	75	42			188	197	42	190	50	50	50	50	50	50	50	50			2040																			2500																							66	72		1	5	1	3								2	1.600000024		0	1	1	1								
528	Cave Werewolf Leader	196612	11		5	31	126	96	82	103		62	32	2976	477	497				2500	6300	83	47			222	233	47	210	50	50	50	50	50	50	50	50			2466																			2500																							75	83		1	5	1	3								2	1.600000024		0	1	1	1								
530	Green Dragon Exilaikon	196612	11		5	33	149	103	101	122		77	69	45623	561	590				3000	6500	95	53			477	500	25	470	100		50	50	50	50	50	50			13195	256	282																	2500																							332	364		1	5	1	3						1	BDA66B	4	2.099999905	3	0		1	1								
531	Watchman of the Dead	196612	11		5	17	56	42	35	47		28	14	1116	229	221				1660	4800	50	28			101	106	37	170	50	50	50	50	50	50	50	50			944																			2500																							37	41		1	5	1	3								2	1.600000024		0	1	1									
532	Rover	196612	11		5	18	60	47	39	51		30	16	1203	244	238				1660	5300	52	30			109	114	42	800	50	50	50	50	50	50	50	50			1005																			2500																							39	43		1	5	1	3								2	1.600000024		0	1	1	1		1						
533	King of the Dead	196612	11		5	23	98	69	65	80		50	46	24067	362	369				1660	7000	68	39			316	331	25	270	30	30	30	30	100	50	50	50			6892									169	187									2500																							204	228		1	5	1	3						5	BDA66B	4	2.099999905	1	0		1									
535	Frenzy Zombie	196612	11		5	19	66	50	42	56		33	17	1295	260	255				2070	5500	54	31			119	125	42	200	50	50	50	50	50	50	50	50			1069																			2500																							41	45		1	5	1	3								2	1.600000024		0	1	1	1								
536	Demon Werewolf	196612	11		5	28	106	80	69	88		53	27	2525	418	431				2500	5300	75	42			188	197	42	190	50	50	50	50	50	50	50	50			2040																			2500																							66	72		1	5	1	3								2	1.600000024		0	1	1	1								
537	Demon Werewolf Slave	196612	11		5	27	99	72	64	82		50	24	2238	399	410				2500	5000	73	41			175	184	37	190	50	50	50	50	50	50	50	50			1913																			2500																							63	69		1	5	1	3								2	1.600000024		0	1	1	1								
538	Demon Werewolf Leader	196612	11		5	31	126	96	82	103		62	32	2976	477	497				2500	6300	83	47			222	233	47	210	50	50	50	50	50	50	50	50			2466																			2500																							75	83		1	5	1	3								2	1.600000024		0	1	1	1								
540	Brown Dragon Galkyuaran	196612	11		5	33	149	103	101	122		77	69	45623	561	590				3000	6500	95	53			477	500	25	470	100		50	50	50	50	50	50			13195	256	282																	2500																							332	364		1	5	1	3						1	BDA66B	4	2.099999905	3	0		1	1								
541	Cygnus	196612				40	181	125	125	147		95	21	2833	672	713				2000	7000	109	60			211	222	36	1500	50	50	50	50		50	100	50																226	250					1800																										1	5	1	3						8					0		1	2								
542	Silver	196612				46	214	157	149	174		114	26	3775	815	872				2000	7000	126	71			250	262	36	1500	50	50	50	50		50	50	100																		268	296			1800																										1	5	1	3						7					0		1	1								
543	Griolli	196612				4	20	14	10	18		9	2	260	79	54				2000	7000	26	15			22	23	36	1500		100	50	50	50	50	50	50						24	26															1800																										1	5	1	3						2				2	0		1	1								
544	Bloodborn Fighter	196612	11		5	46	199	149	135	163		103	50	6679	815	872				1660	4800	126	71			348	365	37	170	50	50	50	50	50	50	50	50			6018																			2500																							134	148		1	5	1	3								2	1.600000024		0	1	1	1								
545	Bloodborn Archer	196612	11		5	46	205	157	137	170		106	52	6679	815	872				1660	5300	126	71			358	376	42	800	50	50	50	50	50	50	50	50			6018																			2500																							134	148		1	5	1	3								2	1.600000024		0	1	1	1		1						
546	Bloodborn Deathknight	196612	11		5	47	223	170	148	182		111	57	7089	840	900				1660	5800	129	73			390	409	47	200	50	50	50	50	50	50	50	50			6417																			2500																							138	152		1	5	1	3								2	1.600000024		0	1	1	1								
547	Bloodborn Darkbracer	196612	11		5	47	209	162	148	172		115	108	42532	840	900				1660	5300	129	73			233	245	42	800	50	50	100		50	50	50	50			15401							250	276											2500																							345	380		1	5	1	3						3	FFFF00	3	1.899999976	5	0		1	1		1						
548	Bloodborn Wizard	196612	11		5	48	224	171	150	184		115	57	7514	865	928				1660	5800	132	74			390	410	42	800	50	50	50	50	50	50	50	50			6839																			2500																							143	158		1	5	1	3								2	1.600000024		0	1	1	1		1						
549	Bloodborn Shaman	196612	11		5	49	228	176	161	187		125	117	46989	890	956				1660	5800	135	76			254	267	42	800	30	30	30	30	100	50	50	50			17469									273	301									2500																							368	408		1	5	1	3						5	FFFF00	3	1.899999976	1	0		1	1		1						
550	Reckles	196612	11		5	50	266	187	183	215		139	124	109158	968	1042				1660	7000	144	82			842	884	25	270	30	30	30	30	100	50	50	50			36671									451	499									2500																							608	672		1	5	1	3						5	BDA66B	4	2.099999905	1	0		1									
