TID	ItemName	Level	SuitableLevelMin	SuitableLevelMax	Class	Race	Gender	Part	Kind	ItemType	Type	SubType	ExtraType	BoundType	EventItem	PCBang Only	Villain Only	GroupID	DropRate	DropRank	font color	Spirit Type	NPC Price	PC Price	NPC Charisma Price	NPC Shrine Coin	PC Charisma Price	PC Shrine Coin	NPC Arena Coin	Stack	Hand	Rank	DUR	MinSocket	MaxSocket	MinOption	MaxOption	ATK Range	ATK Speed	Physical_Min_Damage	Physical_Max_Damage	Magic_Min_Damage	Water_Min_Damage	Fire_Min_Damage	Earth_Min_Damage	Air_Min_Damage	Poison_Min_Damage	Ice_Min_Damage	Linghtning_Min_Damage	Magic_Max_Damage	Water_Max_Damage	Fire_Max_Damage	Earth_Max_Damage	Air_Max_Damage	Poison_Max_Damage	Ice_Max_Damage	Linghtning_Max_Damage	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	PDR	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Magic_Defense_Rate	Water_Defense_Rate	Fire_Defense_Rate	Earth_Defense_Rate	Air_Defense_Rate	Poison_Defense_Rate	Ice_Defense_Rate	Linghtning_Defense_Rate	CON_Bonus_Point	STR_Bonus_Point	DEX_Bonus_Point	INT_Bonus_Point	Wis_Bonus_Point	Apply Effect Count	Apply Effect Time	Use Interval	HP	SP	MP	Rune Attribute	Use skill id	Use skill level	Polymorph Id	Polymorph Dur	FirstCategory	FirstCategoryName	SecondCategory	SecondCategoryName	PhysicalRank	Hp_Buff	Mp_Buff	Attack_Buff	Defense_Buff	Run_Buff	Cash	Destination	RemainTime	ExpireTime	classify_id	CanStopUsingItem	CashItemUseType	EnableOnRide	Buyer_Type	Using_Type	OptionTID	PotionType2	Link_id	Skill_plus	Gambling	QuestItem	Gacha_Type_Numer	GachaRank	Gacha_Point_Type	StaminaCure	RemainPetStamina	GachaMinLv	GachaMaxLv	Item_section_num	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point
2348	Mirrorin Garb	35	29	40	4	1		2	1	0								6	300	2	16777040		18144	756								2	61	2	4	3	5																					12																																					13	Rare Armor	134	Mage(Human)	11																				1		2	1				29	41				
2349	?????? Arms							4	1	0																																																0																																																																									
2350	Mirrorin Bracelets	35	29	40	4	1		5	1	0								6	300	2	16777040		3648	152								2	40	2	2	1	3																					5	4																																				13	Rare Armor	134	Mage(Human)	11																				1		2	1				29	41				
2351	Mirrorin Kilt	35	29	40	4	1		6	1	0								6	300	2	16777040		7296	304								2	54	2	3	2	4																					9																																					13	Rare Armor	134	Mage(Human)	11																				1		2	1				29	41				
2352	Mirrorin Boots	35	29	40	4	1		7	1	0								6	300	2	16777040		3648	152								2	40	2	2	1	3																					5			4																																		13	Rare Armor	134	Mage(Human)	11																				1		2	1				29	41				
2353	Idea Call Headband	44	38	49	4	1		3	1	0								6	300	2	16777040		10944	456								2	27			1	2																					4																																					13	Rare Armor	134	Mage(Human)	12																				1		2	1				38	50				
2354	Idea Call Garb	44	38	49	4	1		2	1	0								6	300	2	16777040		54720	2280								2	61	2	4	3	5																					13																																					13	Rare Armor	134	Mage(Human)	12																				1		2	1				38	50				
2355	???????? Arms							4	1	0																																																0																																																																									
2356	Idea Call Bracelets	44	38	49	4	1		5	1	0								6	300	2	16777040		10944	456								2	40	2	2	1	3																					6	5																																				13	Rare Armor	134	Mage(Human)	12																				1		2	1				38	50				
2357	Idea Call Kilt	44	38	49	4	1		6	1	0								6	300	2	16777040		21888	912								2	54	2	3	2	4																					10																																					13	Rare Armor	134	Mage(Human)	12																				1		2	1				38	50				
2358	Idea Call Boots	44	38	49	4	1		7	1	0								6	300	2	16777040		10944	456								2	40	2	2	1	3																					6			5																																		13	Rare Armor	134	Mage(Human)	12																				1		2	1				38	50				
2359	Heartfind Headband	52	46	57	4	1		3	1	0								6	300	2	16777040		27840	1160								2	27			1	2																					4																																					13	Rare Armor	134	Mage(Human)	12																				1		2	1				46	61				
2360	Heartfind Garb	52	46	57	4	1		2	1	0								6	300	2	16777040		139200	5800								2	61	2	4	3	5																					15																																					13	Rare Armor	134	Mage(Human)	12																				1		2	1				46	61				
2361	?????????? Arms							4	1	0																																																0																																																																									
2362	Heartfind Bracelets	52	46	57	4	1		5	1	0								6	300	2	16777040		27840	1160								2	40	2	2	1	3																					7	6																																				13	Rare Armor	134	Mage(Human)	12																				1		2	1				46	61				
2363	Heartfind Kilt	52	46	57	4	1		6	1	0								6	300	2	16777040		55680	2320								2	54	2	3	2	4																					11																																					13	Rare Armor	134	Mage(Human)	12																				1		2	1				46	61				
2364	Heartfind Boots	52	46	57	4	1		7	1	0								6	300	2	16777040		27840	1160								2	40	2	2	1	3																					7			6																																		13	Rare Armor	134	Mage(Human)	12																				1		2	1				46	61				
2365	Lost Oracle Headband	60	54	65	4	1		3	1	0								6	300	2	16777040		37440	1560								2	27			1	2																					5																																					13	Rare Armor	134	Mage(Human)	13																				1		2	1				54	69				
2366	Lost Oracle Garb	60	54	65	4	1		2	1	0								6	300	2	16777040		187200	7800								2	61	2	4	3	5																					17																																					13	Rare Armor	134	Mage(Human)	13																				1		2	1				54	69				
2367	???????????? Arms							4	1	0																																																0																																																																									
2368	Lost Oracle Bracelets	60	54	65	4	1		5	1	0								6	300	2	16777040		37440	1560								2	40	2	2	1	3																					8	7																																				13	Rare Armor	134	Mage(Human)	13																				1		2	1				54	69				
2369	Lost Oracle Kilt	60	54	65	4	1		6	1	0								6	300	2	16777040		74880	3120								2	54	2	3	2	4																					12																																					13	Rare Armor	134	Mage(Human)	13																				1		2	1				54	69				
2370	Lost Oracle Boots	60	54	65	4	1		7	1	0								6	300	2	16777040		37440	1560								2	40	2	2	1	3																					8			7																																		13	Rare Armor	134	Mage(Human)	13																				1		2	1				54	69				
2371	Ghostslasher Helm	35	29	40	1	2		3	1	0								7	100	3	11968874		4256	177								3	39			1	2																					6																																					15	Unique Armor	155	Berserker(Orc)	12																			351;352;355;354;353	1		2	2				29	41				
2372	Ghostslasher Armor	35	29	40	1	2		2	1	0								7	100	3	11968874		21168	882								3	88	3	4	3	5																					20																																					15	Unique Armor	155	Berserker(Orc)	12																			1;57;7;49;223;224;225;226;126;128;3;75	1		2	2				29	41				
2373	????????????Arms							4	1	0																																																0																																																																									
2374	Ghostslasher Gauntlets	35	29	40	1	2		5	1	0								7	100	3	11968874		4256	177								3	59	2	2	1	3																					9	6																																				15	Unique Armor	155	Berserker(Orc)	12																			4;10;131;132;133;134;135;228	1		2	2				29	41				
2375	Ghostslasher Greaves	35	29	40	1	2		6	1	0								7	100	3	11968874		8512	355								3	78	2	3	2	4																					14																																					15	Unique Armor	155	Berserker(Orc)	12																			127;136;9;144;200;142;143;137	1		2	2				29	41				
2376	Ghostslasher Boots	35	29	40	1	2		7	1	0								7	100	3	11968874		4256	177								3	59	2	2	1	3																					9			6																																		15	Unique Armor	155	Berserker(Orc)	12																			59;60;61;74	1		2	2				29	41				
2377	Desert Ruin Armor	44	38	49	1	2		2	1	0								7	100	3	11968874		63840	2660								3	88	3	4	3	5																					23																																					15	Unique Armor	155	Berserker(Orc)	13																			1;57;7;49;223;224;225;226;126;128;3;75	1		2	2				38	50				
2378	?????????? Arms							4	1	0																																																0																																																																									
2379	Desert Ruin Gauntlets	44	38	49	1	2		5	1	0								7	100	3	11968874		12768	532								3	59	2	2	1	3																					10	7																																				15	Unique Armor	155	Berserker(Orc)	13																			4;10;131;132;133;134;135;228	1		2	2				38	50				
2380	Desert Ruin Greaves	44	38	49	1	2		6	1	0								7	100	3	11968874		25536	1064								3	78	2	3	2	4																					17																																					15	Unique Armor	155	Berserker(Orc)	13																			127;136;9;144;200;142;143;137	1		2	2				38	50				
2381	Desert Ruin Boots	44	38	49	1	2		7	1	0								7	100	3	11968874		12768	532								3	59	2	2	1	3																					10			7																																		15	Unique Armor	155	Berserker(Orc)	13																			59;60;61;74	1		2	2				38	50				
2382	Desert Ruin Helm	44	38	49	1	2		3	1	0								7	100	3	11968874		12768	532								3	39			1	2																					7																																					15	Unique Armor	155	Berserker(Orc)	13																			351;352;355;354;353	1		2	2				38	50				
2383	Hellgater Helm	52	46	57	1	2		3	1	0								7	100	3	11968874		32480	1353								3	39			1	2																					8																																					15	Unique Armor	155	Berserker(Orc)	13																			351;352;355;354;353	1		2	2				46	61				
2384	Hellgater Armor	52	46	57	1	2		2	1	0								7	100	3	11968874		162400	6767								3	88	3	4	3	5																					26																																					15	Unique Armor	155	Berserker(Orc)	13																			1;57;7;49;223;224;225;226;126;128;3;75	1		2	2				46	61				
2385	?????????? Arms							4	1	0																																																0																																																																									
2386	Hellgater Gauntlets	52	46	57	1	2		5	1	0								7	100	3	11968874		32480	1353								3	59	2	2	1	3																					11	8																																				15	Unique Armor	155	Berserker(Orc)	13																			4;10;131;132;133;134;135;228	1		2	2				46	61				
2387	Hellgater Greaves	52	46	57	1	2		6	1	0								7	100	3	11968874		64960	2707								3	78	2	3	2	4																					19																																					15	Unique Armor	155	Berserker(Orc)	13																			127;136;9;144;200;142;143;137	1		2	2				46	61				
2388	Hellgater Boots	52	46	57	1	2		7	1	0								7	100	3	11968874		32480	1353								3	59	2	2	1	3																					11			8																																		15	Unique Armor	155	Berserker(Orc)	13																			59;60;61;74	1		2	2				46	61				
2389	Tribal Champion Helm	60	54	65	1	2		3	1	0								7	100	3	11968874		43680	1820								3	39			1	2																					8																																					15	Unique Armor	155	Berserker(Orc)	14																			351;352;355;354;353	1		2	2				54	69				
2390	Tribal Champion Armor	60	54	65	1	2		2	1	0								7	100	3	11968874		218400	9100								3	88	3	4	3	5																					29																																					15	Unique Armor	155	Berserker(Orc)	14																			1;57;7;49;223;224;225;226;126;128;3;75	1		2	2				54	69				
2391	??????????????Arms							4	1	0																																																0																																																																									
2392	Tribal Champion Gauntlets	60	54	65	1	2		5	1	0								7	100	3	11968874		43680	1820								3	59	2	2	1	3																					13	9																																				15	Unique Armor	155	Berserker(Orc)	14																			4;10;131;132;133;134;135;228	1		2	2				54	69				
2393	Tribal Champion Greaves	60	54	65	1	2		6	1	0								7	100	3	11968874		87360	3640								3	78	2	3	2	4																					21																																					15	Unique Armor	155	Berserker(Orc)	14																			127;136;9;144;200;142;143;137	1		2	2				54	69				
2394	Tribal Champion Boots	60	54	65	1	2		7	1	0								7	100	3	11968874		43680	1820								3	59	2	2	1	3																					13			9																																		15	Unique Armor	155	Berserker(Orc)	14																			59;60;61;74	1		2	2				54	69				
2395	Lifeweave Helm	35	29	40	1	2		3	1	0								6	300	2	16777040		3648	152								2	34			1	2																					5																																					13	Rare Armor	135	Berserker(Orc)	11																				1		2	1				29	41				
2396	Lifeweave Armor	35	29	40	1	2		2	1	0								6	300	2	16777040		18144	756								2	76	2	4	3	5																					17																																					13	Rare Armor	135	Berserker(Orc)	11																				1		2	1				29	41				
2397	?????????? Arms							4	1	0																																																0																																																																									
2398	Lifeweave Gauntlets	35	29	40	1	2		5	1	0								6	300	2	16777040		3648	152								2	50	2	2	1	3																					8	4																																				13	Rare Armor	135	Berserker(Orc)	11																				1		2	1				29	41				
2399	Lifeweave Greaves	35	29	40	1	2		6	1	0								6	300	2	16777040		7296	304								2	67	2	3	2	4																					12																																					13	Rare Armor	135	Berserker(Orc)	11																				1		2	1				29	41				
2400	Lifeweave Boots	35	29	40	1	2		7	1	0								6	300	2	16777040		3648	152								2	50	2	2	1	3																					8			4																																		13	Rare Armor	135	Berserker(Orc)	11																				1		2	1				29	41				
2401	Darkshear Helm	44	38	49	1	2		3	1	0								6	300	2	16777040		10944	456								2	34			1	2																					6																																					13	Rare Armor	135	Berserker(Orc)	12																				1		2	1				38	50				
2402	Darkshear Armor	44	38	49	1	2		2	1	0								6	300	2	16777040		54720	2280								2	76	2	4	3	5																					20																																					13	Rare Armor	135	Berserker(Orc)	12																				1		2	1				38	50				
2403	?????????? Arms							4	1	0																																																0																																																																									
2404	Darkshear Gauntlets	44	38	49	1	2		5	1	0								6	300	2	16777040		10944	456								2	50	2	2	1	3																					9	5																																				13	Rare Armor	135	Berserker(Orc)	12																				1		2	1				38	50				
2405	Darkshear Greaves	44	38	49	1	2		6	1	0								6	300	2	16777040		21888	912								2	67	2	3	2	4																					15																																					13	Rare Armor	135	Berserker(Orc)	12																				1		2	1				38	50				
2406	Darkshear Boots	44	38	49	1	2		7	1	0								6	300	2	16777040		10944	456								2	50	2	2	1	3																					9			5																																		13	Rare Armor	135	Berserker(Orc)	12																				1		2	1				38	50				
2407	Powerrake Helm	52	46	57	1	2		3	1	0								6	300	2	16777040		27840	1160								2	34			1	2																					7																																					13	Rare Armor	135	Berserker(Orc)	12																				1		2	1				46	61				
2408	Powerrake Armor	52	46	57	1	2		2	1	0								6	300	2	16777040		139200	5800								2	76	2	4	3	5																					23																																					13	Rare Armor	135	Berserker(Orc)	12																				1		2	1				46	61				
2409	?????????? Arms							4	1	0																																																0																																																																									
2410	Powerrake Gauntlets	52	46	57	1	2		5	1	0								6	300	2	16777040		27840	1160								2	50	2	2	1	3																					10	6																																				13	Rare Armor	135	Berserker(Orc)	12																				1		2	1				46	61				
2411	Powerrake Greaves	52	46	57	1	2		6	1	0								6	300	2	16777040		55680	2320								2	67	2	3	2	4																					17																																					13	Rare Armor	135	Berserker(Orc)	12																				1		2	1				46	61				
2412	Powerrake Boots	52	46	57	1	2		7	1	0								6	300	2	16777040		27840	1160								2	50	2	2	1	3																					10			6																																		13	Rare Armor	135	Berserker(Orc)	12																				1		2	1				46	61				
2413	Metalvine Helm	60	54	65	1	2		3	1	0								6	300	2	16777040		37440	1560								2	34			1	2																					7																																					13	Rare Armor	135	Berserker(Orc)	13																				1		2	1				54	69				
2414	Metalvine Armor	60	54	65	1	2		2	1	0								6	300	2	16777040		187200	7800								2	76	2	4	3	5																					26																																					13	Rare Armor	135	Berserker(Orc)	13																				1		2	1				54	69				
2415	???????? Arms							4	1	0																																																0																																																																									
2416	Metalvine Gauntlets	60	54	65	1	2		5	1	0								6	300	2	16777040		37440	1560								2	50	2	2	1	3																					12	7																																				13	Rare Armor	135	Berserker(Orc)	13																				1		2	1				54	69				
2417	Metalvine Greaves	60	54	65	1	2		6	1	0								6	300	2	16777040		74880	3120								2	67	2	3	2	4																					19																																					13	Rare Armor	135	Berserker(Orc)	13																				1		2	1				54	69				
2418	Metalvine Boots	60	54	65	1	2		7	1	0								6	300	2	16777040		37440	1560								2	50	2	2	1	3																					12			7																																		13	Rare Armor	135	Berserker(Orc)	13																				1		2	1				54	69				
2419	Noblepiercer Cap	35	29	40	2	2		3	1	0								7	100	3	11968874		4256	177								3	35			1	2																					5																																					15	Unique Armor	156	Hunter(Orc)	12																			351;352;355;354;353	1		2	2				29	41				
2420	Noblepiercer Armor	35	29	40	2	2		2	1	0								7	100	3	11968874		21168	882								3	79	3	4	3	5																					17																																					15	Unique Armor	156	Hunter(Orc)	12																			40;48;146;56;189;147;148;230;231;145;47;93	1		2	2				29	41				
2421	?????????? Arms							4	1	0																																																0																																																																									
2422	Noblepiercer Armpads	35	29	40	2	2		5	1	0								7	100	3	11968874		4256	177								3	53	2	2	1	3																					7	7																																				15	Unique Armor	156	Hunter(Orc)	12																			44;43;155;156;45	1		2	2				29	41				
2423	Noblepiercer Tassets	35	29	40	2	2		6	1	0								7	100	3	11968874		8512	355								3	70	2	3	2	4																					12																																					15	Unique Armor	156	Hunter(Orc)	12																			163;151;46;33;160;161;162;149	1		2	2				29	41				
2424	Noblepiercer Boots	35	29	40	2	2		7	1	0								7	100	3	11968874		4256	177								3	53	2	2	1	3																					7			7																																		15	Unique Armor	156	Hunter(Orc)	12																			235;65;234;64	1		2	2				29	41				
2425	Red Opera Cap	44	38	49	2	2		3	1	0								7	100	3	11968874		12768	532								3	35			1	2																					6																																					15	Unique Armor	156	Hunter(Orc)	13																			351;352;355;354;353	1		2	2				38	50				
2426	Red Opera Armor	44	38	49	2	2		2	1	0								7	100	3	11968874		63840	2660								3	79	3	4	3	5																					19																																					15	Unique Armor	156	Hunter(Orc)	13																			40;48;146;56;189;147;148;230;231;145;47;93	1		2	2				38	50				
2427	?????????? Arms							4	1	0																																																0																																																																									
2428	Red Opera Armpads	44	38	49	2	2		5	1	0								7	100	3	11968874		12768	532								3	53	2	2	1	3																					8	8																																				15	Unique Armor	156	Hunter(Orc)	13																			44;43;155;156;45	1		2	2				38	50				
2429	Red Opera Tassets	44	38	49	2	2		6	1	0								7	100	3	11968874		25536	1064								3	70	2	3	2	4																					14																																					15	Unique Armor	156	Hunter(Orc)	13																			163;151;46;33;160;161;162;149	1		2	2				38	50				
2430	Red Opera Boots	44	38	49	2	2		7	1	0								7	100	3	11968874		12768	532								3	53	2	2	1	3																					8			8																																		15	Unique Armor	156	Hunter(Orc)	13																			235;65;234;64	1		2	2				38	50				
2431	Mortal Lion Cap	52	46	57	2	2		3	1	0								7	100	3	11968874		32480	1353								3	35			1	2																					6																																					15	Unique Armor	156	Hunter(Orc)	13																			351;352;355;354;353	1		2	2				46	61				
2432	Mortal Lion Armor	52	46	57	2	2		2	1	0								7	100	3	11968874		162400	6767								3	79	3	4	3	5																					22																																					15	Unique Armor	156	Hunter(Orc)	13																			40;48;146;56;189;147;148;230;231;145;47;93	1		2	2				46	61				
2433	???????? Arms							4	1	0																																																0																																																																									
2434	Mortal Lion Armpads	52	46	57	2	2		5	1	0								7	100	3	11968874		32480	1353								3	53	2	2	1	3																					9	9																																				15	Unique Armor	156	Hunter(Orc)	13																			44;43;155;156;45	1		2	2				46	61				
2435	Mortal Lion Tassets	52	46	57	2	2		6	1	0								7	100	3	11968874		64960	2707								3	70	2	3	2	4																					16																																					15	Unique Armor	156	Hunter(Orc)	13																			163;151;46;33;160;161;162;149	1		2	2				46	61				
2436	Mortal Lion Boots	52	46	57	2	2		7	1	0								7	100	3	11968874		32480	1353								3	53	2	2	1	3																					9			9																																		15	Unique Armor	156	Hunter(Orc)	13																			235;65;234;64	1		2	2				46	61				
2437	Bleakheart Cap	60	54	65	2	2		3	1	0								7	100	3	11968874		43680	1820								3	35			1	2																					7																																					15	Unique Armor	156	Hunter(Orc)	14																			351;352;355;354;353	1		2	2				54	69				
2438	Bleakheart Armor	60	54	65	2	2		2	1	0								7	100	3	11968874		218400	9100								3	79	3	4	3	5																					24																																					15	Unique Armor	156	Hunter(Orc)	14																			40;48;146;56;189;147;148;230;231;145;47;93	1		2	2				54	69				
2439	?????? ????Arms							4	1	0																																																0																																																																									
2440	Bleakheart Armpads	60	54	65	2	2		5	1	0								7	100	3	11968874		43680	1820								3	53	2	2	1	3																					10	10																																				15	Unique Armor	156	Hunter(Orc)	14																			44;43;155;156;45	1		2	2				54	69				
2441	Bleakheart Leggings	60	54	65	2	2		6	1	0								7	100	3	11968874		87360	3640								3	70	2	3	2	4																					17																																					15	Unique Armor	156	Hunter(Orc)	14																			163;151;46;33;160;161;162;149	1		2	2				54	69				
2442	Bleakheart Boots	60	54	65	2	2		7	1	0								7	100	3	11968874		43680	1820								3	53	2	2	1	3																					10			10																																		15	Unique Armor	156	Hunter(Orc)	14																			235;65;234;64	1		2	2				54	69				
2443	Carrywill Cap	35	29	40	2	2		3	1	0								6	300	2	16777040		3648	152								2	31			1	2																					4																																					13	Rare Armor	136	Hunter(Orc)	11																				1		2	1				29	41				
2444	Carrywill Armor	35	29	40	2	2		2	1	0								6	300	2	16777040		18144	756								2	68	2	4	3	5																					14																																					13	Rare Armor	136	Hunter(Orc)	11																				1		2	1				29	41				
2445	?????? Arms							4	1	0																																																0																																																																									
2446	Carrywill Armpads	35	29	40	2	2		5	1	0								6	300	2	16777040		3648	152								2	45	2	2	1	3																					6	5																																				13	Rare Armor	136	Hunter(Orc)	11																				1		2	1				29	41				
2447	Carrywill Hose	35	29	40	2	2		6	1	0								6	300	2	16777040		7296	304								2	60	2	3	2	4																					10																																					13	Rare Armor	136	Hunter(Orc)	11																				1		2	1				29	41				
2448	Carrywill Boots	35	29	40	2	2		7	1	0								6	300	2	16777040		3648	152								2	45	2	2	1	3																					6			5																																		13	Rare Armor	136	Hunter(Orc)	11																				1		2	1				29	41				
2449	Rush Sting Cap	44	38	49	2	2		3	1	0								6	300	2	16777040		10944	456								2	31			1	2																					5																																					13	Rare Armor	136	Hunter(Orc)	12																				1		2	1				38	50				
2450	Rush Sting Armor	44	38	49	2	2		2	1	0								6	300	2	16777040		54720	2280								2	68	2	4	3	5																					16																																					13	Rare Armor	136	Hunter(Orc)	12																				1		2	1				38	50				
2451	???????? Arms							4	1	0																																																0																																																																									
2452	Rush Sting Armpads	44	38	49	2	2		5	1	0								6	300	2	16777040		10944	456								2	45	2	2	1	3																					7	6																																				13	Rare Armor	136	Hunter(Orc)	12																				1		2	1				38	50				
2453	Rush Sting Leggings	44	38	49	2	2		6	1	0								6	300	2	16777040		21888	912								2	60	2	3	2	4																					12																																					13	Rare Armor	136	Hunter(Orc)	12																				1		2	1				38	50				
2454	Rush Sting Boots	44	38	49	2	2		7	1	0								6	300	2	16777040		10944	456								2	45	2	2	1	3																					7			6																																		13	Rare Armor	136	Hunter(Orc)	12																				1		2	1				38	50				
2455	Sparkletail Cap	52	46	57	2	2		3	1	0								6	300	2	16777040		27840	1160								2	31			1	2																					5																																					13	Rare Armor	136	Hunter(Orc)	12																				1		2	1				46	61				
2456	Sparkletail Armor	52	46	57	2	2		2	1	0								6	300	2	16777040		139200	5800								2	68	2	4	3	5																					19																																					13	Rare Armor	136	Hunter(Orc)	12																				1		2	1				46	61				
2457	?????????? Arms							4	1	0																																																0																																																																									
2458	Sparkletail Armpads	52	46	57	2	2		5	1	0								6	300	2	16777040		27840	1160								2	45	2	2	1	3																					8	7																																				13	Rare Armor	136	Hunter(Orc)	12																				1		2	1				46	61				
2459	Sparkletail Leggings	52	46	57	2	2		6	1	0								6	300	2	16777040		55680	2320								2	60	2	3	2	4																					14																																					13	Rare Armor	136	Hunter(Orc)	12																				1		2	1				46	61				
2460	Sparkletail Boots	52	46	57	2	2		7	1	0								6	300	2	16777040		27840	1160								2	45	2	2	1	3																					8			7																																		13	Rare Armor	136	Hunter(Orc)	12																				1		2	1				46	61				
2461	Megaloader Cap	60	54	65	2	2		3	1	0								6	300	2	16777040		37440	1560								2	31			1	2																					6																																					13	Rare Armor	136	Hunter(Orc)	13																				1		2	1				54	69				
2462	Megaloader Armor	60	54	65	2	2		2	1	0								6	300	2	16777040		187200	7800								2	68	2	4	3	5																					21																																					13	Rare Armor	136	Hunter(Orc)	13																				1		2	1				54	69				
2463	???????? Arms							4	1	0																																																0																																																																									
2464	Megaloader Armpads	60	54	65	2	2		5	1	0								6	300	2	16777040		37440	1560								2	45	2	2	1	3																					9	8																																				13	Rare Armor	136	Hunter(Orc)	13																				1		2	1				54	69				
2465	Megaloader Leggings	60	54	65	2	2		6	1	0								6	300	2	16777040		74880	3120								2	60	2	3	2	4																					15																																					13	Rare Armor	136	Hunter(Orc)	13																				1		2	1				54	69				
2466	Megaloader Boots	60	54	65	2	2		7	1	0								6	300	2	16777040		37440	1560								2	45	2	2	1	3																					9			8																																		13	Rare Armor	136	Hunter(Orc)	13																				1		2	1				54	69				
2467	Battlerattle Garb	35	29	40	4	2		2	1	0								7	100	3	11968874		21168	882								3	70	3	4	3	5																					14																																					15	Unique Armor	157	Sorcerer(Orc)	12																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	2				29	41				
2468	Battlerattle Headband	35	29	40	4	2		3	1	0								7	100	3	11968874		4256	177								3	31			1	2																					4																																					15	Unique Armor	157	Sorcerer(Orc)	12																			351;352;355;354;353	1		2	2				29	41				
2469	???????? Arms							4	1	0																																																0																																																																									
2470	Battlerattle Bracelets	35	29	40	4	2		5	1	0								7	100	3	11968874		4256	177								3	47	2	2	1	3																					6	6																																				15	Unique Armor	157	Sorcerer(Orc)	12																			169;14;237;238;19	1		2	2				29	41				
2471	Battlerattle Kilt	35	29	40	4	2		6	1	0								7	100	3	11968874		8512	355								3	62	2	3	2	4																					10																																					15	Unique Armor	157	Sorcerer(Orc)	12																			26;170;175;176;178;166;177;168	1		2	2				29	41				
2472	Battlerattle Boots	35	29	40	4	2		7	1	0								7	100	3	11968874		4256	177								3	47	2	2	1	3																					6			6																																		15	Unique Armor	157	Sorcerer(Orc)	12																			73;71;72;100	1		2	2				29	41				
2473	Wisdom Age Garb	44	38	49	4	2		2	1	0								7	100	3	11968874		63840	2660								3	70	3	4	3	5																					16																																					15	Unique Armor	157	Sorcerer(Orc)	13																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	2				38	50				
2474	Wisdom Age Headband	44	38	49	4	2		3	1	0								7	100	3	11968874		12768	532								3	31			1	2																					5																																					15	Unique Armor	157	Sorcerer(Orc)	13																			351;352;355;354;353	1		2	2				38	50				
2475	???????????? Arms							4	1	0																																																0																																																																									
2476	Wisdom Age Bracelets	44	38	49	4	2		5	1	0								7	100	3	11968874		12768	532								3	47	2	2	1	3																					7	7																																				15	Unique Armor	157	Sorcerer(Orc)	13																			169;14;237;238;19	1		2	2				38	50				
2477	Wisdom Age Kilt	44	38	49	4	2		6	1	0								7	100	3	11968874		25536	1064								3	62	2	3	2	4																					11																																					15	Unique Armor	157	Sorcerer(Orc)	13																			26;170;175;176;178;166;177;168	1		2	2				38	50				
2478	Wisdom Age Boots	44	38	49	4	2		7	1	0								7	100	3	11968874		12768	532								3	47	2	2	1	3																					7			7																																		15	Unique Armor	157	Sorcerer(Orc)	13																			73;71;72;100	1		2	2				38	50				
2479	Grimjoker Garb	52	46	57	4	2		2	1	0								7	100	3	11968874		162400	6767								3	70	3	4	3	5																					18																																					15	Unique Armor	157	Sorcerer(Orc)	13																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	2				46	61				
2480	Grimjoker Headband	52	46	57	4	2		3	1	0								7	100	3	11968874		32480	1353								3	31			1	2																					5																																					15	Unique Armor	157	Sorcerer(Orc)	13																			351;352;355;354;353	1		2	2				46	61				
2481	???????? Arms							4	1	0																																																0																																																																									
2482	Grimjoker Bracelets	52	46	57	4	2		5	1	0								7	100	3	11968874		32480	1353								3	47	2	2	1	3																					8	8																																				15	Unique Armor	157	Sorcerer(Orc)	13																			169;14;237;238;19	1		2	2				46	61				
2483	Grimjoker Kilt	52	46	57	4	2		6	1	0								7	100	3	11968874		64960	2707								3	62	2	3	2	4																					13																																					15	Unique Armor	157	Sorcerer(Orc)	13																			26;170;175;176;178;166;177;168	1		2	2				46	61				
2484	Grimjoker Boots	52	46	57	4	2		7	1	0								7	100	3	11968874		32480	1353								3	47	2	2	1	3																					8			8																																		15	Unique Armor	157	Sorcerer(Orc)	13																			73;71;72;100	1		2	2				46	61				
2485	Eyes Wisher Garb	60	54	65	4	2		2	1	0								7	100	3	11968874		218400	9100								3	70	3	4	3	5																					19																																					15	Unique Armor	157	Sorcerer(Orc)	14																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	2				54	69				
2486	Eyes Wisher Headband	60	54	65	4	2		3	1	0								7	100	3	11968874		43680	1820								3	31			1	2																					5																																					15	Unique Armor	157	Sorcerer(Orc)	14																			351;352;355;354;353	1		2	2				54	69				
2487	?????????? Arms							4	1	0																																																0																																																																									
2488	Eyes Wisher Bracelets	60	54	65	4	2		5	1	0								7	100	3	11968874		43680	1820								3	47	2	2	1	3																					8	9																																				15	Unique Armor	157	Sorcerer(Orc)	14																			169;14;237;238;19	1		2	2				54	69				
2489	Eyes Wisher Kilt	60	54	65	4	2		6	1	0								7	100	3	11968874		87360	3640								3	62	2	3	2	4																					14																																					15	Unique Armor	157	Sorcerer(Orc)	14																			26;170;175;176;178;166;177;168	1		2	2				54	69				
