배틀게이트 엘로르	Ellore Battlegate
용의 기둥	Dragon's Pillar
이름없는_무덤_2층_입구	Unmarked Grave 1st Floor Entrance
드라카로_성전	Drakaro Church
바르도터남쪽	Bardother Southern
통곡의_방2	2 Chamber of Wailing
피의 안식처	Blood Shelter
절규의 방	Chamber of Screams
젠클리어 동쪽	Zenclier Eastern Area
탐욕의_무덤3층	Tomb of Greed 2nd Floor
정령의 쉬라인 포탈(오크)	Spirit Shrine(Orc)
모험도전지	Evor
침묵의숲	Silent Forest
금지된_광산_2층_출구	Forbidden Mine 1st Floor Exit
닫혀진_광산_2층_출구	Closed Mine 1st Floor Exit
오래된 땅	Thistle Vale
와일드본 성전	Wild Bone Temple
앵커빌 마을	Anchorville Village
탄식의 입구	Gate of Deplore
번뇌의_방	Chamber of Agony
나르캉골 산맥	Narkangol Mountains
잊혀진 무덤 1층 출구	Forgotten Grave Ground Floor Exit
툴란_길드_전투_경기장	Tullan Guild Battle Arena
돌아오지 않는 길	Gauntlet Pass
리자드맨의_발톱	Lizardman's claw
옛항구터	Old Harbor
슬픔의 문3	3 Gate of Sadness
탐욕의 문3	3 Gate of Greed
이름없는 자들의 방	Room of the Nameless Ones
잊혀진 무덤 입구	Forgotten Grave Entrance
툴란	Tullan
금지된_광산	Forbidden Mine
트라쿠아 성 내부	Traqua Castle Inside
영원의 제국	Eternal Empire
광산마을	Mine Village
바람의 쉬라인 휴먼지역	Wind Shrine Human Zone
방문자의 숲	Visitor's Forest
기후제의 땅	Milieu island
오르하협곡	Oruha Canyon
휴먼요새	Human Fortress
칼날 태풍 산맥	Blade Storm Mountain
드래이거 성 인근	Drayger Castle Vicinity
분란의 방	Chamber of Disorder
집착의_방	Chamber of Obsession
낡은 창고	Old Storehouse
인플레임 성	Inflame Castle
포츈로드 동부	East Fortune Road
잊혀진_무덤_1층	Forgotten Grave Ground Floor
염화의 동굴 2층 입구	Corrosion Cave 1st Floor Entrance
탐욕의 무덤 3층 입구	Tomb of Greed 2nd Floor Entrance
번개 정령계	Teslon Outpost
앙스펠호수	Angspel Lake
분노의_문2	2 Gate of Rage
꿈꾸는 절벽	Dreaming Cliff
환희의 길	Road of Joy
트레바인 상부	Upper Trebain
번개의 쉬라인 포탈(오크)	Lightning Shrine Portal(Orc)
엘리시온 동쪽	Elyscion Eastern Area
염랑의_동굴_2층	Flame Cave 1st Floor
엘로힘_망루	Elloham Watchtower
잊혀진 무덤 2층 출구	Forgotten Grave 1st Floor Exit
분열의_문4	4 Gate of Division
붉은 궁륭	Red groin
독의 쉬라인 외곽	Poison Shrine Outskirts
무한_지대_마을	Infinity Hunt Event Town
불의 쉬라인 포탈(시온)	Fire Shrine(Scion)
배틀 로얄	Battle Royal
죽은 자의 무덤 2층	Tomb of the Dead 1st Floor
올드캐빈	Old Cabin
고통의_숲	Forest of Pain
광산 입구	Mine Entrance
봉인된_광산_1층	Sealed Mine Ground Floor
원정대의 길	Road of Expedition
얼음 정령계	The Frozen Infinity
북트라이부츠산맥	Buktributs Mountains
멤브레덴 입구	Membreathen Entrance
도시 데리벨	Deribelle City
트라쿠아 비밀의 던전	Traqua Castle's Secret Dungeon
오래된 광산 출구	Old Mine Exit
트라쿠아 내성문	Traqua Internal Gate
독의 쉬라인	Poison Shrine
글렌데스틴 숲 남동부	Southeast Glendestine Forest
드래이거_성_인근	Drayger Castle Vicinity
헤븐즈 헬의 옥좌	Throne of Heaven's Hell
베틀그라운드_휴먼지역	Battle Ground Human Zone
바람의 쉬라인 포탈(문엘프)	Wind Shrine(MoonElf)
탈론 야드	Talon Yard
길드_경기장	Guild Battle Square
유폐된_광산3층	Abandoned Mine 2nd Floor
화전민마을	Village of Seethe
인플레임 성 내부	Inflame Castle Inside
고통의 방	Chamber of Pain
칼날_태풍_산맥	Blade Storm Mountain
바르도터_동쪽	Bardother Eastern
유폐된 광산1층	Abandoned Mine Ground Floor
절규의 계곡	Valley of Screams
골룬도마을	Golundo Village
물의 쉬라인 포탈(문엘프)	Water Shrine(MoonElf)
루나웨이 습지대	Lunaway Swamp
천문관측소	Astronomy Observatory
범프필드 북쪽	Northern Ridge Field 
폰 아이젠하우스 입구	Asylum Ground Floor Entrance
생명의_핏줄	Bloodline of Life
분노의_문4	4 Gate of Rage
불의 쉬라인 외곽	Fire Shrine Outskirts
휴먼 지역	Human Zone
금지된_광산_3층_입구	Forbidden Mine 2nd Floor Entrance
트릴가드 광장	Trilgard Square
아르시안_성	Arthian Castle
탐욕의 무덤 내부	Tomb of Greed Inside
폰 아이젠하우스 2층 입구	Asylum 1st Floor Entrance
땅이 우는 곳	Lamentia
시리푸스의 쉬라인 문엘프지역	Syripus Shrine Moon Elf Zone
배틀 스퀘어 2층	Battle Square 2nd Floor
숭배자 정착지	Worshipper Settlement
테라토가 산맥	Terratoga Mountains
질시의 방	Chamber of Jealousy
깊은_중심지4	Core Arena 4F
매의고원	Hawk's Plateau
배틀 스퀘어 5층	Battle Square 5th Floor
아르시안_성주_사냥터_입구	Arthian Secret Dungeon Entrance
드라카로 성전	Drakaro Church
잊혀진_무덤_1층_출구	Forgotten Grave Ground Floor Exit
독의 쉬라인 포탈(오크)	Poison Shrine(Orc)
톤파	Tonfa
이름 없는 무덤 2층출구	Unmarked Grave 1st Floor Exit
트릴가드 북시가지	Trilgard North Town
피의 늪	Blood Swamp
배틀게이트 자일록	Zylok Battlegate 
아르시안 성 인근	Arthian Castle Vicinity
출전의 길	Path of Entry
렌스피어 남쪽	Rensphere Southern Area
델파라스 항구	Delfaras Harbor
싱잉레인	Mist Plain
거인의 가도	Giant's Highroad
글리터스	Glitters
노르톱 마을	Nortop Village
라임라이트 남쪽	Limelight Southern
혼돈의 중심	Center of Chaos
시리푸스의 쉬라인 포탈(시온)	Syripus Shrine(Scion)
골룬도 마을	Golundo Village
경계의 다리	Boundary Bridge
엘름볼트계곡	Elmbolt Valley
드래이거_성주_사냥터_입구	Drayger Secret Dungeon Entrance
데리벨 중앙로	Deribelle Main Street
왕의 다리	King's Bridge
트라쿠아 렌스피어 입구	Traqua Rensphere Entrance
트라쿠아_성	Traqua Castle
비고로르남서쪽	Vigorore South Western
아지랑이물가	Shimmerside
젠클리어 남쪽	Zenclier Southern Area
알현의 방	Audience Chamber
젠클리어 폭포	Zenclier Waterfall
자일록	Zylok
젠클리어 중앙 동쪽	Zenclier East Central Area
데리벨 남문	Deribelle South Gate
얼음의 대지	Land of Ice
레비나일 강	Rabinile River
시엔 마을	Cien Village
드래이거 비밀의 던전	Secret Dungeon of Drayger
이름 없는 무덤 2층입구	Unmarked Grave 1st Floor Entrance
메멘토뉴엄	Mementonium
정령의 쉬라인 문엘프지역	Spirit Shrine Moon Elf Zone
무한 지대 마을	Infinity Hunt Event Town
시련의 길	Road of Trials
독의 쉬라인 포탈(시온)	Poison Shrine(Scion)
인플레임 성주 사냥터	Inflame Secret Dungeon
낡은_창고	Old Storehouse
레비나일강 	Rabinile River
탐욕의 무덤2층	Tomb of Greed 1st Floor
배틀로얄_경기장	Battle Royal Arena
불란트부화장	Bullant Hatchery
배틀게이트 노린	Norine Battlegate 
화합의 회랑	Corridor of Harmony
비애의 방	Chamber of Sorrow
미라지안 호수	Mirasian Lake
죽은_자의_무덤_출구	Tomb of the Dead Exit
배틀스퀘어_6층	Battle Square 6th Floor
의식의 방	Hero's Reception
약탈의 평원	Zeno Plain
포겔평원	Forgel Plains
배틀스퀘어 2층	Battle Square 2nd Floor
닫혀진 광산	Closed Mine
배틀게이트 트릴가드	Trilgard Battlegate 
작열의_동굴_1층_입구	Miasma Cave Ground Floor Entrance
루아아라	Rualala 
트레바인	Trebain
용암의 쉬라인 드래곤시온지역	Lava Shrine Dragonscion Zone
인고의 방	Hero's Reception
잊혀진_무덤_출구	Forgotten Grave Exit
스톨_길드_전투_경기장	Stull Guild Battle Arena
번개의 쉬라인 외곽	Lightning Shrine Outskirts
시련의 입구	Gate of Trials
엘리시온	Elyscion
베이컨마을	Beacon Village
납골당	The Crypt
배틀스퀘어 <슬픔의 문>	Gate of Sadness
지하_감옥_2층	Dungeon 2F
오우거마을	Ogre Village
잊혀진_무덤_2층_출구	Forgotten Grave 1st Floor Exit
포츈로드	Fortune Road
슬픔의 문6	6 Gate of Sadness
바르도터북쪽	Bardother Northern
인플레임 외성문	Inflame External Gate
렌스피어 남서쪽	Rensphere Southwest Area
이름없는 무덤 1층 입구	Unmarked Grave Ground Floor Entrance
윈드릴 북쪽	Windrill Northern
오래된 광산 2층 출구	Old Mine 1st Floor Exit
젠클리어 동부	East Zenclier
번개의 쉬라인 포탈(문엘프)	Lightning Shrine Portal(MoonElf)
닫혀진_광산_2층	Closed Mine 1st Floor
오아실리안	Orsilian
사라미스 정원	Salarmis Garden
데리벨_길드_전투_경기장	Deribelle Guild Battle Arena
금지된 광산 2층	Forbidden Mine 1st Floor
깊은_중심지3	Core Arena 3F
분열의_문5	5 Gate of Division
데리벨 서시가지	Deribelle West Town
멜기노 산맥	Melgino Mountains
배틀 스퀘어 3층	Battle Square 3rd Floor
검은 파도 마을	Dark Wave Village
하이드백마을	Hideback Village
트라쿠아 내부	Traqua Inside
잊혀진_무덤	Forgotten Grave
렌즈론	Rensron
탐욕의 무덤 입구	Tomb of Greed Entrance
얼음의_대지	Land of Ice
작열의_동굴_2층_입구	Miasma Cave 1st Floor Entrance
그레이 계곡	Grey Valley
시리푸스의 쉬라인 휴먼지역	Syripus Shrine Human Zone
정령의 폭포	Elements Waterfall 
검은_파도_마을	Dark Wave Village
아르시안 성주 사냥터	Arthian Secret Dungeon
앵커빌	Anchorville
염랑의_동굴_입구	Flame Cave Entrance
탐욕의 문5	5 Gate of Greed
염랑의 동굴 입구	Flame Cave Entrance
슬픔의_문5	5 Gate of Sadness
사자의 예배당	Chapel of The Dead
금지된 광산 2층 출구	Forbidden Mine 1st Floor Exit
바란다이크	Baran Dyke
문엘프 요새 입구	Moon Elf Fortress
툴란 북쪽 게이트	Tullan North Gate
탐욕의_무덤1층	Tomb of Greed Ground Floor
스톰로드	Storm Road
포세이큰의 둥지	Nest of the Forsaken
포스크랙	Poscrack
리자드맨의 발톱	Lizardman's claw
렌스피어 내성	Rensphere Internal Castle
집시촌	Gypsy Town
깊은_중심지5	Core Arena 5F
아르시안 외성문	Arthian External Gate
라임라이트_북쪽	Limelight Northern
보화의_골짜기	Treasure Valley
이름없는_무덤_2층_출구	Unmarked Grave 1st Floor Exit
데리벨	Deribelle
원한의 입구	Gate of Grudge
작열의_동굴_2층_출구	Miasma Cave 1st Floor Exit
오래된 천막촌	Settlers Camp
닫혀진 광산 2층	Closed Mine 1st Floor
죽은자의_전장	Battleground of the Dead
바트나유적지	Battna Site
복수의_방4	Vengeance 4 Chamber
델파라스	Delfaras
시련의_방	Hero's Reception
우더링	Wuthering
분열의_문2	2 Gate of Division
토르 요새	Tor Fortress
닫혀진 광산 1층 출구	Closed Mine Ground Floor Exit
배틀게이트 툴란	Tullan Battlegate 
인플레임성 내성문	Inflame Castle Internal Gate
로만 파르칼	Ancient Parkal
죽은 앤트의 숲	Dead Arbor's Forest
속죄의 방	Chamber of Atone
작열의 동굴 2층	Miasma Cave 1st Floor
트라쿠아 비밀의 던전 입구	Traqua Castle's Secret Dungeon
스톨 길드 전투 경기장	Stull Guild Battle Arena
그림로어서쪽	Grimlore Western
복수의_방2	Vengeance 2 Chamber
인플레임성 내부	Inflame Castle Inside
멜트라인	Meltline
번개의 쉬라인 휴먼지역	Lightning Shrine Human Zone
배틀그라운드	Battle Ground
분노의 문	Gate of Rage
시리푸스의 쉬라인 포탈(오크)	Syripus Shrine(Orc)
염랑의 동굴 1층 출구	Flame Cave Ground Floor Exit
인플레임 렌스피어 입구	Inflame Rensphere Entrance
윈드릴의 서쪽 입구	Windrill Western Entrance
낙석지대	Fallen Hills
망자의 묘	Grave of the Dead
망자의 절벽	Dead Cliff
시리푸스의 쉬라인 포탈(문엘프)	Syripus Shrine(MoonElf)
좌절의 방	Chamber of Despair
음악관	Music Hall
트레바인 남부	South Trebain
유폐된 광산 3층 입구	Abandoned Mine 2nd Floor Entrance
노린 마을	Norine Village
반목의 방	Chamber of Enmity
오크지역	Orc Zone
멤브레덴 동쪽	Membreathen Eastern
이름없는_무덤_입구	Unmarked Grave Entrance
베틀그라운드_드래곤시온지역	Battle Ground DragonScion Territory
바람의 계곡	Wind Valley
캐러번_로드	Karebun Road
배틀 스퀘어 1층	Battle Square 1st Floor
레더후드	Redderhood
폰 아이젠하우스 4층 입구	Asylum 3rd Floor Entrance
광기의 방	Chamber of Madness
인플레임_성_인근	Inflame Castle Vicinity
이름없는_무덤_3층_입구	Unmarked Grave 2nd Floor Entrance
트라쿠아_성주_사냥터_입구	Traqua Secret Dungeon Entrance
닫혀진 광산 1층 입구	Closed Mine Ground Floor Entrance
젠클리어 남부	South Zenclier
드래이거 성	Drayger Castle
슬픔의 문4	4 Gate of Sadness
용암의 쉬라인 휴먼지역	Lava Shrine Human Zone
오드오브	Old Orb
바르도터동쪽	Bardother Eastern
염랑의_동굴_1층	Flame Cave Ground Floor
분노의 문5	5 Gate of Rage
사막족의 땅	Desert Tribe Land
폰_아이젠하우스_4층	Asylum 3rd Floor
용암의 쉬라인 포탈(휴먼)	Lava Shrine(Human)
금지된 광산	Prohibited Mine
배틀게이트 앵커빌	Anchorville Battlegate
잊혀진_무덤_2층_입구	Forgotten Grave 1st Floor Entrance
죽은 자의 무덤 출구	Tomb of the Dead Exit
디스호프의 땅	Land of Dishope
테라노아 베틀게이트	Terranoa Battlegate
잊혀진 동굴	Forgotten Cave
염화의 동굴 1층 입구	Corrosion Cave Ground Floor Entrance
델파라스 중앙광장	Delfaras Central Square
참프로르 호수	Champor Lake
잊혀진 무덤 1층 입구	Forgotten Grave Ground Floor Entrance
잊혀진 무덤 2층	Forgotten Grave 1st Floor
닫혀진 광산 2층 출구	Closed Mine 1st Floor Exit
라임라이트 북쪽	Limelight Northern
폰 아이젠하우스 3층	Asylum 2nd Floor
버려진 과수원	Abandoned Orchard
작열의_동굴_1층	Miasma Cave Ground Floor
할리엔	Halien
환희의_포자	Spores of Joy
슬픔의 문	Gate of Sadness
P1326454800	Black Rock area
관문 마을	Barrier Village
닫혀진_광산_1층	Closed Mine Ground Floor
잊혀진 무덤 3층	Forgotten Grave 2nd Floor
벨제루크	Belzeruk
염랑의 동굴 1층 입구	Flame Cave Ground Floor Entrance
물의 길	Water Road
죽은자의 무덤 2층	Tomb of the Dead 1st Floor
유폐된 광산3층	Abandoned Mine 2nd Floor
랜스피어 성주 사냥터 입구	Rensphere Secret Dungeon Entrance
발러의 왕좌	Balor's Throne
불의 쉬라인 포탈(문엘프)	Fire Shrine(MoonElf)
배틀스퀘어_2층	Battle Square 2nd Floor
승화의 계단	Stairs of Sublimation
렌스피어_성	Rensphere Castle
도시 라플레시아	Laflesia City
도시 자일록	Zylok City
분노의 문3	3 Gate of Rage
글렌데스틴_화산	Glendestin Volcano
시련의_동굴_1층	Cave of Trials Ground Floor
레비나일강입구	Rabinile River Entrance
비고로르동쪽	Vigorore Eastern
세벤트의_둥지	Cevent's Nest
범프필드	Bump Field
툴란 광장	Tullan Square
사막족 마을	Desert Tribe Village
반목의_방	Chamber of Enmity
아르시안 성	Arthian Castle
아뮤네시아	Amunesia
일출의 해변	Sunrise Beach
지하 감옥 1층	Dungeon 1F
오크 요새	Orc Fortress
죽은자의_무덤_2층	Tomb of the Dead 1st Floor
하이드백 마을	Hideback Village
문엘프 지역	Moon Elf Zone
무한 지대	Infinity Hunt Event
염화의_동굴_1층_출구	Corrosion Cave Ground Floor Exit
노르톱_마을	Nortop Village
툴란 길드 전투 경기장	Tullan Guild Battle Arena
오래된_광산_3층_입구	Old Mine 2nd Floor Entrance
봉인된 광산 2층	Sealed Mine 1st Floor 
노래버섯지대	Singing Mushroom
배틀 로얄 경기장	Battle Royal Arena
죽은 자의 무덤 1층 출구	Tomb of the Dead Ground Floor Exit
드래이거_성	Drayger Castle
염화의_동굴_1층_입구	Corrosion Cave Ground Floor Entrance
배틀 스퀘어 6층	Battle Square 6th Floor
토르요새	Tor Fortress
배틀게이트 골룬도	Golundo Battle Gate
피의_늪	Blood Swamp
금지된 광산 1층 입구	Forbidden Mine Ground Floor Entrance
고트곶	Cape Gotto
시련의 동굴 출구	Cave of Trials Exit
죽은_자의_무덤_1층_입구	Tomb of the Dead Ground Floor Entrance
그림로어_서쪽	Grimlore Western
죽은 자의 무덤 2층 출구	Tomb of the Dead 1st Floor Exit
랜스피어성 내부	Rensphere Inside
이름없는 무덤 2층 출구	Unmarked Grave 1st Floor Exit
용병마을	Warrior Village
불꽃의 지옥	Flames of Hell
금지된 광산 3층 입구	Forbidden Mine 2nd Floor Entrance
삼각마을	Triangle Village
드래이거 외성문	Drayger External Gate
인플레임 비밀의 던전 입구	 Inflame Castle's Secret Dungeon
탐욕의 문4	4 Gate of Greed
오래된 광산	Old Mine
포세이큰_둥지	Nest of the Forsaken
배틀게이트 쿤	Kuhn Battlegate 
아르시안 렌스피어 입구	Arthian Entrance
봉인된_광산_3층	Sealed Mine 2nd Floor
분노의 문4	4 Gate of Rage
베틀그라운드_오크지역	Battle Ground Orc Zone
죽은자의 무덤 2층 입구	Tomb of the Dead 1st Floor Entrance
공중다리	Sky Bridge
사신의 평원	Death Plain
용암의 쉬라인 오크지역	Lava Shrine Orc Zone
스톰하이드산맥	Stormhide Mountains
데리벨 동시가지	Deribelle East Town
바르도터_남쪽	Bardother Southern
슬픔의 문5	5 Gate of Sadness
염랑의 동굴 2층 입구	Flame Cave 1st Floor Entrance
현기증 습지	Dizzy Swamp
멤브레덴_동쪽	Membreathen Eastern
혼돈의 방	Chamber of Chaos
아르시안 비밀의 던전 입구	Arthian Castle's Secret Dungeon
트라쿠아_성_인근	Traqua Castle Vicinity
트라쿠아 성주 사냥터	Traqua Secret Dungeon
탐욕의 문2	2 Gate of Greed
폰 2층 입구	Asylum 1st Floor Entrance
나선의 길	Spiral Road
금지된 광산 입구	Forbidden Mine Entrance
도시 쿤	Kuhn City
저주의 계곡	Curse Valley
트라쿠아 행 포탈	Portal bound for Traqua
독의 쉬라인 포탈(휴먼)	Poison Shrine(Human)
배틀스퀘어 <분열의 문>	Gate of Division
탐욕의_무덤_3층	Tomb of Greed 2nd Floor
닫혀진_광산_3층_입구	Closed Mine 2nd Floor Entrance
염화의_동굴_1층	Corrosion Cave Ground Floor
그림로어동쪽	Grimlore Eastern
포츈로드 북부	North Fortune Road
공중 다리	Sky Bridge
속죄의_방	Chamber of Atone
드래이거 성주 사냥터 입구	Drayger Secret Dungeon Entrance
트라쿠아_성주_사냥터	Traqua Secret Dungeon
베틀로얄_관중석	Battle Royal Bleachers
