tid	Description	Upper_Body	Lower_Body	Weapon	Shield	Head	Ring	Necklace	Shoes	Gloves	Refined	Gacha	Type	PointType	Item_Level_Min	Item_Level_Max	Level_limit	Rank_Min	Rank_Max	Probability	Skill_level	Skill_id	ATK_Range_bonus	ATK_Speed_bonus	Movement_Run_bonus	PhysicalDamage	PhysicalAttackResist	SkillBlockRate	MagicDamage	WaterDamage	FireDamage	EarthDamage	AirDamage	PoisonDamage	IceDamage	LinghtningDamage	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Hp_Bonus_Point	Mp_Bonus_Point	Hp_Bonus_Percent	Mp_Bonus_Percent	Str_Bonus_Point	Dex_Bonus_Point	Int_Bonus_Point	Con_Bonus_Point	Wis_Bonus_Point	PhysicalRank	skill_type	duration	skill_rate	Critical	stun_time	damage_convert_hp	regen_hp	regen_mp	dot_damage_time	skill_cast	skill_delay	skill_levelup	bonus_exp	bonus_money	bonus_drop_rate	evade_rate	dodge_rate	visible	Level_min	Level_max	Link_id	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point	Ignore_Physical_Defense_Rate	Ignore_Attribute_Defense_Rate	Critical_Defense_Rate	ReinforcementRate	Ignore_PhysicalAttackResist	Ignore_BlockRate	Ignore_SkillBlockRate	Ignore_EvadeRate	Ignore_DodgeRate	Ignore_CriticalDefenseRate	Ignore_StunDefenseRate	Add_Debuff_Duration
606	E Movement Speed 13%												93		76	90		4	4	100					13																																																											¡Û																		
607	E Movement Speed 14%												93		76	90		4	4	75					14																																																											¡Û																		
608	E Movement Speed 15%												93		83	90		4	4	50					15																																																											¡Û																		
609	N Attack Speed 1%												100		2	2		1	1	1000				1																																																												¡Û																		
610	N Attack Speed 2%												100		2	12		1	1	900				2																																																												¡Û																		
611	N Attack Speed 3%												100		12	21		1	1	800				3																																																												¡Û																		
612	N Attack Speed 4%												100		21	30		1	1	700				4																																																												¡Û																		
613	Attack Speed +5%												100		30	39		1	1	600				5																																																												¡Û																		
614	N Attack Speed 6%												100		39	48		1	1	500				6																																																												¡Û																		
615	N Attack Speed 7%												100		48	56		1	1	400				7																																																												¡Û																		
616	N Attack Speed 8%												100		56	64		1	1	300				8																																																												¡Û																		
617	N Attack Speed 9%												100		64	72		1	1	200				9																																																												¡Û																		
618	N Attack Speed 10%												100		72	72		1	1	100				10																																																												¡Û																		
619	R Attack Speed 2%												101		7	7		2	2	1000				2																																																												¡Û																		
620	R Attack Speed 3%												101		7	14		2	2	900				3																																																												¡Û																		
621	R Attack Speed 4%												101		14	26		2	2	800				4																																																												¡Û																		
622	R Attack Speed 5%												101		14	35		2	2	700				5																																																												¡Û																		
623	R Attack Speed 6%												101		35	44		2	2	600				6																																																												¡Û																		
624	R Attack Speed 7%												101		44	52		2	2	500				7																																																												¡Û																		
625	R Attack Speed 8%												101		52	60		2	2	400				8																																																												¡Û																		
626	R Attack Speed 9%												101		60	68		2	2	300				9																																																												¡Û																		
627	R Attack Speed 10%												101		68	76		2	2	200				10																																																												¡Û																		
628	R Attack Speed 11%												101		76	76		2	2	100				11																																																												¡Û																		
629	U Attack Speed 3%												102		15	15		3	3	1000				3																																																												¡Û																		
630	U Attack Speed 4%												102		15	26		3	3	900				4																																																												¡Û																		
631	U Attack Speed 5%												102		26	35		3	3	800				5																																																												¡Û																		
632	U Attack Speed 6%												102		35	44		3	3	700				6																																																												¡Û																		
633	U Attack Speed 7%												102		44	52		3	3	600				7																																																												¡Û																		
634	U Attack Speed 8%												102		52	60		3	3	500				8																																																												¡Û																		
635	U Attack Speed 9%												102		60	68		3	3	400				9																																																												¡Û																		
636	U Attack Speed 10%												102		68	76		3	3	300				10																																																												¡Û																		
637	U Attack Speed 11%												102		76	90		3	3	200				11																																																												¡Û																		
638	U Attack Speed 12%												102		76	90		3	3	100				12																																																												¡Û																		
639	U Attack Speed 13%												102		76	90		3	3	75				13																																																												¡Û																		
640	E Attack Speed 4%												102		15	15		4	4	1000				4																																																												¡Û																		
641	E Attack Speed 5%												102		15	26		4	4	900				5																																																												¡Û																		
642	E Attack Speed 6%												102		26	35		4	4	800				6																																																												¡Û																		
643	E Attack Speed 7%												102		35	44		4	4	700				7																																																												¡Û																		
644	E Attack Speed 8%												102		44	52		4	4	600				8																																																												¡Û																		
645	E Attack Speed 9%												102		52	60		4	4	500				9																																																												¡Û																		
646	E Attack Speed 10%												102		60	68		4	4	400				10																																																												¡Û																		
647	E Attack Speed 11%												102		60	76		4	4	300				11																																																												¡Û																		
648	E Attack Speed 12%												102		76	90		4	4	200				12																																																												¡Û																		
649	E Attack Speed 13%												102		76	90		4	4	100				13																																																												¡Û																		
650	E Attack Speed 14%												102		76	90		4	4	75				14																																																												¡Û																		
651	E Attack Speed 15%												102		83	90		4	4	50				15																																																												¡Û																		
652	N All Elemental Resistances 2%												200		2	39		1	1	1000																													2	2	2	2	2																															¡Û																		
653	N All Elemental Resistances 3%												200		21	64		1	1	900																													3	3	3	3	3																															¡Û																		
654	N All Elemental Resistances 4%												200		48	72		1	1	800																													4	4	4	4	4																															¡Û																		
655	N All Elemental Resistances 5%												200		72	72		1	1	700																													5	5	5	5	5																															¡Û																		
656	R All Elemental Resistances 1%												201		7	7		2	2	1000																													1	1	1	1	1																															¡Û																		
657	R All Elemental Resistances 2%												201		7	26		2	2	900																													2	2	2	2	2																															¡Û																		
658	R All Elemental Resistances 3%												201		14	52		2	2	800																													3	3	3	3	3																															¡Û																		
659	R All Elemental Resistances 4%												201		35	68		2	2	700																													4	4	4	4	4																															¡Û																		
660	R All Elemental Resistances 5%												201		60	76		2	2	600																													5	5	5	5	5																															¡Û																		
661	R All Elemental Resistances 6%												201		76	76		2	2	500																													6	6	6	6	6																															¡Û																		
662	U All Elemental Resistances 3%												202		15	26		3	3	1000																													3	3	3	3	3																															¡Û																		
663	U All Elemental Resistances 4%												202		15	55		3	3	900																													4	4	4	4	4																															¡Û																		
664	U All Elemental Resistances 5%												202		26	83		3	3	800																													5	5	5	5	5																															¡Û																		
665	U All Elemental Resistances 6%												202		68	90		3	3	700																													6	6	6	6	6																															¡Û																		
666	U All Elemental Resistances 7%												202		90	90		3	3	600																													7	7	7	7	7																															¡Û																		
667	E All Elemental Resistances 4%												203		15	26		4	4	1000																													4	4	4	4	4																															¡Û																		
668	E All Elemental Resistances 5%												203		15	44		4	4	900																													5	5	5	5	5																															¡Û																		
669	E All Elemental Resistances 6%												203		26	68		4	4	800																													6	6	6	6	6																															¡Û																		
670	E All Elemental Resistances 7%												203		55	90		4	4	700																													7	7	7	7	7																															¡Û																		
671	E All Elemental Resistances 8%												203		76	90		4	4	600																													8	8	8	8	8																															¡Û																		
672	E All Elemental Resistances 9%												203		76	90		4	4	500																													9	9	9	9	9																															¡Û																		
673	E All Elemental Resistances 10%												203		76	400		4	4	4																													10	10	10	10	10																															¡Û																		
674	N Defense +4												250		2	2		1	1	1000																									4																																							¡Û																		
675	N Defense +5												250		2	2		1	1	900																									5																																							¡Û																		
676	N Defense +6												250		2	12		1	1	800																									6																																							¡Û																		
677	N Defense +7												250		12	12		1	1	700																									7																																							¡Û																		
678	N Defense +8												250		12	21		1	1	600																									8																																							¡Û																		
679	N Defense +9												250		21	21		1	1	500																									9																																							¡Û																		
680	N Defense +10												250		21	30		1	1	400																									10																																							¡Û																		
681	N Defense +11												250		30	30		1	1	300																									11																																							¡Û																		
682	N Defense +12	O	O										250		30	39				429496729																									12																																							¡Û																		
683	N Defense +13												250		39	39		1	1	200																									13																																							¡Û																		
684	N Defense +14												250		39	48		1	1	100																									14																																							¡Û																		
685	N Defense +15												250		48	48		1	1	90																									15																																							¡Û																		
686	N Defense +16												250		48	56		1	1	80																									16																																							¡Û																		
687	N Defense +17												250		56	56		1	1	70																									17																																							¡Û																		
688	N Defense +18												250		56	64		1	1	60																									18																																							¡Û																		
689	N Defense +19												250		64	64		1	1	50																									19																																							¡Û																		
690	N Defense +20												250		64	72		1	1	40																									20																																							¡Û																		
691	N Defense +21												250		72	72		1	1	30																									21																																							¡Û																		
692	N Defense +22												250		72	72		1	1	20																									22																																							¡Û																		
693	R Defense +6												251		7	7		2	2	1000																									6																																							¡Û																		
694	R Defense +7												251		7	7		2	2	900																									7																																							¡Û																		
695	R Defense +8												251		7	14		2	2	800																									8																																							¡Û																		
696	R Defense +9												251		14	14		2	2	700																									9																																							¡Û																		
697	R Defense +10												251		14	26		2	2	600																									10																																							¡Û																		
698	R Defense +11												251		26	26		2	2	500																									11																																							¡Û																		
699	R Defense +12												251		26	35		2	2	400																									12																																							¡Û																		
700	R Defense +13												251		35	35		2	2	300																									13																																							¡Û																		
701	R Defense +14												251		35	44		2	2	200																									14																																							¡Û																		
702	R Defense +15												251		44	44		2	2	100																									15																																							¡Û																		
703	R Defense +16												251		44	52		2	2	90																									16																																							¡Û																		
704	R Defense +17												251		52	52		2	2	80																									17																																							¡Û																		
705	R Defense +18												251		52	60		2	2	70																									18																																							¡Û																		
706	R Defense +19												251		60	60		2	2	60																									19																																							¡Û																		
707	R Defense +20												251		60	68		2	2	50																									20																																							¡Û																		
708	R Defense +21												251		68	68		2	2	40																									21																																							¡Û																		
709	R Defense +22												251		68	76		2	2	40																									22																																							¡Û																		
710	R Defense +23												251		76	76		2	2	40																									23																																							¡Û																		
711	R Defense +24												251		76	76		2	2	40																									24																																							¡Û																		
712	U Defense +8												252		15	15		3	3	429496729																									8																																																									
713	U Defense +9												252		15	15		3	3	1000																									9																																							¡Û																		
714	U Defense +10												252		15	26		3	3	900																									10																																							¡Û																		
715	U Defense +11												252		26	26		3	3	800																									11																																							¡Û																		
716	U Defense +12												252		26	35		3	3	700																									12																																							¡Û																		
717	U Defense +13												252		35	35		3	3	600																									13																																							¡Û																		
718	U Defense +14												252		35	44		3	3	500																									14																																							¡Û																		
719	U Defense +15												252		44	44		3	3	400																									15																																							¡Û																		
720	U Defense +16												252		44	55		3	3	300																									16																																							¡Û																		
721	U Defense +17												252		55	55		3	3	200																									17																																							¡Û																		
722	U Defense +18												252		55	68		3	3	100																									18																																							¡Û																		
723	U Defense +19												252		68	68		3	3	90																									19																																							¡Û																		
724	U Defense +20												252		68	76		3	3	80																									20																																							¡Û																		
725	U Defense +21												252		76	76		3	3	70																									21																																							¡Û																		
726	U Defense +22												252		76	83		3	3	60																									22																																							¡Û																		
727	U Defense +23												252		83	83		3	3	50																									23																																							¡Û																		
728	U Defense +24												252		83	90		3	3	40																									24																																							¡Û																		
729	U Defense +25												252		90	90		3	3	40																									25																																							¡Û																		
730	U Defense +26												252		90	90		3	3	40																									26																																							¡Û																		
731	E Defense +10												254		15	15		4	4	1000																									10																																							¡Û																		
732	E Defense +11												254		15	15		4	4	900																									11																																							¡Û																		
733	E Defense +12												254		15	26		4	4	800																									12																																							¡Û																		
734	E Defense +13												254		26	26		4	4	700																									13																																							¡Û																		
735	E Defense +14												254		26	35		4	4	600																									14																																							¡Û																		
736	E Defense +15												254		35	35		4	4	500																									15																																							¡Û																		
737	E Defense +16												254		35	44		4	4	400																									16																																							¡Û																		
738	E Defense +17												254		44	44		4	4	300																									17																																							¡Û																		
739	E Defense +18												254		44	55		4	4	200																									18																																							¡Û																		
740	E Defense +19												254		44	55		4	4	100																									19																																							¡Û																		
741	E Defense +20												254		55	68		4	4	90																									20																																							¡Û																		
742	E Defense +21												254		55	68		4	4	80																									21																																							¡Û																		
743	E Defense +22												254		55	68		4	4	70																									22																																							¡Û																		
744	E Defense +23												254		68	76		4	4	60																									23																																							¡Û																		
745	E Defense +24												254		68	76		4	4	50																									24																																							¡Û																		
746	E Defense +25												254		68	76		4	4	50																									25																																							¡Û																		
747	E Defense +26												254		76	90		4	4	50																									26																																							¡Û																		
748	E Defense +27												254		76	90		4	4	50																									27																																							¡Û																		
749	E Defense +28												254		76	90		4	4	50																									28																																							¡Û																		
750	E Defense +29												254		76	90		4	4	50																									29																																							¡Û																		
751	E Defense +30												254		76	90		4	4	50																									30																																							¡Û																		
752	N Attack Rating +4												120		2	2		1	1	1000																										4																																						¡Û																		
753	N Attack Rating +5												120		2	2		1	1	900																										5																																						¡Û																		
754	N Attack Rating +6												120		2	12		1	1	800																										6																																						¡Û																		
755	N Attack Rating +7												120		12	12		1	1	700																										7																																						¡Û																		
756	N Attack Rating +8												120		12	21		1	1	600																										8																																						¡Û																		
757	N Attack Rating +9												120		21	21		1	1	500																										9																																						¡Û																		
758	N Attack Rating +10												120		21	30		1	1	400																										10																																						¡Û																		
759	N Attack Rating +11												120		30	30		1	1	300																										11																																						¡Û																		
760	N Attack Rating +12												120		30	39		1	1	200																										12																																						¡Û																		
761	N Attack Rating +13												120		39	39		1	1	100																										13																																						¡Û																		
762	N Attack Rating +14												120		39	48		1	1	100																										14																																						¡Û																		
763	N Attack Rating +15												120		48	48		1	1	100																										15																																						¡Û																		
764	N Attack Rating +16												120		48	56		1	1	100																										16																																						¡Û																		
765	N Attack Rating +17												120		56	56		1	1	100																										17																																						¡Û																		
766	N Attack Rating +18												120		56	64		1	1	100																										18																																						¡Û																		
767	N Attack Rating +19												120		64	64		1	1	100																										19																																						¡Û																		
768	N Attack Rating +20												120		64	72		1	1	100																										20																																						¡Û																		
769	N Attack Rating +21												120		72	72		1	1	100																										21																																						¡Û																		
770	N Attack Rating +22												120		72	72		1	1	100																										22																																						¡Û																		
771	R Attack Rating +6												121		7	7		2	2	1000																										6																																						¡Û																		
772	R Attack Rating +7												121		7	7		2	2	900																										7																																						¡Û																		
773	R Attack Rating +8												121		7	14		2	2	800																										8																																						¡Û																		
774	R Attack Rating +9												121		14	14		2	2	700																										9																																						¡Û																		
775	R Attack Rating +10												121		14	26		2	2	600																										10																																						¡Û																		
776	R Attack Rating +11												121		26	26		2	2	500																										11																																						¡Û																		
777	R Attack Rating +12												121		26	35		2	2	400																										12																																						¡Û																		
778	R Attack Rating +13												121		35	35		2	2	300																										13																																						¡Û																		
779	R Attack Rating +14												121		35	44		2	2	200																										14																																						¡Û																		
780	R Attack Rating +15												121		44	44		2	2	100																										15																																						¡Û																		
781	R Attack Rating +16												121		44	52		2	2	100																										16																																						¡Û																		
782	R Attack Rating +17												121		52	52		2	2	100																										17																																						¡Û																		
783	R Attack Rating +18												121		52	60		2	2	100																										18																																						¡Û																		
784	R Attack Rating +19												121		60	60		2	2	100																										19																																						¡Û																		
785	R Attack Rating +20												121		60	68		2	2	100																										20																																						¡Û																		
786	R Attack Rating +21												121		68	68		2	2	100																										21																																						¡Û																		
787	R Attack Rating +22												121		68	76		2	2	100																										22																																						¡Û																		
788	R Attack Rating +23												121		76	76		2	2	100																										23																																						¡Û																		
789	R Attack Rating +24												121		76	76		2	2	100																										24																																						¡Û																		
790	U Attack Rating +8												122		15	15		3	3	1000																										8																																						¡Û																		
791	U Attack Rating +9												122		15	15		3	3	900																										9																																						¡Û																		
792	U Attack Rating +10												122		15	26		3	3	800																										10																																						¡Û																		
793	U Attack Rating +11												122		26	26		3	3	700																										11																																						¡Û																		
794	U Attack Rating +12												122		26	35		3	3	600																										12																																						¡Û																		
795	U Attack Rating +13												122		35	35		3	3	500																										13																																						¡Û																		
796	U Attack Rating +14												122		35	44		3	3	400																										14																																						¡Û																		
797	U Attack Rating +15												122		44	44		3	3	300																										15																																						¡Û																		
798	U Attack Rating +16												122		44	55		3	3	200																										16																																						¡Û																		
799	U Attack Rating +17												122		55	55		3	3	100																										17																																						¡Û																		
800	U Attack Rating +18												122		55	68		3	3	100																										18																																						¡Û																		
801	U Attack Rating +19												122		68	68		3	3	100																										19																																						¡Û																		
802	U Attack Rating +20												122		68	76		3	3	100																										20																																						¡Û																		
803	U Attack Rating +21												122		76	76		3	3	100																										21																																						¡Û																		
804	U Attack Rating +22												122		76	83		3	3	100																										22																																						¡Û																		
805	U Attack Rating +23												122		83	83		3	3	100																										23																																						¡Û																		
806	U Attack Rating +24												122		83	90		3	3	100																										24																																						¡Û																		
807	U Attack Rating +25												122		90	90		3	3	100																										25																																						¡Û																		
808	U Attack Rating +26												122		90	90		3	3	100																										26																																						¡Û																		
809	E Attack Rating +10												123		15	15		4	4	1000																										10																																						¡Û																		
810	E Attack Rating +11												123		15	15		4	4	900																										11																																						¡Û																		
811	E Attack Rating +12												123		15	26		4	4	800																										12																																						¡Û																		
812	E Attack Rating +13												123		26	26		4	4	700																										13																																						¡Û																		
813	E Attack Rating +14												123		26	35		4	4	600																										14																																						¡Û																		
814	E Attack Rating +15												123		35	35		4	4	500																										15																																						¡Û																		
815	E Attack Rating +16												123		35	44		4	4	400																										16																																						¡Û																		
816	E Attack Rating +17												123		44	44		4	4	300																										17																																						¡Û																		
817	E Attack Rating +18												123		44	55		4	4	200																										18																																						¡Û																		
818	E Attack Rating +19												123		44	55		4	4	100																										19																																						¡Û																		
819	E Attack Rating +20												123		55	68		4	4	100																										20																																						¡Û																		
820	E Attack Rating +21												123		55	68		4	4	100																										21																																						¡Û																		
821	E Attack Rating +22												123		55	68		4	4	100																										22																																						¡Û																		
822	E Attack Rating +23												123		68	76		4	4	100																										23																																						¡Û																		
823	E Attack Rating +24												123		68	76		4	4	100																										24																																						¡Û																		
824	E Attack Rating +25												123		68	76		4	4	100																										25																																						¡Û																		
825	E Attack Rating +26												123		76	90		4	4	100																										26																																						¡Û																		
826	E Attack Rating +27												123		76	90		4	4	100																										27																																						¡Û																		
827	E Attack Rating +28												123		76	90		4	4	100																										28																																						¡Û																		
828	E Attack Rating +29												123		76	90		4	4	100																										29																																						¡Û																		
829	E Attack Rating +30												123		76	90		4	4	100																										30																																						¡Û																		
830	G. Realm All Stats +31												120																																																31	31	31	31	31																			¡Û	80	83	522															
831	G. Realm All Stats +32												120																																																32	32	32	32	32																			¡Û	83	86	522															
832	G. Realm All Stats +33												120																																																33	33	33	33	33																			¡Û	86	89	522															
833	G. Realm All Stats +34												120																																																34	34	34	34	34																			¡Û	89	92	522															
834	G. Realm All Stats +35												120																																																35	35	35	35	35																			¡Û	92	99	522															
835	Ice Damage +50												88																						50																																																	¡Û																		
836	Bonus Gold 10%												89																																																																			10				¡Û																		
837	Max. HP +15%												94																																														15																									¡Û																		
838	Max. Mana +15%												95																																															15																								¡Û																		
839	Defense +50												96																																50																																							¡Û																		
840	Bonus Gold +60%												97																																																																			60				¡Û																		
841	Ice Damage +40												98																						40																																																	¡Û																		
842	Lightning Damage +40												99																							40																																																¡Û																		
843	Poison Damage +40												103																					40																																																		¡Û																		
844	Block +10%												126																																			10																																				¡Û																		
845	Attack Rating +16												127																																																																																									
846	Defense +30												128																																30																																							¡Û																		
847	Agility +14												129																																																	14																						¡Û																		
848	N Reduces skill cast time by 1%												137		2	12		1	1	1000																																																								1								¡Û																		
849	N Reduces skill cast time by 2%												137		2	39		1	1	900																																																								2								¡Û																		
850	N Reduces skill cast time by 3%												137		21	64		1	1	800																																																								3								¡Û																		
851	N Reduces skill cast time by 4%												137		48	72		1	1	700																																																								4								¡Û																		
852	N Reduces skill cast time by 5%												137		72	72		1	1	600																																																								5								¡Û																		
853	R Reduces skill cast time by 2%												138		7	7		2	2	1000																																																								2								¡Û																		
854	R Reduces skill cast time by 3%												138		7	68		2	2	900																																																								3								¡Û																		
855	R Reduces skill cast time by 4%												138		35	68		2	2	800																																																								4								¡Û																		
856	R Reduces skill cast time by 5%												138		60	76		2	2	700																																																								5								¡Û																		
857	R Reduces skill cast time by 6%												138		76	76		2	2	600																																																								6								¡Û																		
858	U Reduces skill cast time by 3%												139		15	26		3	3	1000																																																								3								¡Û																		
859	U Reduces skill cast time by 4%												139		15	44		3	3	900																																																								4								¡Û																		
860	U Reduces skill cast time by 5%												139		35	52		3	3	800																																																								5								¡Û																		
861	U Reduces skill cast time by 6%												139		52	68		3	3	700																																																								6								¡Û																		
862	U Reduces skill cast time by 7%												139		76	90		3	3	600																																																								7								¡Û																		
863	Reduces skill cast time by 8%												139		76	90		3	3	500																																																								8								¡Û																		
864	E Reduces skill cast time by 4%												140		15	15		4	4	1000																																																								4								¡Û																		
865	E Reduces skill cast time by 5%												140		15	26		4	4	900																																																								5								¡Û																		
866	E Reduces skill cast time by 6%												140		26	35		4	4	800																																																								6								¡Û																		
867	E Reduces skill cast time by 7%												140		35	44		4	4	700																																																								7								¡Û																		
868	E Reduces skill cast time by 8%												140		44	52		4	4	600																																																								8								¡Û																		
869	E Reduces skill cast time by 9%												140		60	68		4	4	500																																																								9								¡Û																		
870	Reduces skill cast time by 9%												30																																																															9								¡Û	51	60	30															
871	All Elemental and Dimensional Attacks +10												141																10	10	10	10	10	10	10	10																																																¡Û																		
872	All Stats +15												142																																																15	15	15	15	15																			¡Û																		
873	All Dimensional Resistances +12%												142																																									12	12	12																												¡Û																		
874	All Elemental Resistances +12%												142																																				12	12	12	12	12																															¡Û																		
875	Defense +19												142																																19																																							¡Û																		
876	Skil Block +19%												143															19																																																								¡Û																		
877	Learned skills upgraded by 2 ranks.												143																																																																	2						¡Û																		
878	Max. HP/MP +12%												143																																														12	12																								¡Û																		
879	13% chance when hit to convert 19% of damage taken into restored health.												143																																																						3		13			19												¡Û																		
880	Reduces skill cooldown time by 10%												143																																																																10							¡Û																		
881	Attack Rating +50												144																																	50																																						¡Û																		
882	Attack Speed +15%												144											15																																																												¡Û																		
883	15% chance on hit to strike your target for 250% damage.												144																																																						1		15	250														¡Û																		
884	Reduces skill cast time by 16%												144																																																															16								¡Û																		
885	All Elemental and Dimensional Attacks +15												144																15	15	15	15	15	15	15	15																																																¡Û																		
886	Resistance +19%												145														19																																																									¡Û																		
887	Defense +29												145																																29																																							¡Û																		
888	Mana Recovery +200 every 10 sec												145																																																						4							200										¡Û																		
889	Increases duration of debuffs by 5 sec												145																																																																							¡Û																		5000
890	Increases Critical Hit Damage by +50%												145																																																						1			50														¡Û																		
891	Movement Speed +20%												146												20																																																											¡Û																		
892	Block +20%												146																																			20																																				¡Û																		
893	13% chance on hit to stun target for 1 sec												146																																																						2		13		1000													¡Û																		
894	Defense +19												146																																19																																							¡Û																		
1001	Damage +1												1				1	1	4							1																																																										¡Û																		
1002	Damage +3												1				1	1	4							3																																																										¡Û																		
1003	Damage +5												1				1	1	4							5																																																										¡Û																		
1004	Damage +6												1				1	1	4							6																																																										¡Û																		
1005	Damage +7												1				1	1	4							7																																																										¡Û																		
1006	Damage +8												1				1	1	4							8																																																										¡Û																		
1007	Damage +9												1				1	1	4							9																																																										¡Û																		
1008	Damage +10												1				1	1	4							10																																																										¡Û																		
1009	Damage +11												1				1	1	4							11																																																										¡Û																		
1010	Damage +12												1				1	1	4							12																																																										¡Û																		
1011	Damage +13												1				1	1	4							13																																																										¡Û																		
1012	Damage +14												1				1	1	4							14																																																										¡Û																		
1013	Defense +6												15				1	1	4																										6																																							¡Û																		
1014	Defense +7												15				1	1	4																										7																																							¡Û																		
1015	Defense +8												15				1	1	4																										8																																							¡Û																		
1016	Defense +9												15				1	1	4																										9																																							¡Û																		
1017	Defense +10												15				1	1	4																										10																																							¡Û																		
1018	Defense +11												15				1	1	4																										11																																							¡Û																		
1019	Defense +12												15				1	1	4																										12																																							¡Û																		
1020	Defense +13												15				1	1	4																										13																																							¡Û																		
1021	Defense +14												15				1	1	4																										14																																							¡Û																		
1022	Wisdom +1												14				1	1	4																																														1																			¡Û																		
1023	Wisdom +3												14				1	1	4																																														3																			¡Û																		
1024	Wisdom +5												14				1	1	4																																														5																			¡Û																		
1025	Wisdom +6												14				1	1	4																																														6																			¡Û																		
1026	Wisdom +7												14				1	1	4																																														7																			¡Û																		
1027	Wisdom +8												14				1	1	4																																														8																			¡Û																		
1028	Wisdom +9												14				1	1	4																																														9																			¡Û																		
1029	Wisdom +10												14				1	1	4																																														10																			¡Û																		
