name2	skill_level2	damage_a2	damage_magic2	damage_water2	damage_air2	damage_earth2	damage_fire2	damage_poison2	damage_ice2	damage_thunder2	damage_a_PERCENT2	damage_magic_PERCENT2	damage_water_PERCENT2	damage_air_PERCENT2	damage_earth_PERCENT2	damage_fire_PERCENT2	damage_poison_PERCENT2	damage_ice_PERCENT2	damage_thunder_PERCENT2	damage_c_PERCENT2	cost_hp2	cost_mp2	duration2	interval2	dot_dmg_a2	dot_dmg_magic2	dot_dmg_water2	dot_dmg_air2	dot_dmg_earth2	dot_dmg_fire2	dot_dmg_poison2	dot_dmg_ice2	dot_dmg_thunder2	dot_dmg_a_PERCENT2	dot_dmg_magic_PERCENT2	dot_dmg_water_PERCENT2	dot_dmg_air_PERCENT2	dot_dmg_earth_PERCENT2	dot_dmg_fire_PERCENT2	dot_dmg_poison_PERCENT2	dot_dmg_ice_PERCENT2	dot_dmg_thunder_PERCENT2	stun_time2	skill_rate2	aggrodoll_hp2	dot_damage_time2	death2	specific_skill_levelup2	Connection_TID2	Skill_Union2	Skill_Union_Control2	Max_Skill_Union2	bonus_drop_add_rate2	velocity2	ea_damage_physical2	ea_damage_magic2	ea_damage_water2	ea_damage_air2	ea_damage_earth2	ea_damage_fire2	ea_damage_poison2	ea_damage_ice2	ea_damage_thunder2	ea_damage_c2	ea_damage_physical_PERCENT2	ea_damage_magic_PERCENT2	ea_damage_water_PERCENT2	ea_damage_air_PERCENT2	ea_damage_earth_PERCENT2	ea_damage_fire_PERCENT2	ea_damage_poison_PERCENT2	ea_damage_ice_PERCENT2	ea_damage_thunder_PERCENT2	ea_damage_c_PERCENT2	FACTOR_POINT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	FACTOR_PERCENT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	ignore_physical_defence_percent2	ignore_attribute_defence_percent2	critical_defence_percent2	durability_percent2	durability_num2
	17										95																																						670																																																																																															-17																																									
	18										95																																						670																																																																																															-17																																									
	19										95																																						670																																																																																															-17																																									
	20										95																																						670																																																																																															-17																																									
Close Skirmish	1										27					14																																	671																																												-3																																																																																												
	2										32					16																																	671																																												-4																																																																																												
	3										37					19																																	671																																												-5																																																																																												
	4										42					21																																	671																																												-6																																																																																												
	5										47					24																																	671																																												-7																																																																																												
	6										52					26																																	671																																												-8																																																																																												
	7										57					29																																	671																																												-9																																																																																												
	8										62					31																																	671																																												-10																																																																																												
	9										67					34																																	671																																												-11																																																																																												
	10										72					36																																	671																																												-12																																																																																												
	11										77					39																																	671																																												-13																																																																																												
	12										82					41																																	671																																												-14																																																																																												
	13										87					44																																	671																																												-14																																																																																												
	14										92					46																																	671																																												-14																																																																																												
	15										97					49																																	671																																												-14																																																																																												
	16										97					49																																	671																																												-14																																																																																												
	17										97					49																																	671																																												-14																																																																																												
	18										97					49																																	671																																												-14																																																																																												
	19										97					49																																	671																																												-14																																																																																												
	20										97					49																																	671																																												-14																																																																																												
Precise Assault	1										30		15																														3000	30																																																																																																																																													
	2										35		18																														3000	35																																																																																																																																													
	3										40		20																														3000	40																																																																																																																																													
	4										45		23																														3000	45																																																																																																																																													
	5										50		25																														3000	50																																																																																																																																													
	6										55		28																														3000	55																																																																																																																																													
	7										60		30																														3000	60																																																																																																																																													
	8										65		33																														3000	65																																																																																																																																													
	9										70		35																														3000	70																																																																																																																																													
	10										75		38																														3000	75																																																																																																																																													
	11										80		40																														3000	80																																																																																																																																													
	12										85		43																														3000	85																																																																																																																																													
	13										90		45																														3000	90																																																																																																																																													
	14										95		48																														3000	95																																																																																																																																													
	15										100		50																														3000	100																																																																																																																																													
	16										100		50																														3000	100																																																																																																																																													
	17										100		50																														3000	100																																																																																																																																													
	18										100		50																														3000	100																																																																																																																																													
	19										100		50																														3000	100																																																																																																																																													
	20										100		50																														3000	100																																																																																																																																													
Blue Dire	1										30		15																																																																																-1																																																																																												
	2										35		18																																																																																-3																																																																																												
	3										40		20																																																																																-5																																																																																												
	4										45		23																																																																																-5																																																																																												
	5										50		25																																																																																-5																																																																																												
	6										55		28																																																																																-5																																																																																												
	7										60		30																																																																																-5																																																																																												
	8										65		33																																																																																-5																																																																																												
	9										70		35																																																																																-5																																																																																												
	10										75		38																																																																																-5																																																																																												
	11										80		40																																																																																-5																																																																																												
	12										85		43																																																																																-5																																																																																												
	13										90		45																																																																																-5																																																																																												
	14										95		48																																																																																-5																																																																																												
	15										100		50																																																																																-5																																																																																												
	16										100		50																																																																																-5																																																																																												
	17										100		50																																																																																-5																																																																																												
	18										100		50																																																																																-5																																																																																												
	19										100		50																																																																																-5																																																																																												
	20										100		50																																																																																-5																																																																																												
Recite of Breeze	1										30														15																								673																																																																																																																																								
	2										35														18																								673																																																																																																																																								
	3										40														20																								673																																																																																																																																								
	4										45														23																								673																																																																																																																																								
	5										50														25																								673																																																																																																																																								
	6										55														28																								673																																																																																																																																								
	7										60														30																								673																																																																																																																																								
	8										65														33																								673																																																																																																																																								
	9										70														35																								673																																																																																																																																								
	10										75														38																								673																																																																																																																																								
	11										80														40																								673																																																																																																																																								
	12										85														43																								673																																																																																																																																								
	13										90														45																								673																																																																																																																																								
	14										95														48																								673																																																																																																																																								
	15										100														50																								673																																																																																																																																								
	16										100														50																								673																																																																																																																																								
	17										100														50																								673																																																																																																																																								
	18										100														50																								673																																																																																																																																								
	19										100														50																								673																																																																																																																																								
	20										100														50																								673																																																																																																																																								
Insightful X	1										30																																						674																																																																														-2																																																										
	2										35																																						674																																																																														-4																																																										
	3										40																																						674																																																																														-6																																																										
	4										45																																						674																																																																														-8																																																										
	5										50																																						674																																																																														-10																																																										
	6										55																																						674																																																																														-12																																																										
	7										60																																						674																																																																														-14																																																										
	8										65																																						674																																																																														-15																																																										
	9										70																																						674																																																																														-16																																																										
	10										75																																						674																																																																														-17																																																										
	11										80																																						674																																																																														-18																																																										
	12										85																																						674																																																																														-19																																																										
	13										90																																						674																																																																														-20																																																										
	14										95																																						674																																																																														-21																																																										
	15										100																																						674																																																																														-22																																																										
	16										100																																						674																																																																														-32																																																										
	17										100																																						674																																																																														-34																																																										
	18										100																																						674																																																																														-36																																																										
	19										100																																						674																																																																														-38																																																										
	20										100																																						674																																																																														-40																																																										
Explosion Image	1										35			18																																																																																		-2	-2																																																																																								
	2										40			20																																																																																		-5	-5																																																																																								
	3										45			23																																																																																		-8	-8																																																																																								
	4										50			25																																																																																		-11	-11																																																																																								
	5										55			28																																																																																		-14	-14																																																																																								
	6										60			30																																																																																		-17	-17																																																																																								
	7										65			33																																																																																		-20	-20																																																																																								
	8										70			35																																																																																		-23	-23																																																																																								
	9										75			38																																																																																		-26	-26																																																																																								
	10										80			40																																																																																		-26	-26																																																																																								
	11										85			43																																																																																		-26	-26																																																																																								
	12										90			45																																																																																		-26	-26																																																																																								
	13										95			48																																																																																		-26	-26																																																																																								
	14										100			50																																																																																		-26	-26																																																																																								
	15										105			53																																																																																		-26	-26																																																																																								
	16										105			53																																																																																		-26	-26																																																																																								
	17										105			53																																																																																		-26	-26																																																																																								
	18										105			53																																																																																		-26	-26																																																																																								
	19										105			53																																																																																		-26	-26																																																																																								
	20										105			53																																																																																		-26	-26																																																																																								
Water Dream	1										40		20																																				676																																																	-3									-3																																																																														
	2										45		23																																				676																																																	-5									-5																																																																														
	3										50		25																																				676																																																	-7									-7																																																																														
	4										55		28																																				676																																																	-9									-9																																																																														
	5										60		30																																				676																																																	-11									-11																																																																														
	6										65		33																																				676																																																	-13									-13																																																																														
	7										70		35																																				676																																																	-15									-15																																																																														
	8										75		38																																				676																																																	-17									-17																																																																														
	9										80		40																																				676																																																	-19									-19																																																																														
	10										85		43																																				676																																																	-21									-21																																																																														
	11										90		45																																				676																																																	-23									-23																																																																														
	12										95		48																																				676																																																	-25									-25																																																																														
	13										100		50																																				676																																																	-27									-27																																																																														
	14										105		53																																				676																																																	-29									-29																																																																														
	15										110		55																																				676																																																	-31									-31																																																																														
	16										110		55																																				676																																																	-31									-31																																																																														
	17										110		55																																				676																																																	-31									-31																																																																														
	18										110		55																																				676																																																	-31									-31																																																																														
	19										110		55																																				676																																																	-31									-31																																																																														
	20										110		55																																				676																																																	-31									-31																																																																														
Wounding Critical	1										45				23														23																																																																																																																																																												
	2										50				25														25																																																																																																																																																												
	3										55				28														28																																																																																																																																																												
	4										60				30														30																																																																																																																																																												
	5										65				33														33																																																																																																																																																												
	6										70				35														35																																																																																																																																																												
	7										75				38														38																																																																																																																																																												
	8										80				40														40																																																																																																																																																												
	9										85				43														43																																																																																																																																																												
	10										90				45														45																																																																																																																																																												
	11										95				48														48																																																																																																																																																												
	12										100				50														50																																																																																																																																																												
	13										105				53														53																																																																																																																																																												
	14										110				55														55																																																																																																																																																												
	15										115				58														58																																																																																																																																																												
	16										115				58														58																																																																																																																																																												
	17										115				58														58																																																																																																																																																												
	18										115				58														58																																																																																																																																																												
	19										115				58														58																																																																																																																																																												
	20										115				58														58																																																																																																																																																												
Barrage Strike	1										50																																						679																																																																																																																																								
	2										55																																						679																																																																																																																																								
	3										60																																						679																																																																																																																																								
	4										65																																						679																																																																																																																																								
	5										70																																						679																																																																																																																																								
	6										75																																						679																																																																																																																																								
	7										80																																						679																																																																																																																																								
	8										85																																						679																																																																																																																																								
	9										90																																						679																																																																																																																																								
	10										95																																						679																																																																																																																																								
	11										100																																						679																																																																																																																																								
	12										105																																						679																																																																																																																																								
	13										110																																						679																																																																																																																																								
	14										115																																						679																																																																																																																																								
	15										120																																						679																																																																																																																																								
	16										120																																						679																																																																																																																																								
	17										120																																						679																																																																																																																																								
	18										120																																						679																																																																																																																																								
	19										120																																						679																																																																																																																																								
	20										120																																						679																																																																																																																																								
Sword Stopper	1																																																																																																																																																																																						4		
	2																																																																																																																																																																																						6		
	3																																																																																																																																																																																						8		
	4																																																																																																																																																																																						10		
	5																																																																																																																																																																																						12		
	6																																																																																																																																																																																						14		
	7																																																																																																																																																																																						16		
	8																																																																																																																																																																																						18		
	9																																																																																																																																																																																						20		
	10																																																																																																																																																																																						20		
	11																																																																																																																																																																																						20		
	12																																																																																																																																																																																						20		
	13																																																																																																																																																																																						20		
	14																																																																																																																																																																																						20		
	15																																																																																																																																																																																						20		
	16																																																																																																																																																																																						20		
	17																																																																																																																																																																																						20		
	18																																																																																																																																																																																						20		
	19																																																																																																																																																																																						20		
	20																																																																																																																																																																																						20		
Lunar Masquerade	1																																																	1																																																																																																																																							
	2																																															672		1																																																																																																																																							
	3																																															672;676		1																																																																																																																																							
	4																																															672;676;678		1																																																																																																																																							
	5																																															672;676;678;680		1																																																																																																																																							
	6																																															672;676;678;680		1																																																																																																																																							
	7																																															672;676;678;680		1																																																																																																																																							
	8																																															672;676;678;680		1																																																																																																																																							
	9																																															672;676;678;680		1																																																																																																																																							
	10																																															672;676;678;680		1																																																																																																																																							
	11																																															672;676;678;680		1																																																																																																																																							
	12																																															672;676;678;680		1																																																																																																																																							
	13																																															672;676;678;680		1																																																																																																																																							
	14																																															672;676;678;680		1																																																																																																																																							
	15																																															672;676;678;680		1																																																																																																																																							
	16																																															672;676;678;680		1																																																																																																																																							
	17																																															672;676;678;680		1																																																																																																																																							
	18																																															672;676;678;680		1																																																																																																																																							
	19																																															672;676;678;680		1																																																																																																																																							
	20																																															672;676;678;680		1																																																																																																																																							
Chant Masquerade	1																																																	1																																																																																																																																							
	2																																															682		1																																																																																																																																							
	3																																															682;684		1																																																																																																																																							
	4																																															682;684;685		1																																																																																																																																							
