Item_Name	TID	ANTI Number	SecondCategory	Skill_Name	Skill_Level	Skill_Rate	Upper_Body	Lower_Body	Weapon	Shield	Head	Ring	Necklace	Shoes	Gloves	Success_Rate	Rank	Mount_Restriction_Level	Description
Cloak of Dimension Mastery Lv 1	12110	200	36										O			100	1	1	Ice / Lightning / Poison Damage +5 / Ice / Lightning / Poison Resistance +8%
Cloak of Dimension Mastery Lv 2	12111	200	36										O			100	1	1	Ice / Lightning / Poison Damage +6 / Ice / Lightning / Poison Resistance +9%
Cloak of Dimension Mastery Lv 3	12112	200	36										O			100	1	1	Ice / Lightning / Poison Damage +7 / Ice / Lightning / Poison Resistance +10%
Cloak of Dimension Mastery Lv 4	12113	200	36										O			100	1	1	Ice / Poison / Lightning Damage +8 / Resistance +11%
Cloak of Dimension Mastery Lv 5	12114	200	36										O			100	1	1	Ice / Lightning / Poison Damage +9 / Ice / Lightning / Poison Resistance +12%
Cloak of Dimension Mastery Lv 6	12115	200	36										O			100	1	1	Ice / Lightning / Poison Damage +10 / Ice / Lightning / Poison Resistance +13%
Cloak of Dimension Mastery Lv 7	12116	200	36										O			100	1	1	Ice / Lightning / Poison Damage +11 / Ice / Lightning / Poison Resistance +14%
Cloak of Dimension Mastery Lv 8	12117	200	36										O			100	1	1	Ice / Lightning / Poison Damage +12 / Ice / Lightning / Poison Resistance +15%
Fragment of Ashtal	12118		50				O	O	O		O	O	O	O	O	100	1	1	
Angel Wings<Lv1>	12119	60	36										O			100	1	1	Movement Speed +10%
Fragment of Ashtal	12592		50				O	O	O		O	O	O	O	O	100	1	1	
Combined Deadly Prayer Stone <Lv. 1>	12725	100													O	80		1	Attack Rate +4\nCritical Increase +10%
Combined Deadly Prayer Stone <Lv. 2>	12726	100													O	65		1	Attack Rate +6\nCritical Increase +15%
Combined Deadly Prayer Stone <Lv. 3>	12727	100													O	50		1	Attack Rate +8\nCritical Increase +20%
Combined Deadly Prayer Stone <Lv. 4>	12728	100													O	50		1	Attack Rate +10\nCritical Increase +22%
Combined Deadly Prayer Stone <Lv. 5>	12729	100													O	50		1	Attack Rate +12\nCritical Increase +24%
Combined Deadly Prayer Stone <Lv. 6>	12730	100													O	50		1	Attack Rate +14\nCritical Increase +26%
Combined Magical Power Prayer Stone <Lv. 1>	12731	5					O									80		1	Max. Mana +50\nRestores 4 Mana every 10 seconds.\nReduces Skill Casting/Cooldown Time by 3%.
Combined Magical Power Prayer Stone <Lv. 2>	12732	5					O									65		1	Max. Mana +65\nRestores 5 Mana every 10 seconds.\nReduces Skill Casting/Cooldown Time by 4%.
Combined Magical Power Prayer Stone <Lv. 3>	12733	5					O									50		1	Max. Mana +80\nRestores 6 Mana every 10 seconds.\nReduces Skill Casting/Cooldown Time by 5%.
Combined Magical Power Prayer Stone <Lv. 4>	12734	5					O									50		1	Max. Mana +90\nRestores 7 Mana every 10 seconds.\nReduces Skill Casting/Cooldown Time by 6%.
Combined Magical Power Prayer Stone <Lv. 5>	12735	5					O									50		1	Max. Mana +100\nRestores 8 Mana every 10 seconds.\nReduces Skill Casting/Cooldown Time by 7%.
Combined Magical Power Prayer Stone <Lv. 6>	12736	5					O									50		1	Max. Mana +110\nRestores 9 Mana every 10 seconds.\nReduces Skill Casting/Cooldown Time by 8%.
Combined Life Prayer Stone <Lv. 1>	12737	4					O									80		1	Max. HP +50\nRestores 4 HP every 10 seconds.
Combined Life Prayer Stone <Lv. 2>	12738	4					O									65		1	Max. HP +65\nRestores 5 HP every 10 seconds.
Combined Life Prayer Stone <Lv. 3>	12739	4					O									50		1	Max. HP +80\nRestores 6 HP every 10 seconds.
Combined Life Prayer Stone <Lv. 4>	12740	4					O									50		1	Max. HP +90\nRestores 7 HP every 10 seconds.
Combined Life Prayer Stone <Lv. 5>	12741	4					O									50		1	Max. HP +100\nRestores 8 HP every 10 seconds.
Combined Life Prayer Stone <Lv. 6>	12742	4					O									50		1	Max. HP +110\nRestores 9 HP every 10 seconds.
Combined Sage Prayer Stone <Lv. 1>	12743	5					O									80		1	Wisdom +10\nIntelligence +10\nMana +6%
Combined Sage Prayer Stone <Lv. 2>	12744	5					O									65		1	Wisdom +15\nIntelligence +20\nMana +8%
Combined Sage Prayer Stone <Lv. 3>	12745	5					O									50		1	Wisdom +20\nIntelligence +30\nMana +10%
Combined Sage Prayer Stone <Lv. 4>	12746	5					O									50		1	Wisdom +25\nIntelligence +40\nMana +12%
Combined Sage Prayer Stone <Lv. 5>	12747	5					O									50		1	Wisdom +30\nIntelligence +50\nMana +13%
Combined Sage Prayer Stone <Lv. 6>	12748	5					O									50		1	Wisdom +35\nIntelligence +60\nMana +14%
Combined Fierce Attack Prayer Stone <Lv. 1>	12749	120							O							80		1	Physical Damage +1\nStrength +10
Combined Fierce Attack Prayer Stone <Lv. 2>	12750	120							O							65		1	Physical Damage +2\nStrength +20
Combined Fierce Attack Prayer Stone <Lv. 3>	12751	120							O							50		1	Physical Damage +3\nStrength +30
Combined Fierce Attack Prayer Stone <Lv. 4>	12752	120							O							50		1	Physical Damage +4\nStrength +40
Combined Fierce Attack Prayer Stone <Lv. 5>	12753	120							O							50		1	Physical Damage +5\nStrength +50
Combined Fierce Attack Prayer Stone <Lv. 6>	12754	120							O							50		1	Physical Damage +6\nStrength +60
Combined Windfall Prayer Stone <Lv. 1>	12755	110												O		80		1	Bonus Drop Rate +5%\nAll Elemental Resistances +1%
Combined Windfall Prayer Stone <Lv. 2>	12756	110												O		65		1	Bonus Drop Rate +10%\nAll Elemental Resistances +2%
Combined Windfall Prayer Stone <Lv. 3>	12757	110												O		50		1	Bonus Drop Rate +15%\nAll Elemental Resistances +3%
Combined Windfall Prayer Stone <Lv. 4>	12758	110												O		50		1	Bonus Drop Rate +18%\nAll Elemental Resistances +4%
Combined Windfall Prayer Stone <Lv. 5>	12759	110												O		50		1	Bonus Drop Rate +21%\nAll Elemental Resistances +5%
Combined Windfall Prayer Stone <Lv. 6>	12760	110												O		50		1	Bonus Drop Rate +24%\nAll Elemental Resistances +6%
Combined Absolute Defense Prayer Stone <Lv. 1>	12761	8						O								80		1	Physical Resistance +6%\nPhysical Defense +2
Combined Absolute Defense Prayer Stone <Lv. 2>	12762	8						O								65		1	Physical Resistance +8%\nPhysical Defense +3
Combined Absolute Defense Prayer Stone <Lv. 3>	12763	8						O								50		1	Physical Resistance +10%\nPhysical Defense +4
Combined Absolute Defense Prayer Stone <Lv. 4>	12764	8						O								50		1	Physical Resistance +11%\nPhysical Defense +5
Combined Absolute Defense Prayer Stone <Lv. 5>	12765	8						O								50		1	Physical Resistance +12%\nPhysical Defense +6
Combined Absolute Defense Prayer Stone <Lv. 6>	12766	8						O								50		1	Physical Resistance +13%\nPhysical Defense +7
Combined Vitality Prayer Stone <Lv. 1>	12767	4					O									80		1	Max. HP +6%\nStamina +5
Combined Vitality Prayer Stone <Lv. 2>	12768	4					O									65		1	Max. HP +8%\nStamina +10
Combined Vitality Prayer Stone <Lv. 3>	12769	4					O									50		1	Max. HP +10%\nStamina +15
Combined Vitality Prayer Stone <Lv. 4>	12770	4					O									50		1	Max. HP +12%\nStamina +20
Combined Vitality Prayer Stone <Lv. 5>	12771	4					O									50		1	Max. HP +13%\nStamina +25
Combined Vitality Prayer Stone <Lv. 6>	12772	4					O									50		1	Max. HP +14%\nStamina +30
Combined Elemental Prayer Stone <Lv. 1>	12773	150							O							80		1	Ice Elemental Damage +4\nLightning Elemental Damage +4\nPoison Elemental Damage +4
Combined Elemental Prayer Stone <Lv. 2>	12774	150							O							65		1	Ice Elemental Damage +8\nLightning Elemental Damage +8\nPoison Elemental Damage +8
Combined Elemental Prayer Stone <Lv. 3>	12775	150							O							50		1	Ice Elemental Damage +12\nLightning Elemental Damage +12\nPoison Elemental Damage +12
Combined Elemental Prayer Stone <Lv. 4>	12776	150							O							50		1	Ice Elemental Damage +14\nLightning Elemental Damage +14\nPoison Elemental Damage +14
Combined Elemental Prayer Stone <Lv. 5>	12777	150							O							50		1	Ice Elemental Damage +16\nLightning Elemental Damage +16\nPoison Elemental Damage +16
Combined Elemental Prayer Stone <Lv. 6>	12778	150							O							50		1	Ice Elemental Damage +18\nLightning Elemental Damage +18\nPoison Elemental Damage +18
Combined Impregnability Prayer Stone <Lv. 1>	12779	140								O						80		1	Skill Block Rate +4%\nBlock Rate +2%
Combined Impregnability Prayer Stone <Lv. 2>	12780	140								O						65		1	Skill Block Rate +6%\nBlock Rate +4%
Combined Impregnability Prayer Stone <Lv. 3>	12781	140								O						50		1	Skill Block Rate +8%\nBlock Rate +6%
Combined Impregnability Prayer Stone <Lv. 4>	12782	140								O						50		1	Skill Block Rate +11%\nBlock Rate +8%
Combined Impregnability Prayer Stone <Lv. 5>	12783	140								O						50		1	Skill Block Rate +12%\nBlock Rate +9%
Combined Impregnability Prayer Stone <Lv. 6>	12784	140								O						50		1	Skill Block Rate +13%\nBlock Rate +10%
Combined Indomitable Prayer Stone <Lv. 1>	12785	8						O								80		1	5% chance to convert 10% of damage received into restored health\nIce / Lightning / Poison Elemental Resistance +4%
Combined Indomitable Prayer Stone <Lv. 2>	12786	8						O								65		1	5% chance to convert 15% of damage received into restored health\nIce / Lightning / Poison Elemental Resistance +8%
Combined Indomitable Prayer Stone <Lv. 3>	12787	8						O								50		1	5% chance to convert 20% of damage taken into restored health\nIce / Lightning / Poison Elemental Resistance +12%
Combined Indomitable Prayer Stone <Lv. 4>	12788	8						O								50		1	5% chance to convert 24% of damage received into restored health\nIce / Lightning / Poison Elemental Resistance +14%
Combined Indomitable Prayer Stone <Lv. 5>	12789	8						O								50		1	5% chance to convert 28% of damage received into restored health\nIce / Lightning / Poison Elemental Resistance +16%
Combined Indomitable Prayer Stone <Lv. 6>	12790	8						O								50		1	5% chance to convert 32% of damage received into restored health\nIce / Lightning / Poison Elemental Resistance +18%
Combined High Speed Prayer Stone <Lv. 1>	12791	90													O	80		1	Agility +10\nMovement Speed +3%\nAttack Speed +5%
Combined High Speed Prayer Stone <Lv. 2>	12792	90													O	65		1	Agility +15\nMovement Speed +6%\nAttack Speed +10%
Combined High Speed Prayer Stone <Lv. 3>	12793	90													O	50		1	Agility +20\nMovement Speed +9%\nAttack Speed +15%
Combined High Speed Prayer Stone <Lv. 4>	12794	90													O	50		1	Agility +25\nMovement Speed +10%\nAttack Speed +16%
Combined High Speed Prayer Stone <Lv. 5>	12795	90													O	50		1	Agility +30\nMovement Speed +11%\nAttack Speed +17%
Combined High Speed Prayer Stone <Lv. 6>	12796	90													O	50		1	Agility +35\nMovement Speed +12%\nAttack Speed +18%
Attack Prayer Stone<Lv4>	13434		32						O							85	4	1	Damage +4
Attack Prayer Stone<Lv5>	13435		32						O							80	5	1	Damage +5
Fragment of Ashtal	13478		50				O	O	O		O	O	O	O	O	100	1	1	
Dragon Wings <Lv6>	13536	60	36										O			100	1	1	Movement Speed +15%
Fallen Wings <Lv6>	13537	60	36										O			100	1	1	Movement Speed +15%
Nightstalker Wings <Lv6>	13538	60	36										O			100	1	1	Movement Speed +15%
Firedragon Wings <Lv6>	13539	60	36										O			100	1	1	Movement Speed +15%
Iridescent Wings <Lv6>	13540	60	36										O			100	1	1	Movement Speed +15%
Red Infinity Wings <Lv6>	13541	60	36										O			100	1	1	Movement Speed +15%
Black Infinity Wings <Lv6>	13542	60	36										O			100	1	1	Movement Speed +15%
Pink Infinity Wings <Lv6>	13543	60	36										O			100	1	1	Movement Speed +15%
Blue Infinity Wings <Lv6>	13544	60	36										O			100	1	1	Movement Speed +15%
Rainbow Infinity Wings <Lv6>	13545	60	36										O			100	1	1	Movement Speed +15%
Ancient Lord Wings <Lv5>	13546	60	36										O			100	1	1	Movement Speed +14%
Ancient Eternity Wings <Lv5>	13547	60	36										O			100	1	1	Movement speed +14%
Ancient Judgement Wings <Lv5>	13548	60	36										O			100	1	1	Movement Speed +14%
Dark Wings	13549	60	36										O			100	1	1	Movement Speed +11%
Ancient Death Wings <Lv5>	13550	60	36										O			100	1	1	Movement Speed +14%
Ancient Angel Wings <Lv5>	13551	60	36										O			100	1	1	Movement Speed +14%
Ancient Lord Wings <Lv1>	13552	60	36										O			100	1	1	Movement Speed +10%
Ancient Lord Wings <Lv2>	13553	60	36										O			100	1	1	Movement Speed +11%
Ancient Lord Wings <Lv3>	13554	60	36										O			100	1	1	Movement Speed +12%
Ancient Lord Wings <Lv4>	13555	60	36										O			100	1	1	Movement Speed +13%
Ancient Eternity Wings <Lv1>	13556	60	36										O			100	1	1	Movement Speed +10%
Ancient Eternity Wings <Lv2>	13557	60	36										O			100	1	1	Movement Speed +11%
Ancient Eternity Wings <Lv3>	13558	60	36										O			100	1	1	Movement Speed +12%
Ancient Eternity Wings <Lv4>	13559	60	36										O			100	1	1	Movement Speed +13%
Ancient Judgement Wings <Lv1>	13560	60	36										O			100	1	1	Movement Speed +10%
Ancient Judgement Wings <Lv2>	13561	60	36										O			100	1	1	Movement Speed +11%
Ancient Judgement Wings <Lv3>	13562	60	36										O			100	1	1	Movement Speed +12%
Ancient Judgement Wings <Lv4>	13563	60	36										O			100	1	1	Movement Speed +13%
Ancient Death Wings <Lv1>	13564	60	36										O			100	1	1	Movement Speed +10%
Ancient Death Wings <Lv2>	13565	60	36										O			100	1	1	Movement Speed +11%
Ancient Death Wings <Lv3>	13566	60	36										O			100	1	1	Movement Speed +12%
Ancient Death Wings <Lv4>	13567	60	36										O			100	1	1	Movement Speed +13%
Removed	13568	60	36										O			100	1	1	Movement Speed +10%
Ancient Angel Wings <Lv2>	13569	60	36										O			100	1	1	Movement Speed +11%
Ancient Angel Wings <Lv3>	13570	60	36										O			100	1	1	Movement Speed +12%
Ancient Angel Wings <Lv4>	13571	60	36										O			100	1	1	Movement Speed +13%
Ancient Angel Wings <Lv1>	13572	60	36										O			100	1	1	Movement Speed +11%
Wells Wings<Lv6>	13573	60	36										O			100	1	1	Movement Speed +15%
Granit Wings <Lv6>	13574	60	36										O			100	1	1	Movement Speed +15%
Hazel Wings <Lv6>	13575	60	36										O			100	1	1	Movement Speed +15%
Spooky Wings<Lv1>	13576	60	36										O			100	1	1	Movement Speed +10%
Spooky Wings<Lv2>	13577	60	36										O			100	1	1	Movement Speed +11%
Spooky Wings<Lv3>	13578	60	36										O			100	1	1	Movement Speed +12%
Spooky Wings<Lv4>	13579	60	36										O			100	1	1	Movement Speed +13%
Spooky Wings<Lv5>	13580	60	36										O			100	1	1	Movement Speed +10%
Wells Arena Cloak Lv6	13584	200	36										O			100	1	1	All Elemental Attacks +10 / All Elemental Resistances +13%
Jewel of Zian	13588	121	32													50	3	50	Damage +10
Jewel of Ugdrasil	13589	125	33													50	3	50	Max. HP +50
Jewel of Gracia	13590	126	33													50	3	50	Max. Mana +50
Jewel of Dikain	13591	130	33													50	3	50	Skill Block +3%
Jewel of Syripus	13592	127	33													50	3	50	Max. HP +3%
Voldonx Wings <Lv6>	14479	60	36										O			100	1	1	Movement Speed +15%
Bukkake Arena Cloak Lv6	14540	200	36										O			100	1	1	All Elemental Attacks +10 / All Elemental Resistances +13%
Ancient Cloak of Dimension Mastery	14543	200	36										O			100	1	1	Ice / Lightning / Poison Damage +10 / Ice / Lightning / Poison Resistance +13%
Ancient Cloak of Elemental Mastery	14544	200	36										O			100	1	1	All Elemental Attacks +10 / All Elemental Resistances +13%
Crusade Of Zian Wings <Lv6>	14545	60	36										O			100	1	1	Movement Speed +15%
Scarlet Cloak of Elemental Mastery <Lv6>	14546	200	36										O			100	1	1	All Elemental Attacks +10 / All Elemental Resistances +13%
Ashen Mist Cloak of Elemental Mastery <Lv6>	14547	200	36										O			100	1	1	All Elemental Attacks +10 / All Elemental Resistances +13%
Rosy Aura Cloak of Elemental Mastery <Lv6>	14548	200	36										O			100	1	1	All Elemental Attacks +10 / All Elemental Resistances +13%
Scarlet Cloak of Dimension Mastery <Lv6>	14549	200	36										O			100	1	1	Ice / Lightning / Poison Damage +10 / Ice / Lightning / Poison Resistance +13%
Ashen Mist Cloak of Dimension Mastery <Lv6>	14550	200	36										O			100	1	1	Ice / Lightning / Poison Damage +10 / Ice / Lightning / Poison Resistance +13%
Rosy Aura Cloak of Dimension Mastery <Lv6>	14551	200	36										O			100	1	1	Ice / Lightning / Poison Damage +10 / Ice / Lightning / Poison Resistance +13%
Rosy Aura Wings <Lv6>	14552	60	36										O			100	1	1	Movement Speed +15%
Gyufa Arena Cloak Lv6	14553	200	36										O			100	1	1	All Elemental Attacks +10 / All Elemental Resistances +13%
Valentines Wings <Lv5>	14561	60	36										O			100	1	1	Movement Speed +14%
Valentines Cloak <Lv5>	14562	200	36										O			100	1	1	All Elemental Attacks +9 / All Elemental Resistances +12%
Ashen Mist Wings <Lv6>	14564	60	36										O			100	1	1	Movement Speed +15%
Scarlet Wings <Lv6>	14565	60	36										O			100	1	1	Movement Speed +15%
Rosy Aura Cloak of Elemental Mastery <Lv5>	14567	200	36										O			100	1	1	All Elemental Attacks +9 / All Elemental Resistances +12%
Rosy Aura Cloak of Dimension Mastery <Lv5>	14568	200	36										O			100	1	1	Ice / Lightning / Poison Damage +9 / Ice / Lightning / Poison Resistance +12%
Rosy Aura Wings <Lv5>	14569	60	36										O			100	1	1	Movement Speed +15%
Ashen Mist Cloak of Elemental Mastery <Lv5>	14570	200	36										O			100	1	1	All Elemental Attacks +9 / All Elemental Resistances +12%
Ashen Mist Cloak of Dimension Mastery <Lv5>	14571	200	36										O			100	1	1	Ice / Lightning / Poison Damage +9 / Ice / Lightning / Poison Resistance +12%
Ashen Mist Wings <Lv5>	14572	60	36										O			100	1	1	Movement Speed +15%
Scarlet Cloak of Elemental Mastery <Lv5>	14573	200	36										O			100	1	1	All Elemental Attacks +9 / All Elemental Resistances +12%
Scarlet Cloak of Dimension Mastery <Lv5>	14574	200	36										O			100	1	1	Ice / Lightning / Poison Damage +9 / Ice / Lightning / Poison Resistance +12%
Scarlet Wings <Lv5>	14575	60	36										O			100	1	1	Movement Speed +15%
Valentines Dimensional Cloak <Lv5>	14577	200	36										O			100	1	1	Ice / Lightning / Poison Damage +9 / Ice / Lightning / Poison Resistance +12%
Scarlet Wings <Lv4>	14592	60	36										O			100	1	1	Movement Speed +13%
Ashen Mist Wings <Lv4>	14593	60	36										O			100	1	1	Movement Speed +13%
Rosy Aura Wings <Lv4>	14594	60	36										O			100	1	1	Movement Speed +13%
Scarlet Cloak of Elemental Mastery <Lv4>	14595	200	36										O			100	1	1	All Elemental Attacks +8 / All Elemental Resistances +11%
Scarlet Cloak of Dimension Mastery <Lv4>	14596	200	36										O			100	1	1	Ice / Poison / Lightning Damage +8 / Resistance +11%
Ashen Mist Cloak of Elemental Mastery <Lv4>	14597	200	36										O			100	1	1	All Elemental Attacks +8 / All Elemental Resistances +11%
Ashen Mist Cloak of Dimension Mastery <Lv4>	14598	200	36										O			100	1	1	Ice / Poison / Lightning Damage +8 / Resistance +11%
Rosy Aura Cloak of Elemental Mastery <Lv4>	14599	200	36										O			100	1	1	All Elemental Attacks +8 / All Elemental Resistances +11%
Rosy Aura Cloak of Dimension Mastery <Lv4>	14600	200	36										O			100	1	1	Ice / Poison / Lightning Damage +8 / Resistance +11%
Admin +100% Resistance and Skill Block	14602		50				O	O	O		O	O	O	O	O	100	1	1	Admin +100% Resistance and Skill Block
Admin +300k HP	14603		50				O	O	O		O	O	O	O	O	100	1	1	
Admin +100% MS	14604		50				O	O	O		O	O	O	O	O	100	1	1	Admin +100% MS
Administrator's Prayer Stone	20003		32				O	O	O		O	O	O	O	O	100	1	1	
Fragment of Ashtal	20265		50				O	O	O		O	O	O	O	O	100	1	1	
Scion Prayer Stone	20568		32				O	O	O		O			O	O	100	1	1	Water / Fire / Earth / Air / Magic / Ice / Lightning / Poison Damages +5
Fragment of Ashtal	20570		50				O	O	O		O	O	O	O	O	100	1	1	
Scion Prayer Stone	20594		32				O	O	O		O			O	O	100	1	1	Water / Fire / Earth / Air / Magic / Ice / Lightning / Poison Damages +5
The Cloak of Dreadlords	22176	200	36										O			100	1	1	Max HP +12%\nMax MP +12%\nBonus Gold +100
Elemental Wings<Lv1>	40084	60	36										O			100	1	1	Movement Speed +10%
Moonlight Wings<Lv1>	40085	60	36										O			100	1	1	Movement Speed +10%
Phoenix Wings<Lv2>	40086	60	36										O			100	1	1	Movement Speed +11%
Phoenix Wings<Lv3>	40087	60	36										O			100	1	1	Movement Speed +12%
Phoenix Wings<Lv4>	40088	60	36										O			100	1	1	Movement Speed +13%
Phoenix Wings<Lv5>	40089	60	36										O			100	1	1	Movement Speed +14%
Devil Wings<Lv2>	40090	60	36										O			100	1	1	Movement Speed +11%
Devil Wings<Lv3>	40091	60	36										O			100	1	1	Movement Speed +12%
Devil Wings<Lv4>	40092	60	36										O			100	1	1	Movement Speed +13%
Devil Wings<Lv5>	40093	60	36										O			100	1	1	Movement Speed +14%
Dark Angel Wings<Lv2>	40094	60	36										O			100	1	1	Movement Speed +11%
Dark Angel Wings<Lv3>	40095	60	36										O			100	1	1	Movement Speed +12%
Dark Angel Wings<Lv4>	40096	60	36										O			100	1	1	Movement Speed +13%
Dark Angel Wings<Lv5>	40097	60	36										O			100	1	1	Movement Speed +14%
Red Dragon Wings<Lv2>	40098	60	36										O			100	1	1	Movement Speed +11%
Red Dragon Wings<Lv3>	40099	60	36										O			100	1	1	Movement Speed +12%
Red Dragon Wings<Lv4>	40100	60	36										O			100	1	1	Movement Speed +13%
Red Dragon Wings<Lv5>	40101	60	36										O			100	1	1	Movement Speed +14%
God Wings<Lv6>	40102	60	36										O			100	1	1	Movement Speed +17%
Phoenix Wings<Lv1>	40103	60	36										O			100	1	1	Movement Speed +10%
Devil Wings<Lv1>	40104	60	36										O			100	1	1	Movement Speed +10%
Dark Angel Wings<Lv1>	40105	60	36										O			100	1	1	Movement Speed +10%
Red Dragon Wings<Lv1>	40106	60	36										O			100	1	1	Movement Speed +10%
Elemental Wings<Lv2>	40107	60	36										O			100	1	1	Movement Speed +11%
Elemental Wings<Lv3>	40108	60	36										O			100	1	1	Movement Speed +12%
Elemental Wings<Lv4>	40109	60	36										O			100	1	1	Movement Speed +13%
Elemental Wings<Lv5>	40110	60	36										O			100	1	1	Movement Speed +14%
Moonlight Wings<Lv2>	40111	60	36										O			100	1	1	Movement Speed +11%
Moonlight Wings<Lv3>	40112	60	36										O			100	1	1	Movement Speed +12%
Moonlight Wings<Lv4>	40113	60	36										O			100	1	1	Movement Speed +13%
Moonlight Wings<Lv5>	40114	60	36										O			100	1	1	Movement Speed +14%
Elemental Wings<Lv6>	40121	60	36										O			100	1	1	Movement Speed +17%
Moonlight Wings<Lv6>	40122	60	36										O			100	1	1	Movement Speed +17%
Phoenix Wings<Lv6>	40123	60	36										O			100	1	1	Movement Speed +17%
Devil Wings<Lv6>	40124	60	36										O			100	1	1	Movement Speed +17%
Dark Angel Wings<Lv6>	40125	60	36										O			100	1	1	Movement Speed +17%
Red Dragon Wings<Lv6>	40126	60	36										O			100	1	1	Movement Speed +17%
God Wings<Lv1>	40127	60	36										O			100	1	1	Movement Speed +10%
God Wings<Lv2>	40128	60	36										O			100	1	1	Movement Speed +11%
God Wings<Lv3>	40129	60	36										O			100	1	1	Movement Speed +12%
God Wings<Lv4>	40130	60	36										O			100	1	1	Movement Speed +13%
God Wings<Lv5>	40131	60	36										O			100	1	1	Movement Speed +14%
Attack Prayer Stone<Lv3>	42097		32						O							90	3	1	Damage +3
Quickness Prayer Stone<Lv3>	42098	80	38											O		90	3	1	Movement Speed +9%
Physical Resistance Prayer Stone<Lv3>	42099	8	33				O	O								90	3	1	Resistance +10%
Cold Prayer Stone<Lv3>	42100		32	Cold Prayer Stone <Medium>	1	6			O							90	3	1	Ice damage +8 with a 6% chance to slow the target for 5 seconds
Thunder Prayer Stone<Lv3>	42101		32	Lightning Prayer Stone <Medium>	1	6			O							90	3	1	Lightning damage +8 with a 6% chance to stun the target for 3 seconds
Deadly Poison Prayer Stone<Lv3>	42102		32	Deadly Poison Prayer Stone <Medium>	1	6			O							90	3	1	6% chance on hit to deal 25 poison damage every 3 seconds for 30 seconds
Prayer Stone of Ring Spirit Lv 6	43041	201	36									O				100	1	1	Resistance +10%
Crystal of Ashital	52009		50				O	O	O		O	O	O	O	O	100	1	1	
Crystal of Ashital	52010		50				O	O	O		O	O	O	O	O	100	1	1	
The Royal Cloak	57190	200	36										O			100	1	1	All skills level up +1\nMax HP +12%\nMax MP +12%\nBonus Gold +100
