ìŠ¤í‚¬ëª…	attribute	upgradable	check_range	target	range	requirement	condition	other_condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	special_status_arg	move_pos	update_factor	reflect_melee_attack	reflect_magic_attack	reflect_heroic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash	level_diff_type	detect	ride	game_effect	force	divide	resurrection	skill_union	target_restriction	disturb	downtime_id	downtime_duration	applied_cooldown_cap
<BOSS><Paingrow>IceVoice	1	2	1	1	1404									101																																																					
<BOSS><Paingrow>Blizzardra	1	2	1	1	304									101																																																					
<Summon><Paingrow>CallofName																																																																			
CloakofFire	10	2	2	100	1															10																												2						1													
CloakofWater	10	2	2	100	1															10																												2						1													
CloakofEarth	10	2	2	100	1															10																												2						1													
CloakofAir	10	2	2	100	1															10																												2						1													
CloakofMagic	10	2	2	100	1															10																												2						1													
DetectSkill	20	2	2	100	302												11																																							1			1								
PetAbnormalStatus																																																																			
<BOSS><Circuitorder>LashVolt	1	2	1	1	1404									101																																																					
<BOSS><Circuitorder>ThurnderOrb	1	2	1	1	1304									101																																																					
<BOSS><Circuitorder>GreatCircuiit	1	2	1	1	1304									101																																																					
Rain Control	40	2	2	100	1																																				2																	2									
Snow Control	40	2	2	100	1																																				2																	4									
ÅÚ·¹Æ÷Æ®																																																																			
Capacitate	1	1	1	101	304	1								101																																																					
Marching Song	10	1	2	100	303	1														10																					2																										
Hold up The Colours	10	1	2	100	303	1														10																					2																										
Divine Enhancement	10	1	2	100	303	1														10																					2																		0								
Enervate	21	1	1	1	1304	1														10																					1																										
Languish	21	1	1	1	1304	1														10															0						1																										
Smart Rising																																																																			
Ethereal Healing	10	1	2	100	303	1														10																					2																		2								
Ethereal Vision	40	1	1	100	302	1																																			2															1			1								
Wild Barrage	21	1	1	1	304	1								101						10																					2																										
Elemental Support	10	1	2	100	303	1														10																					2																		2								
Drum of War																																																																			
Electrical Storm	21	1	1	1	1304	1								101						10																					2																										
Explosive Bodkin	21	1	1	1	202	1								101						10																					2																										
Sword Barrier																																																																			
Firestorm	21	1	1	1	1304	1								101			3			10																					1																										
Ethereal Impale	21	1	1	1	202	1								101						10																					2																										
mental armor																																																																			
Natural Toxin	21	1	1	1	202	1								101						10										10001											1																										
Shadow Walker																																																																			
Critical Elements	10	1	1	110	303	1	1000							106						10																					2																										
Ancient's Favour	10	1	2	100	5	1														10																			2		2																										
Temper Armour	10	1	2	100	303	1														10																					2																		2								
Battle Cry	10	1	1	110	303	1														10																					2																										
<Trap>Ice Elemental9	1	2	1	1	1404									101																																																					
<Trap>Ice Elemental10	1	2	1	1	1404									101																																																					
<Trap>Ice Elemental11	1	2	1	1	1404									101																																																					
<Trap>Ice Elemental12	1	2	1	1	1404									101																																																					
RaceWarBuff	10	2	2	100	1																																											2				1															
Aftershock	21	1	1	1	1404	1								101						10																					2																										
Solidarity	10	1	2	100	303	1														10																					2																		2								1
Energy Barrier	10	1	2	100	1	1	1000										17			10																					2																										1
Defence Weapon																																																																			
Frontline Experience	9	1	2	111	1	3			5											107																																															
Thunderbolt	21	1	1	1	1304	1								109						10																					1																										
Flashfire	21	1	1	1	202	1								101						10																					2																										
Assistance	50	1	1	1	2	1																					12			10001											1																										1
Santa's Hat2	10	2	2	100	1															10																																4															
Superior Marskmanship	9	1	2	111	1	11			6											107																																															
Sudden Deluge	26	1	1	1	1304	1	1000							109						10																					1																										
Vampiric Impact	1	1	1	1	202	1								101																							6				1																										
Elemental Overcharge	10	1	2	100	303	1														10																					2																										
Mental Severance	21	1	1	1	1302	1														10														9							1																										
Superior Evocation	9	1	2	111	1	9			10											107																																															
Seismic Shock	21	1	1	1	1304	1								101						10																					2																										
Tribal Venom	21	1	1	1	2	1								101						10																					2																										
Rallying Shout	10	1	1	110	303	1	1000							106																											2																										
Steadfast	10	1	1	100	1	1														10																					2																										
Weapon Mastery	9	1	2	111	1															10																																															
Dark Arcane Charge	21	1	1	1	202	1								101						10																					1																										
Subdue Prey	21	1	1	1	202	1														10														9							2																										
Feeble Mind																																																																			
Health Recovery																																																																			
Arbalestier	9	1	2	111	1	12			7											107																																															
Hell																																																																			
Heaven																																																																			
Low Wiz																																																																			
Mislead																																																																			
Unholy Casting	9	1	2	111	1	10			11											107																																															
Elemental Fortitude	10	1	2	100	303	1														10																					2																										
Angelic Might	10	1	2	100	303	1														10																					1																										
Suggest Power																																																																			
Dimension Work																																																																			
Kataria Mastery	9	1	2	111	1	13			12											107																																															
Admire Dread																																																																			
Ancient's Haste	10	1	2	100	501	1														10	4																				2																										
Ancient's Protection	10	1	2	100	501	1														10	8																				2																										
Frozen Darts	21	1	1	1	202	1								101						10																					1																										
Chakram Finesse	9	1	2	111	1	14			13											107																																															
<Trap>Thunder_mirage	1	2	1	1	304									101																																																					
<Trap>Thunder_thunder	1	2	1	1	304									101																																																					
<Trap>Thunder_fence	1	2	1	1	404									101																																																					
Compound Potion	10	2	2	100	1															10																												2			1			1													
Intimidating Blow	21	1	1	1	202	1								101						10																					2																										
Godlike Discipline	10	1	2	100	1	1	1000										13																								2																										70
Divine Protection	10	1	2	100	303	1																																			2																			1							
Arctic Strike	21	1	1	1	1304	1								101						10																					1																										
Pressure Blast	21	1	1	1	1304	1								101						10																					1																										
Restrain	21	1	1	1	202	1											14																	9							1																								3		
Volatile Combustion	23	1	1	1	1304	1								101						10																					2																										
Teachings of the Archmage	10	1	1	110	303	1														10																					2																										
Antimagic	20	1	1	1	202	1			1																		16														1																										
Sacrificial Blow	1	1	1	1	304	1								101																											2																										
Martyr's Mark	10	1	2	100	303	1	1000																																		2																			2							
Repress	20	1	1	1	202	1											15																								2																								4		
Diminishing Hex	21	1	1	1	202	1														10														9							2																										
Ethereal Refreshment	10	1	1	11	202	1														10																					1																						7				1
Treat Party																																																																			
Windstorm	21	1	1	1	1304	1								101						10																					2																										
Time Cut																																																																			
Narcolepsy	21	1	1	1	701	1											16																	9							2																										70
Divine Lightning	21	1	1	1	1304	1								101						10																					1																										
Elemental Favour	10	1	1	111	201	1	1000										5																								1																										1
Concealment	10	1	1	111	702	1											10																								2																		2								
Bomba	200	1	2	100	1	1																																			2					1																					
Wind Shear	21	1	1	1	1304	1								101						10																					1																										
Strike Mark	10	1	2	100	303	1														10																					2																										
<Trap>Poison_gas	1	2	1	1	304									101																																																					
<Trap>Poison_thorn	1	2	1	1	304									101																																																					
<Trap>Poison_lake	1	2	1	1	304									101																																																					
<BOSS><Dishope>VenomBreath	1	2	1	1	304									101																																																					
<BOSS><Dishope>TrapVine	1	2	1	1	1404									101																																																					
<BOSS><Dishope>PoisonEye	1	2	1	1	304									101																																																					
AngelWing	10	2	2	100	1															10																												2						1													
LordWing	10	2	2	100	1															10																												2						1													
Defence Breaker	21	1	1	1	202	1								101						10																					2																										
Unstable Energies	21	1	1	1	202	1								101						10																					1																										
Aggression	10	1	1	110	303	1														10																					2																										
Disentangle	50	1	1	111	2	1																					12														2																										1
Cohesion	10	1	1	110	303	1														10																					2																										
Elemental Affinity	10	1	1	110	303	1														10																					2																										
Imposed Fatigue	61	1	1	1	701	1														10														9							2																										50
Infection	21	1	1	1	1304	1								101						10										10001											2																										
Legion of the Dead	210	1	2	100	1	1																																			2					1													1								
Requiem	21	1	1	1	1304	1														10																					2																										
Death Pact	10	1	2	100	5	1														10																			2		2																										
Dark Metabolism	10	1	1	110	303	1														10																					2																										
Wretched Cold	21	1	1	1	202	1								101						10																					1																										
Lunar Blessing	10	1	1	110	303	1														10																					2																										
Water Torpedo	21	1	1	1	1304	1								101						10																					1																										
Energybolt	21	1	1	1	202	1								101						10																					1																										
Spirit Smash	21	1	1	1	202	1								101						10																					1																										
Ramda	210	2	2	100	1															10																										8		2						1					1								
<Summon>Ramda																																																																			
CloakofIce	10	2	2	100	1															10																												2						1													
CloakofThunder	10	2	2	100	1															10																												2						1													
CloakofPoison	10	2	2	100	1															10																												2						1													
Mercoon	210	2	2	100	1															10																										8		2						1					1								
<Summon>Mercoon																																																																			
Abrahya	210	2	2	100	1															10																										8		2						1					1								
<Summon>Abrahya																																																																			
CakeSlice	10	2	2	100	1															10																																															
AnniversaryCake	10	2	2	100	1															10																																															
Talisman of Awakening PLUS	10	2	2	100	1																																											2			1	3		1													
Lens Stone PLUS	10	2	2	100	1															10																								4				2			1		1	1													
Wing of Devil	10	2	2	100	1															10																												2						1													
Wing of Bat	10	2	2	100	1															10																												2						1													
CloakofElementalMaster	10	2	2	100	1															10																												2						1													
Collection Skill	8	2	1	1	202	4			654		4	3500																												1																											
CloakofElementalMaster2																																																																			
Sarazaran	210	2	2	100	1															10																										8		2						1					1								
<Summon>Serazaran																																																																			
<Summon>VictimOfGlory	9	1	1	111	1												17			10																								6																							
<Summon>CreateSkeleton																																																																			
Enlarge Fierce	1	1	1	1	202	1								101																											2																										
Acrobatic Charge	61	1	1	1	1304	1								101						10																					2																										
Braking Arms	21	1	1	1	202	15								101						10																					2			7																							
Close Skirmish	21	1	1	1	202	1								101						10																					2			7																							
Precise Assault	21	1	1	1	202	5								101			0			10																					2			8																							
Blue Dire	21	1	1	1	1304	15								101						10																					2			0																							
Recite of Breeze	21	1	1	1	1404	5								101																10001											2			7																							
Insightful X	21	1	1	1	1304	15								101						10																					2			7																							
Explosion Image	21	1	1	1	1304	1								101						10																					2			8																							
Water Dream	21	1	1	1	202	1								101						10																					2			7																							
Wounding Critical	21	1	1	1	1304	1								101																10001											2			8																							
Barrage Strike	1	1	1	1	1304	1								101																											2			7																							
Smart Force	10	1	2	100	1	1														10																					2																										
Shout of Insight	10	1	2	100	303	1														10																					2																										
Smart Blade	10	1	2	100	1	5			15											107																					2																										
Smart Weapon	10	1	2	100	1	15			14											107																					2																										
Sword Stopper	10	1	2	100	1	15	1000		14											107				4																	2																										
Santa's Gloves2	10	2	2	100	1															10																																2															
Unseeable	10	1	2	100	1	1											10																								2																										
Lunar Masquerade	10	1	2	100	1	1														10																			4		2																					1					
Chant Masquerade	10	1	2	100	1	1	1000																														1		4		2																					1					
Dauntless Masquerade	10	1	2	100	1	1														10																			4		2																					1					
Fires Masquerade	10	1	2	100	1	1	1000													10																			4		2																					1					
Fallen Masquerade	10	1	2	100	1	1														10																			4		2																					1					
Masquerade Master	10	1	2	100	1	1														10																					2																					2					
Kin Sense	9	1	2	111	1		1000							106																																																					
Dodge Form	9	1	2	111	1															10																																															
Grace	9	1	2	111	1															10																																															
Improved Strike	9	1	2	111	1		1000													10				2																																											
Fortune Amulet - Flat Sum System <10 Hours>	10	2	2	100	1																																											2			1	3		1													
Human Figure	10	2	2	100	1															10																																															
Oak Figure	10	2	2	100	1															10																																															
MoonElf Figure	10	2	2	100	1															10																																															
Archlord Figure	10	2	2	100	1															10																																															
Fortune Amulet - Flat Sum System <12 Hours>	10	2	2	100	1																																											2			1	3		1													
<BOSS><ShadowLord>Skill1	1	2	1	1	1304									101																																																					
<BOSS><ShadowLord>Skill2	1	2	1	1	304									101																																																					
<Summon>VictimOfGlory<AdditionalEffect>	21	1	1	111	304									101						10																																	1														
Assorted Fruit	10	2	2	100	1															10																																															
Red-bean Sherbet	10	2	2	100	1															10																																															
Green Tea Sherbert	10	2	2	100	1															10																																															
Fruit Ice	10	2	2	100	1															10																																1															
Bitter Concussion	21	2	1	1	1304									101						10																					2																										
Lightning Javelin	21	2	1	101	404									101						10										10001											2																										
Energy Buffer	10	2	2	100	309															10																					2																										
Righteous Plating	10	2	2	100	309															10																					2																										
Heightened Reflexes	10	2	2	100	309															10																					2																										
Imperceptible	10	2	2	100	1												10																								2																										
Aura of Decay	10	2	2	100	1																																				2				10001																						
Redemption	40	2	1	111	204																																				2																				1						
Holy Bliss	9	2	2	111	1															10																																															
Amulet of True Awakening	10	2	2	100	1																																											2			1	3		1													
Amulet of Rich Person	10	2	2	100	1																																											2			1	6		1													
Wing of Karuna	10	2	2	100	1															10																												2						1													
Wing of Phoenix	10	2	2	100	1															10																												2						1													
Amulet of True Fortune																																																																			
Amulet of Experience	10	2	2	100	1																																											2			1	3		1													
Wing of Super Archangel	10	2	2	100	1															10																												2						1													
Wing of Super Absolute Being	10	2	2	100	1															10																												2						1													
<NPC>BigWheel	1	1	1	101	304	1								101																																																					
<NPC>LinearBlow	1	1	1	1	1404	1								101																																																					
<NPC>HellTypoon	5	1	1	1	1304	1			5					101																																																					
<NPC>WheelGear	6	1	1	1	1304	1			2					101																																																					
<NPC>Hook	1	1	1	1	304	1								101																																																					
<NPC>DragonDevide	1	1	1	1	1404	1								101																																																					
<NPC>SoulChaos	2	1	1	101	304	1			1					101																																																					
<NPC>GeoShad	11	1	1	1	202	1			4					101						10												1																																			
<NPC>VStrike	1	1	1	1	1304	1								101																																																					
<NPC>ExplosionImage	21	1	1	1	1304	1								101						10																																															
<NPC>ElemenatalStorm	1	1	1	1	1304	1								101																																																					
<NPC>LightningFear	21	1	1	1	1304	1								101			3			10										10001																																					
Invisible Blade X	21	1	1	111	1304	1								101						10																					2			7																							
Lightening Rush	21	1	1	1	404	1								101			1			10																					2			7																							
Fierce Blow	21	1	1	1	202	1								101						10																					2			7																							
Close Fin Air	21	1	1	1	202	1								101						10																					2			7																							
Heroism Might	10	1	1	110	303	1														10																					2																										
Safeguard	10	1	2	100	303	1														10																					2																										
Boost Up	10	1	2	100	303	1														10																					2																										
Hide in Sight	10	1	2	100	1	1											10																								2																		4								1
Advent Legend	10	1	2	100	1	1											8																								2																										
Restoration	10	1	1	100	303	1														10																					2																										
Two Weapon Mastery	9	1	1	111	1	15			14											107																																															
Force Armour	10	1	2	100	1	1											8																								2																										
<Hero>LightningVein	1	1	1	101	304	1								101																																																					
<Hero>ReduceGround	21	1	1	1	1404	1								101						10																																															
<Hero>DefenceMagic	10	1	2	100	1	1	1000										13																																																		
<Hero>CloudFire	21	1	1	1	1304	1								101						10																																															
<Hero>WindCrush	21	1	1	1	1304	1								101						10																																															
<Hero>CreateSkeleton	210	1	2	100	1	1																																								1													1								
<Hero>SuddenStrike	21	1	1	1	1304	1								101						10																																															
<Hero>FullDownShot	21	1	1	1	1304	1								101						10																																															
<Hero>ShadowIllusion	10	1	1	111	702	1											10																																										2								
Minimal Physical Offence Power	10	2	2	100	1															10																																															
Minimal Physical Defence Power	10	2	2	100	1															10																																															
Minimal Life Endurance	10	2	2	100	1															10																																															
Small Physical Offence Power	10	2	2	100	1															10																																															
Small Physical Defence Power	10	2	2	100	1															10																																															
Small Life Endurance	10	2	2	100	1															10																																															
<Archer>TB	21	1	1	1	1304	1								101						10																																															
<Archer>EZ	21	1	1	1	1304	1								101						10																																															
<Archer>IW	21	1	1	1	1304	1								101						10																																															
<Mage>SF	3	1	1	1	1304	1								101																																																					
<Mage>WE	6	1	1	1	1304	1								101																																																					
<Mage>SH	21	1	1	1	202	1								101						10																																															
<Berserker>HR	21	1	1	1	304	1								101						10																																															
<Berserker>LB	21	1	1	1	404	1								101						10																																															
<Berserker>CE	21	1	1	1	202	1								101						10																																															
<Hunter>SS	21	1	1	1	1304	1								101						10																																															
SantasSuitBonusExp	10	2	2	100	1		1000													10																												2				7		1													
<Hunter>GH	21	1	1	1	202	1								101						10																																															
<Hunter>GR	21	1	1	1	1304	1								101						10										10001																																					
<ELI>AS	21	1	1	1	202	1								101						10																																															
<ELI>CP	21	1	1	1	202	1								101						10																																															
<ELI>TP	21	1	1	1	1304	1								101						10																																															
<SB>WC	21	1	1	1	1304	1								101																10001																																					
<SB>LR	21	1	1	1	404	1								101			0			10																																															
<SB>IBX	21	1	1	111	1304	1								101						10																																															
Poison2nd	21	2	1	1	202		1000																							10001																																					
Poison3rd	21	2	1	1	202		1000																							10001																																					
Poison4th	21	2	1	1	202		1000																							10001																																					
Poison5th	21	2	1	1	202		1000																							10001																																					
lightning2nd	1	2	1	1	202		1000							101			1			10																																															
lightning3rd	1	2	1	1	202		1000							101			1			10																																															
lightning4th	1	2	1	1	202		1000							101			1			10																																															
lightning5th	1	2	1	1	202		1000							101			1			10																																															
Explosion2nd	1	2	1	1	1304		1000							101						10																																															
Explosion3rd	1	2	1	1	1304		1000							101						10																																															
Explosion4th	1	2	1	1	1304		1000							101						10																																															
Explosion5th	1	2	1	1	1304		1000							101						10																																															
SuperUltraExp	10	2	2	100	1																																											2			1	3		1													
SuperUltraDrop	10	2	2	100	1															10																												2			1			1													
SuperUltraEleCloak	10	2	2	100	1															10																												2						1													
<boss><groupsmall>s01	1	2	1	1	1404									101																																																					
<boss><groupsmall>s02	1	2	1	1	1304									101																																																					
Rudolf	210	2	2	100	1															10																										8		2						1					1								
<Summon>Rudolf																																																																			
<Summon><H_W>CS																																																																			
<boss><frosthdm>s1	1	2	1	1	1304									101																																																					
<mob><dbspade>s1	1	2	1	1	1304									101																																																					
<mob><bdclo>s1	1	2	1	1	1304									101																																																					
<mob><bddia>s1	1	2	1	1	1304									101																																																					
<mob><serpentw>s1	1	2	1	1	1304									101																																																					
<mob><chainwd>s1	1	2	1	1	1304									101																																																					
<mob><raptilsol>s1	1	2	1	1	1304									101																																																					
<mob><spearmgreen>s1	1	2	1	1	1404									101																																																					
<mob><spearmgrey>s1	1	2	1	1	1404									101																																																					
<mob><spearmyello>s1	1	2	1	1	1404									101																																																					
<mob><beastwsol>s1	1	2	1	1	1404									101																																																					
<mob><beastwcha>s1	1	2	1	1	1404									101																																																					
<mob><breastwco>s1	1	2	1	1	1404									101																																																					
<mob><skyavensol>s1	1	2	1	1	1304									101																																																					
<mob><gritspun>s1	1	2	1	1	1304									101																																																					
<mob><gritsstar>s1	1	2	1	1	1304									101																																																					
<mob><gritcru>s1	1	2	1	1	1304									101																																																					
<mob><minotax>s1	1	2	1	1	1404									101																																																					
<mob><hungerworker>s1	1	2	1	1	1304									101																																																					
<mob><federws>s1	1	2	1	1	1404									101																																																					
<mob><secubushum>s1	1	2	1	1	1304									101																																																					
<Title> First Title	10	2	2	100	1															10																																	1	1													
<mob><whitesc>s1	1	2	1	1	1404									101																																																					
<mob><icebb>s1	1	2	1	1	1304									101																																																					
<mob><icingds>s1	1	2	1	1	1304									101																																																					
<mob><wingedrchd>s1	1	2	1	1	1304									101																																																					
<mob><tigerors>s1	1	2	1	1	1304									101																																																					
<mob><hookjst>s1	1	2	1	1	1404									101																																																					
<mob><volcanowf>s1	1	2	1	1	1304									101																																																					
<mob<masterwd>s1	1	2	1	1	1304									101																																																					
LowAbility2	210	2	2	100	1															10																										8		2						1					1								
<Summon>LowAbility2																																																																			
LowAbility4	210	2	2	100	1															10																										8		2						1					1								
<Summon>LowAbility4																																																																			
LowAbility5	210	2	2	100	1															10																										8		2						1					1								
<Summon>LowAbility5																																																																			
NormalAbility2	210	2	2	100	1															10																										8		2						1					1								
<Summon>NormalAbility2																																																																			
NormalAbility4	210	2	2	100	1															10																										8		2						1					1								
<Summon>NormalAbility4																																																																			
NormalAbility5	210	2	2	100	1															10																										8		2						1					1								
<Summon>NormalAbility5																																																																			
HighAbility	210	2	2	100	1															10																										8		2						1					1								
<Summon>HighAbility																																																																			
HighestAbility	210	2	2	100	1															10																										8		2						1					1								
<Summon>HighestAbility																																																																			
LifeSoup	10	2	2	100	1															10																1																															
WealthSoup	10	2	2	100	1															10																																6															
HealthSoup	10	2	2	100	1															10																																															
StrainerOfGlory	10	2	2	100	1															10																																1															
SuccessSoup	10	2	2	100	1															10																																															
AVT_AttackKorea	10	2	2	100	1		1000													10																	1											2				7		1													
avt_defense_kr	10	2	2	100	1		1000													10																	1											2				7		1													
avt_levelup	10	2	2	100	1															10																1												2				7		1													
<mob>rviper	1	2	1	1	1404									101																																																					
S_lspeed_potion	10	2	2	100	1															10																												2			1	3		1													
S_quickness_potion	10	2	2	100	1															10																												2			1			1													
S_defense_potion	10	2	2	100	1															10																												2			1			1													
S_giant_potion	10	2	2	100	1									106						10																												2			1			1													
S_Evasion_potion	10	2	2	100	1															10																												2			1	12		1													
<mob><sabermali>s1	1	2	1	1	1304									101																																																					
<MOB><Rock Golem>Skill 1	1	2	1	1	202									101																																																					
<MOB><Machine Golem>Skill 1	1	2	1	1	202									101																																																					
<MOB><Magma Stormer> Skill 1																																																																			
3rdMemorialDaysPetLv1	210	2	2	100	1															10																										8		2						1					1								
<Summon>3rdMemoryDaysPetLv1																																																																			
3rdMemorialDaysPetLv2	210	2	2	100	1															10																										8		2						1					1								
<Summon>3rdMemoryDaysPetLv2																																																																			
3rdMemorialDaysPetLv3	210	2	2	100	1															10																										8		2						1					1								
<Summon>3rdMemoryDaysPetLv3																																																																			
3rdMemorialDaysPetLv4	210	2	2	100	1															10																										8		2						1					1								
<Summon>3rdMemoryDaysPetLv4																																																																			
AVT_FHero	10	2	2	100	1		1000													10																	1											2				7		1													
AVT_Pioneer	10	2	2	100	1															10																												2				7		1													
<MOB><Goblin Ranger>Skill 1	1	2	1	1	1304									101																																																					
<BOSS><Ghoul Boss> Skill 2																																																																			
<MOB><Grippler>Skill 1	1	2	1	1	1404									101																																																					
<MOB><Griffin>Skill 2	1	2	1	1	202									101																																																					
<MOB><Griffin>Skill 3	1	2	1	1	1404									101																																																					
<MOB><Gnoll>Skill 1	1	2	1	1	202									101																																																					
Serazaran1Lv	210	2	2	100	1															10																										8		2						1					1								
<Summon>Serazaran1Lv																																																																			
Serazaran2Lv	210	2	2	100	1															10																										8		2						1					1								
<Summon>Serazaran2Lv																																																																			
Serazaran3Lv	210	2	2	100	1															10																										8		2						1					1								
<Summon>Serazaran3Lv																																																																			
Serazaran4Lv	210	2	2	100	1															10																										8		2				1		1					1								
<Summon>Serazaran4Lv																																																																			
AVT_Returner	10	2	2	100	1																																											2			1	1		1													
Attack Type	10	2	2	100	1		1000													10																	1											2						1													
Defense Type	10	2	2	100	1		1000													10																	1											2						1													
AVT_BalancedType	10	2	2	100	1		1000													10																												2				7		1													
AVT_SuperiorType	10	2	2	100	1		1000													10																												2				7		1													
<MOB><Tynee Draconian Thrower>Skill 1	1	2	1	1	202									101																																																					
mercoon1																																																																			
<summon>mercoon1																																																																			
abrahya1																																																																			
<summon>abrahya1																																																																			
Chaotic Debuff	10	1	2	100	1			7												10																																															
<MOB><Cure>Skill 1	40	2	2	100	1																						2																																								
<MOB><Lamia>Skill 1	1	2	1	1	202									101																																																					
<MOB><Lequimes> Skill 1																																																																			
<MOB><Lequimes> Skill 2																																																																			
<MOB><Marylith>Skill 1	1	2	1	1	202									101																																																					
<BOSS><Marylith Queen> Skill 1																																																																			
<MOB><Manticore>Skill 1	1	2	1	1	1404									101																																																					
<MOB><Bat> Skill 1																																																																			
<BOSS><Giant Hornet Queen> Skill 1																																																																			
<MOB><Dark Avatar Knight> Skill 1																																																																			
Skull of Chaos	10	2	2	100	1		1000													10																	1											2						1													
Heart of Chaos	10	2	2	100	1		1000													10																	1																														
Extract of Chaos	10	2	2	100	1															10																																															
Claw of Chaos	10	2	2	100	1															10																																															
Magic Crystal	10	2	2	100	1															10																																															
Talisman of Awakening 130	10	2	2	100	1																																											2			1	3		1													
Talisman of Awakening 140	10	2	2	100	1																																											2			1	3		1													
Talisman of Awakening 120	10	2	2	100	1																																											2			1	3		1													
<MOB><Human Mage Sentry>Skill 1	1	2	1	1	202									101																																																					
<MOB><Human Archer Sentry>Skill 1	1	2	1	1	1304									101																																																					
<MOB><Human Warrior Sentry>Skill 1	1	2	1	1	304									101																																																					
<MOB><Orc Warrior Sentry>Skill 1	1	2	1	1	202									101																																																					
<MOB><Orc Warrior Sentry>Skill 2	1	2	1	1	1404									101																																																					
<MOB><Orc Mage Sentry>Skill 1	1	2	1	1	1404									101																																																					
<Battle>Increase All Stats	20010	2	2	101	201															10																																															
<Battle>Skill Upgrade	20010	2	2	101	201															10																			1		2																										
<Battle>Max HP Increase	20010	2	2	101	201															10																																															
<Battle>Critical Hit Defense Increase	20010	2	2	101	201															10				4																																											
<Battle>Bonus XP Increase	20010	2	2	101	201															10																																1															
<Battle>Bonus Drop Rate Increase	20010	2	2	101	201															10																																4															
<Battle>Bonus Gold Increase	20010	2	2	101	201															10																																2															
<Battle>Skill Cast Time Decrease	20010	2	2	101	201															10																																															
<Battle>Skill Cooldown Time Decrease	20010	2	2	101	201															10																																															
<Battle>3 Major Elemental Attack Powers Increase	20010	2	2	101	201															10																																															
<Battle>3 Major Elemental Resistance Increase	20010	2	2	101	201															10																																															
<Battle>Skill Block Rate Increase	20010	2	2	101	201															10																																															
<Battle>Block Rate Increase	20010	2	2	101	201															10																																															
<Battle>Damage Increase	20010	2	2	101	201															10																																															
<Battle>Defense Increase	20010	2	2	101	201															10																																															
<Battle>Elemental Damage increase	20010	2	2	101	201															10																																															
<Battle>Elemental Resistance Increase	20010	2	2	101	201															10																																															
<Battle>Physical Resistance Increase	20010	2	2	101	201															10																																															
<Battle>Attack Rate Increase	20010	2	2	101	201															10																																															
<Battle>Defense Rate Increase	20010	2	2	101	201															10																																															
<Battle>Dodge Increases	20010	2	2	101	201															10																																															
<Battle>Attack Speed Increase	20010	2	2	101	201															10																																															
<Battle>Movement Speed Increase	20010	2	2	101	201															10																																															
<Battle>HP Recovery Increase	20010	2	2	101	201															10																1																															
<Battle>Mana Recovery Increase	20010	2	2	101	201															10																2																															
<Battle>Individual Ability	10	2	2	100	1		4000													10																								6				2																			
<Battle>Party Ability	10	2	2	100	1		4000													10																								6				2																			
<Battle>Race Ability	10	2	2	100	1		4000													10																								6				2																			
<MOB><MoonElf Warrior Sentry>Skill 1	1	2	1	1	1404									101																																																					
<MOB><MoonElf Archer Sentry>Skill 1	1	2	1	1	202									101																																																					
<MOB><MoonElf Mage Sentry>Skill 1	1	2	1	1	202									101																																																					
Kitty Lv 1	210	2	2	100	1															10																										8		2						1					1								
<Summon>Kitty Lv 1																																																																			
Kitty Lv 2	210	2	2	100	1															10																										8		2						1					1								
<Summon>Kitty Lv 2																																																																			
Doggy Lv 3	210	2	2	100	1															10																										8		2						1					1								
<Summon>Doggy Lv 3																																																																			
Doggy Lv 4	210	2	2	100	1															10																										8		2						1					1								
<Summon>Doggy Lv 4																																																																			
Test Ramda	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Test Ramda																																																																			
Doogie Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Doogie Lv 1																																																																			
Doogie Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Doogie Lv 2																																																																			
Doogie Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Doogie Lv 3																																																																			
Doogie Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Doogie Lv 4																																																																			
Doogie Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Doogie Lv 5																																																																			
Doogie Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Doogie Lv 6																																																																			
Doogie Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Doogie Lv 7																																																																			
Doogie Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Doogie Lv 8																																																																			
Doogie Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Doogie Lv 9																																																																			
Doogie Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Doogie Lv 10																																																																			
Rakundel Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rakundel Lv 1																																																																			
Rakundel Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rakundel Lv 2																																																																			
